,dell_male,dell_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,0.13851286,-0.049042366,"('unsociable', 'sociable')",-0.53892356,-0.7318267,-0.41192907,-0.59816206,-0.2707799,-0.4596771,-0.1888972
1,1.7372451,1.7317003,"('unfriendly', 'friendly')",0.33237922,0.14987153,1.4176698,1.3155863,1.1624314,1.0657194,-0.096712
2,0.64965636,0.673603,"('unlikable', 'likable')",0.23340958,0.27709237,0.63175935,0.709545,0.5049418,0.5534135,0.0484717
3,-1.0991825,-1.0098299,"('repellent', 'pleasant')",-0.33614603,-0.22186524,-0.17172553,-0.09327624,-0.5356847,-0.4416571,0.0940276
4,0.52697814,0.5240949,"('disliked', 'liked')",-0.2888328,-0.35309806,-5.6912975,-5.8473406,-1.8177174,-1.8921146,-0.0743972
5,0.9163593,0.98790634,"('distant', 'outgoing')",-0.47516656,-0.42271447,-0.54208165,-0.42691195,-0.0336296,0.0460933,0.0797229
6,0.77083445,0.87180305,"('distant', 'open')",-0.65980256,-0.65175444,0.16536255,0.23786949,0.0921315,0.1526394,0.0605079
7,-0.40387204,-0.40688315,"('insensitive', 'sensitive')",-0.1348957,-0.012064226,0.10160165,0.17142192,-0.145722,-0.0825085,0.0632135
8,1.6379759,1.6346881,"('unaffectionate', 'affectionate')",0.3297167,0.27694494,0.30722722,0.33342546,0.7583066,0.7483528,-0.0099538
9,1.8821716,1.9433966,"('unaffectionate', 'caring')",0.6017562,0.578428,0.9203866,0.94758546,1.1347714,1.15647,0.0216986
10,-0.9991604,-1.0479112,"('unsympathetic', 'sympathetic')",-0.9452864,-0.91019285,-0.44466832,-0.5578096,-0.7963717,-0.8386378,-0.0422661
11,0.30183795,0.3427458,"('unhelpful', 'helpful')",0.82645917,0.9562027,1.9072447,1.8655365,1.0118473,1.0548283,0.042981
12,1.0556276,1.1406502,"('unsupportive', 'supportive')",0.5431649,0.7034197,-1.8519825,-1.8272003,-0.0843966,0.0056232,0.0900198
13,-0.9035875,-1.0061862,"('impolite', 'polite')",-1.0074016,-1.0187025,-0.4041848,-0.44108838,-0.7717246,-0.8219924,-0.0502678
14,0.1556896,0.05890257,"('antisocial', 'social')",0.32521942,0.3547355,-0.8899445,-0.88686746,-0.1363452,-0.1577431,-0.0213979
15,1.0232321,0.932622,"('boring', 'funny')",0.03536967,0.015913513,0.40846795,0.44028503,0.4890232,0.4629402,-0.026083
16,0.030186843,0.023911823,"('unpopular', 'popular')",0.34722838,0.31308448,0.7093181,0.7108686,0.3622444,0.3492883,-0.0129561
17,-0.42876497,-0.35110798,"('nasty', 'nice')",-0.47264525,-0.38496006,-0.5862696,-0.4828268,-0.4958933,-0.4062983,0.089595
18,0.2893485,0.29145905,"('disagreeable', 'welcoming')",0.074974656,0.07056136,-0.45567656,-0.4706518,-0.0304511,-0.0362105,-0.0057594
19,0.6494479,0.68349063,"('inhospitable', 'hospitable')",-0.43737087,-0.47055906,-0.21742716,-0.12477105,-0.0017834,0.0293868,0.0311702
20,0.34300357,0.35548267,"('rough', 'thoughtful')",0.810895,0.9055648,0.8690874,0.8284225,0.6743286,0.69649,0.0221614
21,-0.34628156,-0.4828053,"('immoral', 'moral')",-0.041640002,-0.069983065,-0.9220712,-0.98159504,-0.4366643,-0.5114611,-0.0747968
22,-0.96995133,-1.0608051,"('untrustworthy', 'trustworthy')",-0.7660814,-0.8084044,-1.295108,-1.2979919,-1.0103803,-1.0557338,-0.0453535
23,-0.39965004,-0.4214953,"('insincere', 'sincere')",-0.47708353,-0.46025527,4.957326,4.9579544,1.3601974,1.3587346,-0.0014628
24,-0.32014716,-0.35309824,"('dishonest', 'honest')",-1.4108655,-1.4432367,0.5068036,0.4650555,-0.4080697,-0.4437598,-0.0356901
