,first_male,first_female,tuple,solar_male,solar_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.58829105,-0.72784436,"('unsociable', 'sociable')",0.47126606,0.3910402,-0.5271511,-0.70536095,-0.2147254,-0.3473883,-0.1326629
1,-1.0800005,-1.1404182,"('unfriendly', 'friendly')",-0.02747054,-0.105852745,1.8246218,1.6823132,0.2390502,0.1453474,-0.0937028
2,0.58389574,0.6364989,"('unlikable', 'likable')",0.45550382,0.4159396,0.7929949,0.88253695,0.6107982,0.6449918,0.0341936
3,0.43117723,0.4918546,"('repellent', 'pleasant')",-0.28845567,-0.10054651,0.18715972,0.26106545,0.1099604,0.2174579,0.1074975
4,-0.44281366,-0.4285805,"('disliked', 'liked')",0.5627707,0.6066329,-6.2279906,-6.3336816,-2.0360112,-2.0518764,-0.0158652
5,-1.0796089,-1.1112381,"('distant', 'outgoing')",0.18665062,0.20836383,-0.012988947,0.045829345,-0.3019824,-0.2856816,0.0163008
6,-0.75525564,-0.74078315,"('distant', 'open')",-0.43530613,-0.41035607,0.32242668,0.39850256,-0.2893784,-0.2508789,0.0384995
7,0.89287156,0.90797925,"('insensitive', 'sensitive')",0.36076495,0.4050381,0.48757303,0.49271312,0.5804032,0.6019102,0.021507
8,-0.8895115,-0.9262737,"('unaffectionate', 'affectionate')",-0.52866113,-0.6245616,0.3001811,0.3291365,-0.3726638,-0.407233,-0.0345692
9,0.17033112,0.17454055,"('unaffectionate', 'caring')",0.22741784,0.17572899,0.84833634,0.937685,0.4153618,0.4293182,0.0139564
10,0.7955523,0.7934503,"('unsympathetic', 'sympathetic')",-1.3345712,-1.3539343,-0.52649647,-0.53860295,-0.3551718,-0.3663623,-0.0111905
11,0.5868914,0.61048007,"('unhelpful', 'helpful')",-0.14777617,-0.14108203,1.9033598,2.0374496,0.780825,0.8356159,0.0547909
12,0.94300735,1.0248727,"('unsupportive', 'supportive')",0.88584775,0.91159153,-1.8074616,-1.7787546,0.0071311,0.0525699,0.0454388
