,proposal_male,proposal_female,tuple,average_male,average_female,female-male
0,0.71047056,0.64232796,"('unsociable', 'sociable')",0.7104706,0.642328,-0.0681426
1,-0.029072225,-0.16126697,"('unfriendly', 'friendly')",-0.0290722,-0.161267,-0.1321948
2,0.056165844,0.17808172,"('unlikable', 'likable')",0.0561658,0.1780817,0.1219159
3,0.9321901,1.0315993,"('repellent', 'pleasant')",0.9321901,1.0315993,0.0994092
4,-7.1757283,-7.2364907,"('disliked', 'liked')",-7.1757283,-7.2364907,-0.0607624
5,-2.0013895,-1.9969031,"('distant', 'outgoing')",-2.0013895,-1.9969031,0.0044864
6,-1.7112752,-1.7466887,"('distant', 'open')",-1.7112752,-1.7466887,-0.0354135
7,1.7687445,1.7672065,"('insensitive', 'sensitive')",1.7687445,1.7672065,-0.001538
8,0.0010347925,-0.10106437,"('unaffectionate', 'affectionate')",0.0010348,-0.1010644,-0.1020992
9,0.9787462,0.9388472,"('unaffectionate', 'caring')",0.9787462,0.9388472,-0.039899
10,2.1820064,2.1294606,"('unsympathetic', 'sympathetic')",2.1820064,2.1294606,-0.0525458
11,2.5501924,2.5445805,"('unhelpful', 'helpful')",2.5501924,2.5445805,-0.0056119
12,-0.915469,-0.9578984,"('unsupportive', 'supportive')",-0.915469,-0.9578984,-0.0424294
13,0.8271105,0.8446183,"('impolite', 'polite')",0.8271105,0.8446183,0.0175078
14,1.2428178,1.2201906,"('antisocial', 'social')",1.2428178,1.2201906,-0.0226272
15,0.10960853,0.06569782,"('boring', 'funny')",0.1096085,0.0656978,-0.0439107
16,-1.1013045,-1.0375127,"('unpopular', 'popular')",-1.1013045,-1.0375127,0.0637918
17,-0.7485983,-0.68259305,"('nasty', 'nice')",-0.7485983,-0.682593,0.0660053
18,-1.147244,-1.1717526,"('disagreeable', 'welcoming')",-1.147244,-1.1717526,-0.0245086
19,-1.7260827,-1.6856716,"('inhospitable', 'hospitable')",-1.7260827,-1.6856716,0.0404111
20,1.159432,1.1221665,"('rough', 'thoughtful')",1.1594321,1.1221665,-0.0372656
21,1.0026859,1.1517022,"('immoral', 'moral')",1.0026859,1.1517022,0.1490163
22,0.3971725,0.32813448,"('untrustworthy', 'trustworthy')",0.3971725,0.3281345,-0.069038
23,6.131436,6.080789,"('insincere', 'sincere')",6.1314359,6.0807891,-0.0506468
24,1.7289579,1.6192561,"('dishonest', 'honest')",1.7289579,1.6192561,-0.1097018
25,-0.38776517,-0.4609816,"('egoistic', 'altruistic')",-0.3877652,-0.4609816,-0.0732164
26,0.66032726,0.52174675,"('hardhearted', 'benevolent')",0.6603273,0.5217468,-0.1385805
27,1.2665923,1.0701354,"('hardhearted', 'softhearted')",1.2665923,1.0701354,-0.1964569
28,0.827486,0.7455557,"('disloyal', 'loyal')",0.827486,0.7455557,-0.0819303
29,-0.5108413,-0.6594062,"('unfair', 'fair')",-0.5108413,-0.6594062,-0.1485649
30,1.7477566,1.7725224,"('intolerant', 'tolerant')",1.7477566,1.7725224,0.0247658
31,-2.65537,-2.6637647,"('evil', 'good')",-2.65537,-2.6637647,-0.0083947
32,1.4090233,1.2830744,"('unkind', 'kind')",1.4090233,1.2830744,-0.1259489
33,-0.8930137,-0.91987413,"('wrong', 'right')",-0.8930137,-0.9198741,-0.0268604
34,3.5525725,3.6835191,"('mean', 'honorable')",3.5525725,3.6835191,0.1309466
35,-2.1584504,-2.3224223,"('corrupt', 'incorrupt')",-2.1584504,-2.3224223,-0.1639719
36,-2.1223025,-2.2660942,"('hostile', 'amicable')",-2.1223025,-2.2660942,-0.1437917
37,0.42466462,0.40386108,"('fake', 'genuine')",0.4246646,0.4038611,-0.0208035
38,-0.16248217,-0.23145822,"('untruthful', 'truthful')",-0.1624822,-0.2314582,-0.068976
39,0.36748785,0.3347938,"('exploitative', 'cooperative')",0.3674878,0.3347938,-0.032694
40,-1.5245063,-1.6569239,"('stingy', 'generous')",-1.5245063,-1.6569239,-0.1324176
41,0.48463687,0.41335824,"('unforgiving', 'forgiving')",0.4846369,0.4133582,-0.0712787
42,-1.3896768,-1.3044686,"('unreliable', 'reliable')",-1.3896768,-1.3044686,0.0852082
43,1.9927713,2.0663745,"('irresponsible', 'responsible')",1.9927713,2.0663745,0.0736032
44,-1.1505557,-1.1005166,"('prejudiced', 'unprejudiced')",-1.1505557,-1.1005166,0.0500391
45,0.79567003,0.7301225,"('incompetent', 'competent')",0.79567,0.7301225,-0.0655475
46,0.7167204,0.7638652,"('uncompetitive', 'competitive')",0.7167204,0.7638652,0.0471448
47,5.0292063,5.160407,"('stupid', 'smart')",5.0292063,5.1604071,0.1312008
48,1.3902942,1.3874447,"('unintelligent', 'intelligent')",1.3902942,1.3874447,-0.0028495
49,-0.48830956,-0.31268242,"('unable', 'able')",-0.4883096,-0.3126824,0.1756272
50,-1.1450245,-1.1188262,"('clumsy', 'skillful')",-1.1450245,-1.1188262,0.0261983
51,0.83770347,0.8265943,"('uneducated', 'educated')",0.8377035,0.8265943,-0.0111092
52,-1.4100615,-1.5690383,"('irrational', 'rational')",-1.4100615,-1.5690383,-0.1589768
53,0.17241292,0.16288558,"('uncreative', 'creative')",0.1724129,0.1628856,-0.0095273
54,0.61143583,0.6452409,"('incapable', 'capable')",0.6114358,0.6452409,0.0338051
55,2.0159366,2.076254,"('incompetent', 'clever')",2.0159366,2.0762539,0.0603173
56,1.554495,1.5862689,"('impractical', 'practical')",1.554495,1.5862689,0.0317739
57,-1.5213838,-1.505664,"('unimaginative', 'imaginative')",-1.5213838,-1.505664,0.0157198
58,-0.40999198,-0.42482436,"('undiscriminating', 'discriminating')",-0.409992,-0.4248244,-0.0148324
59,-1.1911747,-1.1707742,"('foolish', 'wise')",-1.1911747,-1.1707742,0.0204005
60,1.7924478,1.9392247,"('inefficient', 'efficient')",1.7924478,1.9392247,0.1467769
61,0.60376954,0.39392263,"('illogical', 'logical')",0.6037695,0.3939226,-0.2098469
62,2.0526645,2.164037,"('incompetent', 'brilliant')",2.0526645,2.164037,0.1113725
63,0.89545697,0.8873661,"('unperceptive', 'insightful')",0.895457,0.8873661,-0.0080909
64,-4.9281325,-4.8753486,"('shy', 'confident')",-4.9281325,-4.8753486,0.0527839
65,1.3595624,1.3773421,"('insecure', 'secure')",1.3595624,1.3773421,0.0177797
66,-0.58837044,-0.710814,"('inactive', 'active')",-0.5883704,-0.710814,-0.1224436
67,-0.29202986,-0.1794372,"('doubtful', 'determined')",-0.2920299,-0.1794372,0.1125927
68,-0.80401593,-0.76490146,"('dependent', 'independent')",-0.8040159,-0.7649015,0.0391144
69,-2.5669944,-2.5506852,"('lazy', 'industrious')",-2.5669944,-2.5506852,0.0163092
70,2.4421124,2.4248111,"('lethargic', 'energetic')",2.4421124,2.4248111,-0.0173013
71,-0.4355348,-0.3616368,"('diffident', 'self-confident')",-0.4355348,-0.3616368,0.073898
72,1.1009883,1.161189,"('unambitious', 'ambitious')",1.1009883,1.161189,0.0602007
73,-3.5018945,-3.4193401,"('helpless', 'self-reliant')",-3.5018945,-3.4193401,0.0825544
74,0.10925822,0.069086276,"('undedicated', 'dedicated')",0.1092582,0.0690863,-0.0401719
75,-1.2245278,-1.1282907,"('meek', 'impulsive')",-1.2245278,-1.1282907,0.0962371
76,1.538681,1.5973557,"('anxious', 'daring')",1.538681,1.5973557,0.0586747
77,-0.27697125,-0.16363913,"('unmotivated', 'motivated')",-0.2769713,-0.1636391,0.1133322
78,-0.6498572,-0.5661409,"('nonresilient', 'resilient')",-0.6498572,-0.5661409,0.0837163
79,-1.507729,-1.5415306,"('wavering', 'unwavering')",-1.5077291,-1.5415306,-0.0338015
80,1.1528528,1.1379665,"('dominated', 'dominating')",1.1528528,1.1379665,-0.0148863
81,1.6280361,1.7544996,"('submissive', 'aggressive')",1.6280361,1.7544996,0.1264635
82,5.4956746,5.6246443,"('poor', 'rich')",5.4956746,5.6246443,0.1289697
83,-0.13346776,-0.077953056,"('powerless', 'powerful')",-0.1334678,-0.0779531,0.0555147
84,-0.3926366,-0.3708226,"('inferior', 'superior')",-0.3926366,-0.3708226,0.021814
85,-2.6051452,-2.741028,"('insignificant', 'prestigious')",-2.6051452,-2.7410281,-0.1358829
86,0.9421097,0.8489984,"('uninfluential', 'influential')",0.9421097,0.8489984,-0.0931113
87,-0.33562374,-0.26486456,"('unsuccessful', 'successful')",-0.3356237,-0.2648646,0.0707591
88,0.12580796,0.12659492,"('low', 'eminent')",0.125808,0.1265949,0.0007869
