,tournament_male,tournament_female,tuple,average_male,average_female,female-male
0,0.73376536,0.6598447,"('unsociable', 'sociable')",0.7337654,0.6598447,-0.0739207
1,0.8760981,0.73762506,"('unfriendly', 'friendly')",0.8760981,0.7376251,-0.138473
2,0.5498701,0.71937096,"('unlikable', 'likable')",0.5498701,0.719371,0.1695009
3,1.0534742,1.0848365,"('repellent', 'pleasant')",1.0534742,1.0848365,0.0313623
4,-7.2437444,-7.3095455,"('disliked', 'liked')",-7.2437444,-7.3095455,-0.0658011
5,-1.058132,-1.0556719,"('distant', 'outgoing')",-1.0581321,-1.0556719,0.0024602
6,-0.5076085,-0.57852185,"('distant', 'open')",-0.5076085,-0.5785218,-0.0709133
7,1.8797821,1.8845277,"('insensitive', 'sensitive')",1.8797821,1.8845277,0.0047456
8,0.69813436,0.6048735,"('unaffectionate', 'affectionate')",0.6981344,0.6048735,-0.0932609
9,1.4709595,1.4606261,"('unaffectionate', 'caring')",1.4709595,1.4606261,-0.0103334
10,1.6961373,1.6722951,"('unsympathetic', 'sympathetic')",1.6961373,1.6722951,-0.0238422
11,1.8671358,1.8843737,"('unhelpful', 'helpful')",1.8671358,1.8843737,0.0172379
12,-1.5420032,-1.5359771,"('unsupportive', 'supportive')",-1.5420032,-1.5359771,0.0060261
13,0.831285,0.8369149,"('impolite', 'polite')",0.831285,0.8369149,0.0056299
14,0.73853457,0.699393,"('antisocial', 'social')",0.7385346,0.699393,-0.0391416
15,0.37780756,0.3560165,"('boring', 'funny')",0.3778076,0.3560165,-0.0217911
16,-0.48837113,-0.47753128,"('unpopular', 'popular')",-0.4883711,-0.4775313,0.0108398
17,-0.95266217,-0.94252896,"('nasty', 'nice')",-0.9526622,-0.942529,0.0101332
18,-0.48283157,-0.4435998,"('disagreeable', 'welcoming')",-0.4828316,-0.4435998,0.0392318
19,-1.1025769,-1.0517614,"('inhospitable', 'hospitable')",-1.1025769,-1.0517614,0.0508155
20,1.4187822,1.3264498,"('rough', 'thoughtful')",1.4187822,1.3264498,-0.0923324
21,0.6801647,0.85652614,"('immoral', 'moral')",0.6801647,0.8565261,0.1763614
22,0.18194117,0.2037099,"('untrustworthy', 'trustworthy')",0.1819412,0.2037099,0.0217687
23,6.2541533,6.267188,"('insincere', 'sincere')",6.2541533,6.2671881,0.0130348
24,1.5570573,1.5250518,"('dishonest', 'honest')",1.5570573,1.5250518,-0.0320055
25,0.08722861,0.09659076,"('egoistic', 'altruistic')",0.0872286,0.0965908,0.0093622
26,0.8030917,0.57813925,"('hardhearted', 'benevolent')",0.8030917,0.5781392,-0.2249525
27,1.5428597,1.3644643,"('hardhearted', 'softhearted')",1.5428597,1.3644643,-0.1783954
28,1.2688688,1.1845311,"('disloyal', 'loyal')",1.2688688,1.1845311,-0.0843377
29,-0.71675676,-0.7919607,"('unfair', 'fair')",-0.7167568,-0.7919607,-0.0752039
30,0.9933053,1.0535307,"('intolerant', 'tolerant')",0.9933053,1.0535307,0.0602254
31,-2.1056046,-2.1380253,"('evil', 'good')",-2.1056046,-2.1380253,-0.0324207
32,1.1225951,0.9926802,"('unkind', 'kind')",1.1225951,0.9926802,-0.1299149
33,-0.32022184,-0.35164377,"('wrong', 'right')",-0.3202218,-0.3516438,-0.031422
34,3.9731731,4.1747527,"('mean', 'honorable')",3.9731731,4.1747527,0.2015796
35,-1.4765545,-1.6831956,"('corrupt', 'incorrupt')",-1.4765545,-1.6831956,-0.2066411
36,-1.6298573,-1.7386223,"('hostile', 'amicable')",-1.6298573,-1.7386223,-0.108765
37,1.0503014,1.0594981,"('fake', 'genuine')",1.0503014,1.0594981,0.0091967
38,-0.5535791,-0.48189825,"('untruthful', 'truthful')",-0.5535791,-0.4818982,0.0716809
39,0.47300795,0.52460164,"('exploitative', 'cooperative')",0.4730079,0.5246016,0.0515937
40,-1.3446985,-1.5328273,"('stingy', 'generous')",-1.3446985,-1.5328273,-0.1881288
41,0.20055087,0.16208966,"('unforgiving', 'forgiving')",0.2005509,0.1620897,-0.0384612
42,-1.5513177,-1.5105036,"('unreliable', 'reliable')",-1.5513177,-1.5105036,0.0408141
43,1.7078918,1.7654071,"('irresponsible', 'responsible')",1.7078918,1.7654071,0.0575153
44,-1.1163329,-1.0892444,"('prejudiced', 'unprejudiced')",-1.1163329,-1.0892444,0.0270885
45,1.2724441,1.1871537,"('incompetent', 'competent')",1.2724441,1.1871537,-0.0852904
46,0.55172306,0.5988556,"('uncompetitive', 'competitive')",0.5517231,0.5988556,0.0471325
47,4.739241,4.8570237,"('stupid', 'smart')",4.7392411,4.8570237,0.1177826
48,1.0156515,1.0393454,"('unintelligent', 'intelligent')",1.0156515,1.0393454,0.0236939
49,0.23282416,0.47205532,"('unable', 'able')",0.2328242,0.4720553,0.2392311
50,-0.40860114,-0.45597264,"('clumsy', 'skillful')",-0.4086011,-0.4559726,-0.0473715
51,0.4878632,0.45663533,"('uneducated', 'educated')",0.4878632,0.4566353,-0.0312279
52,-0.79384285,-0.96993285,"('irrational', 'rational')",-0.7938429,-0.9699329,-0.17609
53,0.20458406,0.1799931,"('uncreative', 'creative')",0.2045841,0.1799931,-0.024591
54,1.0684025,1.2447774,"('incapable', 'capable')",1.0684025,1.2447774,0.1763749
55,1.8661046,1.9490261,"('incompetent', 'clever')",1.8661046,1.9490261,0.0829215
56,1.3001508,1.3287731,"('impractical', 'practical')",1.3001508,1.3287731,0.0286223
57,-1.6925287,-1.7216924,"('unimaginative', 'imaginative')",-1.6925287,-1.7216924,-0.0291637
58,0.47169054,0.4120952,"('undiscriminating', 'discriminating')",0.4716905,0.4120952,-0.0595953
59,-0.87351006,-0.9184064,"('foolish', 'wise')",-0.8735101,-0.9184064,-0.0448963
60,1.489636,1.7575738,"('inefficient', 'efficient')",1.4896359,1.7575738,0.2679379
61,0.8200253,0.66041994,"('illogical', 'logical')",0.8200253,0.6604199,-0.1596054
62,1.6521881,1.8261678,"('incompetent', 'brilliant')",1.6521881,1.8261678,0.1739797
63,0.89875406,0.9740728,"('unperceptive', 'insightful')",0.8987541,0.9740728,0.0753187
64,-5.3778996,-5.301135,"('shy', 'confident')",-5.3778996,-5.3011351,0.0767645
65,1.2899232,1.4137758,"('insecure', 'secure')",1.2899232,1.4137758,0.1238526
66,-0.25292626,-0.45391273,"('inactive', 'active')",-0.2529263,-0.4539127,-0.2009864
67,-0.3018989,-0.20225437,"('doubtful', 'determined')",-0.3018989,-0.2022544,0.0996445
68,-0.40527046,-0.3160486,"('dependent', 'independent')",-0.4052705,-0.3160486,0.0892219
69,-2.1274009,-2.1539683,"('lazy', 'industrious')",-2.1274009,-2.1539683,-0.0265674
70,1.9830263,1.994334,"('lethargic', 'energetic')",1.9830263,1.994334,0.0113077
71,0.7129866,0.6770443,"('diffident', 'self-confident')",0.7129866,0.6770443,-0.0359423
72,0.79503375,0.92621356,"('unambitious', 'ambitious')",0.7950338,0.9262136,0.1311798
73,-3.2542224,-3.2184584,"('helpless', 'self-reliant')",-3.2542224,-3.2184584,0.035764
74,0.4666727,0.3453044,"('undedicated', 'dedicated')",0.4666727,0.3453044,-0.1213683
75,-1.2296234,-1.1029907,"('meek', 'impulsive')",-1.2296234,-1.1029907,0.1266327
76,1.3282337,1.3926486,"('anxious', 'daring')",1.3282337,1.3926486,0.0644149
77,-0.92207384,-0.67151755,"('unmotivated', 'motivated')",-0.9220738,-0.6715176,0.2505562
78,-0.3128164,-0.31590357,"('nonresilient', 'resilient')",-0.3128164,-0.3159036,-0.0030872
79,-1.2154156,-1.2414771,"('wavering', 'unwavering')",-1.2154156,-1.2414771,-0.0260615
80,0.6153851,0.5071984,"('dominated', 'dominating')",0.6153851,0.5071984,-0.1081867
81,0.8876898,0.9584693,"('submissive', 'aggressive')",0.8876898,0.9584693,0.0707795
82,6.278213,6.352564,"('poor', 'rich')",6.278213,6.3525639,0.0743509
83,-0.17577773,-0.119881436,"('powerless', 'powerful')",-0.1757777,-0.1198814,0.0558963
84,0.12425355,0.110663146,"('inferior', 'superior')",0.1242535,0.1106631,-0.0135904
85,-1.6932077,-1.8024328,"('insignificant', 'prestigious')",-1.6932077,-1.8024328,-0.1092251
86,1.1475312,1.0874219,"('uninfluential', 'influential')",1.1475312,1.0874219,-0.0601093
87,0.5308495,0.48542964,"('unsuccessful', 'successful')",0.5308495,0.4854296,-0.0454199
88,0.36326218,0.3634253,"('low', 'eminent')",0.3632622,0.3634253,0.0001631
