,friction_male,friction_female,tuple,average_male,average_female,female-male
0,-0.0636199,-0.09510523,"('unsociable', 'sociable')",-0.0636199,-0.0951052,-0.0314853
1,1.5292051,1.4195069,"('unfriendly', 'friendly')",1.5292051,1.4195069,-0.1096982
2,0.07867755,0.10335329,"('unlikable', 'likable')",0.0786775,0.1033533,0.0246758
3,0.21105716,0.42580947,"('repellent', 'pleasant')",0.2110572,0.4258095,0.2147523
4,-7.86442,-8.062102,"('disliked', 'liked')",-7.8644199,-8.0621023,-0.1976824
5,-0.82694453,-0.7652142,"('distant', 'outgoing')",-0.8269445,-0.7652142,0.0617303
6,-0.24672976,-0.25437468,"('distant', 'open')",-0.2467298,-0.2543747,-0.0076449
7,1.0723624,1.2123339,"('insensitive', 'sensitive')",1.0723624,1.2123339,0.1399715
8,1.539029,1.4789501,"('unaffectionate', 'affectionate')",1.539029,1.4789501,-0.0600789
9,2.0342422,2.0836775,"('unaffectionate', 'caring')",2.0342422,2.0836775,0.0494353
10,1.0121505,1.1881993,"('unsympathetic', 'sympathetic')",1.0121505,1.1881993,0.1760488
11,1.8864541,1.9782028,"('unhelpful', 'helpful')",1.8864541,1.9782028,0.0917487
12,-1.5656947,-1.566383,"('unsupportive', 'supportive')",-1.5656947,-1.566383,-0.0006883
13,-0.15970331,-0.08515396,"('impolite', 'polite')",-0.1597033,-0.085154,0.0745493
14,0.10612771,0.005687342,"('antisocial', 'social')",0.1061277,0.0056873,-0.1004404
15,0.0568114,-0.019106304,"('boring', 'funny')",0.0568114,-0.0191063,-0.0759177
16,-0.6217853,-0.5933373,"('unpopular', 'popular')",-0.6217853,-0.5933373,0.028448
17,-0.33575362,-0.37150824,"('nasty', 'nice')",-0.3357536,-0.3715082,-0.0357546
18,-0.963011,-0.8989078,"('disagreeable', 'welcoming')",-0.963011,-0.8989078,0.0641032
19,-0.8697327,-0.7981114,"('inhospitable', 'hospitable')",-0.8697327,-0.7981114,0.0716213
20,0.79396814,0.76869905,"('rough', 'thoughtful')",0.7939681,0.768699,-0.0252691
21,-0.45297828,-0.22969824,"('immoral', 'moral')",-0.4529783,-0.2296982,0.2232801
22,-0.6793678,-0.7573854,"('untrustworthy', 'trustworthy')",-0.6793678,-0.7573854,-0.0780176
23,6.417729,6.6093893,"('insincere', 'sincere')",6.4177289,6.6093893,0.1916604
24,1.7708621,1.751328,"('dishonest', 'honest')",1.7708621,1.751328,-0.0195341
25,0.6812962,0.5331559,"('egoistic', 'altruistic')",0.6812962,0.5331559,-0.1481403
26,1.1320267,0.8725624,"('hardhearted', 'benevolent')",1.1320267,0.8725624,-0.2594643
27,1.4099964,1.374744,"('hardhearted', 'softhearted')",1.4099964,1.3747441,-0.0352523
28,1.5283695,1.4924105,"('disloyal', 'loyal')",1.5283695,1.4924105,-0.035959
29,-1.0456784,-1.0985641,"('unfair', 'fair')",-1.0456784,-1.0985641,-0.0528857
30,0.9342348,1.0586355,"('intolerant', 'tolerant')",0.9342348,1.0586355,0.1244007
31,-1.6265693,-1.6919752,"('evil', 'good')",-1.6265693,-1.6919752,-0.0654059
32,1.2068511,1.1340482,"('unkind', 'kind')",1.2068511,1.1340482,-0.0728029
33,-0.43230432,-0.5468571,"('wrong', 'right')",-0.4323043,-0.5468571,-0.1145528
34,4.729969,5.0209703,"('mean', 'honorable')",4.729969,5.0209703,0.2910013
35,-0.6456914,-0.97625417,"('corrupt', 'incorrupt')",-0.6456914,-0.9762542,-0.3305628
36,-0.18323839,-0.4334396,"('hostile', 'amicable')",-0.1832384,-0.4334396,-0.2502012
37,0.7900347,0.8624784,"('fake', 'genuine')",0.7900347,0.8624784,0.0724437
38,0.10647701,0.14663096,"('untruthful', 'truthful')",0.106477,0.146631,0.040154
39,0.52163744,0.5179551,"('exploitative', 'cooperative')",0.5216374,0.5179551,-0.0036823
40,-2.0448246,-2.1530895,"('stingy', 'generous')",-2.0448246,-2.1530895,-0.1082649
41,0.098046705,0.10465385,"('unforgiving', 'forgiving')",0.0980467,0.1046539,0.0066072
42,-3.0138566,-2.9449003,"('unreliable', 'reliable')",-3.0138566,-2.9449003,0.0689563
43,0.9662162,1.1497706,"('irresponsible', 'responsible')",0.9662162,1.1497706,0.1835544
44,-1.8361746,-1.8040951,"('prejudiced', 'unprejudiced')",-1.8361746,-1.8040951,0.0320795
45,0.12402196,0.15018573,"('incompetent', 'competent')",0.124022,0.1501857,0.0261637
46,-0.528312,-0.46392485,"('uncompetitive', 'competitive')",-0.528312,-0.4639249,0.0643871
47,5.5508986,5.684689,"('stupid', 'smart')",5.5508986,5.684689,0.1337904
48,0.70047605,0.8593004,"('unintelligent', 'intelligent')",0.7004761,0.8593004,0.1588243
49,-0.12267944,0.13062906,"('unable', 'able')",-0.1226794,0.1306291,0.2533085
