,genuine_male,genuine_female,tuple,parts_male,parts_female,co_male,co_female,average_male,average_female,female-male
0,2.3255477,2.404514,"('unsociable', 'sociable')",0.85067403,0.800083,0.5882758,0.38237652,1.2548326,1.1956578,-0.0591748
1,-0.5575661,-0.92656326,"('unfriendly', 'friendly')",0.19339706,0.03278721,1.8392354,1.5747601,0.4916888,0.2269947,-0.2646941
2,0.38997108,0.44530082,"('unlikable', 'likable')",0.15703328,0.18274349,0.67171764,0.7967539,0.4062407,0.4749328,0.0686921
3,0.70662916,0.97381055,"('repellent', 'pleasant')",-0.3572625,-0.22882003,0.27355152,0.43499854,0.2076394,0.3933297,0.1856903
4,-1.4827542,-1.8813581,"('disliked', 'liked')",-0.17855532,-0.1831528,-7.120275,-7.315027,-2.9271949,-3.1265125,-0.1993176
5,-3.0368097,-3.4126785,"('distant', 'outgoing')",-0.1870057,-0.2793513,-0.17134997,-0.14346078,-1.1317218,-1.2784968,-0.146775
6,-3.073485,-3.4281578,"('distant', 'open')",-0.49215984,-0.6023447,-0.35248527,-0.34324124,-1.3060433,-1.4579145,-0.1518712
7,2.346127,2.6744213,"('insensitive', 'sensitive')",-0.15531768,-0.026664328,0.433033,0.4265427,0.8746141,1.0247666,0.1501525
8,-2.175995,-2.4610655,"('unaffectionate', 'affectionate')",-0.83480203,-0.95947766,0.49929446,0.39847237,-0.8371675,-1.007357,-0.1701895
9,0.27510092,0.107575536,"('unaffectionate', 'caring')",0.2848995,0.16454357,1.1015306,1.092987,0.5538437,0.4550354,-0.0988083
10,3.2871025,3.854508,"('unsympathetic', 'sympathetic')",0.20351419,0.10674432,0.1213789,0.11209284,1.2039985,1.3577817,0.1537832
11,2.5961282,2.859794,"('unhelpful', 'helpful')",1.0101339,0.9536774,2.4833074,2.4937634,2.0298565,2.1024116,0.0725551
12,0.9567957,1.0179003,"('unsupportive', 'supportive')",0.3207639,0.28300884,-1.912586,-1.8833134,-0.2116755,-0.1941348,0.0175407
13,3.8236976,4.0993934,"('impolite', 'polite')",1.6489153,1.6570995,0.74934536,0.7540383,2.0739861,2.170177,0.0961909
14,2.5722425,2.6907527,"('antisocial', 'social')",0.96052146,0.98936427,0.2981394,0.0841389,1.2769678,1.254752,-0.0222158
15,1.2340593,1.0140839,"('boring', 'funny')",0.74280846,0.7528091,0.66526425,0.62465084,0.8807107,0.7971813,-0.0835294
16,-2.4021282,-2.4120343,"('unpopular', 'popular')",-1.0472798,-0.9677501,0.14072669,0.12713683,-1.1028938,-1.0842158,0.018678
17,0.38886037,0.25815734,"('nasty', 'nice')",0.144234,0.15222019,-0.11667817,-0.11018396,0.1388054,0.1000645,-0.0387409
18,-1.5002135,-1.4659116,"('disagreeable', 'welcoming')",-1.0913969,-0.982837,-1.0150014,-1.0251426,-1.2022039,-1.1579638,0.0442401
19,-1.4320744,-1.6391356,"('inhospitable', 'hospitable')",-0.56502,-0.63838893,-0.26151168,-0.174602,-0.7528687,-0.8173755,-0.0645068
20,1.4303252,1.5381414,"('rough', 'thoughtful')",-0.19696724,-0.24727026,0.46246648,0.44416994,0.5652748,0.578347,0.0130722
21,2.0453248,2.3037157,"('immoral', 'moral')",0.66544574,0.7094012,-0.4775626,-0.3524015,0.7444026,0.8869051,0.1425025
