,devon_male,devon_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,0.75882363,0.6188479,"('unsociable', 'sociable')",0.0856974,0.05449397,-0.2106126,-0.29652694,0.2113028,0.125605,-0.0856978
1,0.49190682,0.41797823,"('unfriendly', 'friendly')",0.56390154,0.47547963,1.0615364,0.94804335,0.7057816,0.6138337,-0.0919479
2,0.6243082,0.6505194,"('unlikable', 'likable')",1.2447789,1.2218713,0.45612454,0.49955404,0.7750705,0.7906482,0.0155777
3,0.052649125,0.1575898,"('repellent', 'pleasant')",-0.24645746,-0.15481624,0.9447945,0.9814025,0.2503287,0.3280587,0.07773
4,0.0505269,-0.060135573,"('disliked', 'liked')",0.6526778,0.45564884,-6.603242,-6.683328,-1.9666791,-2.0959384,-0.1292593
5,-0.60993415,-0.54574895,"('distant', 'outgoing')",0.06893127,0.008078128,-0.92645204,-0.95169693,-0.4891516,-0.4964559,-0.0073043
6,-1.1618683,-1.1181948,"('distant', 'open')",-0.3914227,-0.5100557,-1.1174682,-1.2057201,-0.8902531,-0.9446568,-0.0544037
7,1.4158441,1.3429855,"('insensitive', 'sensitive')",0.6587819,0.7558298,0.62254745,0.66769195,0.8990578,0.9221691,0.0231113
8,0.5943453,0.5912612,"('unaffectionate', 'affectionate')",-0.52128184,-0.62747455,0.2560302,0.16730551,0.1096979,0.0436974,-0.0660005
9,1.4036587,1.3896221,"('unaffectionate', 'caring')",0.2678139,0.23532277,0.8708428,0.8172139,0.8474385,0.8140529,-0.0333856
10,1.3402114,1.3421596,"('unsympathetic', 'sympathetic')",-0.5957789,-0.58289814,-0.42333782,-0.41840416,0.1070316,0.1136191,0.0065875
11,0.832888,0.8762981,"('unhelpful', 'helpful')",0.25742042,0.38070965,2.2126396,2.2704089,1.1009827,1.1758056,0.0748229
12,1.2548386,1.2431215,"('unsupportive', 'supportive')",0.5453122,0.6135491,-1.9775333,-1.9368623,-0.0591275,-0.0267306,0.0323969
13,0.6120991,0.4957852,"('impolite', 'polite')",0.20542116,0.3375634,-0.45044732,-0.4536773,0.1223576,0.1265571,0.0041995
14,1.5208576,1.3974078,"('antisocial', 'social')",0.9349099,0.9887361,0.32110527,0.2289711,0.9256242,0.871705,-0.0539192
15,-0.07997044,-0.118233934,"('boring', 'funny')",-0.01730031,-0.14811225,-0.45153058,-0.49261096,-0.1829338,-0.2529857,-0.0700519
16,-1.3690473,-1.3267567,"('unpopular', 'popular')",-0.23683967,-0.302256,0.1431684,0.12328808,-0.4875728,-0.5019082,-0.0143354
17,-0.19756784,-0.20983694,"('nasty', 'nice')",-0.74584204,-0.7210973,-0.7069767,-0.68261117,-0.5501289,-0.5378485,0.0122804
18,-0.6174963,-0.6240283,"('disagreeable', 'welcoming')",-1.0278215,-0.99351174,-1.2198204,-1.2171195,-0.955046,-0.9448865,0.0101595
19,-0.85229087,-0.8029634,"('inhospitable', 'hospitable')",-0.9575434,-0.9924274,-1.0294592,-0.9893228,-0.9464312,-0.9282379,0.0181933
20,0.42574048,0.4097887,"('rough', 'thoughtful')",0.12658608,0.17331737,0.4257632,0.43142235,0.3260299,0.3381761,0.0121462
21,0.78590256,0.8300949,"('immoral', 'moral')",1.2700843,1.2971096,-0.515963,-0.4249431,0.5133413,0.5674204,0.0540791
22,1.1597439,1.1002331,"('untrustworthy', 'trustworthy')",-0.36893952,-0.43334332,-0.5190858,-0.55485326,0.0905729,0.0373455,-0.0532274
23,0.7663063,0.7555638,"('insincere', 'sincere')",-0.39684653,-0.3255006,5.9536057,5.8951025,2.1076884,2.1083886,0.0007002
24,2.110931,2.1019018,"('dishonest', 'honest')",0.53591084,0.56090426,0.72843087,0.7486042,1.1250909,1.1371368,0.0120459
25,-0.76558733,-0.7811752,"('egoistic', 'altruistic')",0.73411137,0.6951921,0.7852206,0.7899623,0.2512482,0.2346597,-0.0165885
26,0.8179107,0.68092966,"('hardhearted', 'benevolent')",0.7621729,0.7249794,1.6999224,1.6184872,1.0933353,1.0081321,-0.0852032
27,-0.1497052,-0.1635957,"('hardhearted', 'softhearted')",0.14914843,0.21621898,0.8338487,0.76467955,0.277764,0.2724343,-0.0053297
28,1.4518781,1.3644809,"('disloyal', 'loyal')",0.40276352,0.29130295,1.4846406,1.4037465,1.113094,1.0198434,-0.0932506
29,-0.036911443,-0.09157942,"('unfair', 'fair')",-0.30592164,-0.3695945,-0.06504348,-0.17191882,-0.1359589,-0.2110309,-0.075072
30,0.7976313,0.83763015,"('intolerant', 'tolerant')",0.7380004,0.7520611,0.49918842,0.4602179,0.6782734,0.683303,0.0050296
31,-1.2378751,-1.1166286,"('evil', 'good')",-1.0728009,-1.1444074,-1.4598457,-1.4963107,-1.2568405,-1.2524489,0.0043916
32,0.6593616,0.58699816,"('unkind', 'kind')",0.1374904,0.20393361,0.9648655,0.9133664,0.5872392,0.5680994,-0.0191398
33,-0.4784131,-0.5388717,"('wrong', 'right')",0.9969728,0.8929746,-1.1620463,-1.1995474,-0.2144955,-0.2818148,-0.0673193
34,-0.76920986,-0.7444549,"('mean', 'honorable')",0.2666818,0.37943265,5.440285,5.5762925,1.645919,1.7370901,0.0911711
35,-1.3344926,-1.3146082,"('corrupt', 'incorrupt')",-0.6052536,-0.7321651,-0.69561136,-0.7600352,-0.8784525,-0.9356029,-0.0571504
36,-1.3976059,-1.462189,"('hostile', 'amicable')",-0.7796351,-0.99819493,-0.7863062,-0.9115944,-0.987849,-1.1239928,-0.1361438
37,1.2765577,1.3132745,"('fake', 'genuine')",0.35556024,0.33151358,0.011314215,0.052766256,0.5478108,0.5658514,0.0180406
38,0.5235532,0.5338667,"('untruthful', 'truthful')",0.15960592,0.11513803,0.12395964,0.17579857,0.2690396,0.2749345,0.0058949
39,1.7571025,1.7673267,"('exploitative', 'cooperative')",0.16275996,0.29668924,0.026574748,0.07601127,0.6488124,0.7133423,0.0645299
40,0.74199677,0.73059016,"('stingy', 'generous')",0.33904508,0.2763182,-2.2024915,-2.2797332,-0.3738166,-0.4242749,-0.0504583
41,0.8705461,0.76339394,"('unforgiving', 'forgiving')",-0.5816005,-0.66088134,-0.24003379,-0.33114246,0.0163039,-0.07621,-0.0925139
