,anger_male,anger_female,tuple,average_male,average_female,female-male
0,-0.1058075,-0.14409444,"('unsociable', 'sociable')",-0.1058075,-0.1440944,-0.0382869
1,1.8534012,1.9808489,"('unfriendly', 'friendly')",1.8534012,1.9808489,0.1274477
2,0.20552047,0.303216,"('unlikable', 'likable')",0.2055205,0.303216,0.0976955
3,0.7645627,0.97807235,"('repellent', 'pleasant')",0.7645627,0.9780723,0.2135096
4,-7.6653533,-7.562169,"('disliked', 'liked')",-7.6653533,-7.5621691,0.1031842
5,-0.07576952,0.29685768,"('distant', 'outgoing')",-0.0757695,0.2968577,0.3726272
6,0.15914777,0.472421,"('distant', 'open')",0.1591478,0.472421,0.3132732
7,0.9645127,1.1504511,"('insensitive', 'sensitive')",0.9645127,1.1504511,0.1859384
8,1.5903319,1.5706877,"('unaffectionate', 'affectionate')",1.5903319,1.5706877,-0.0196442
9,2.0581024,2.1128545,"('unaffectionate', 'caring')",2.0581024,2.1128545,0.0547521
10,1.0361854,1.064766,"('unsympathetic', 'sympathetic')",1.0361854,1.064766,0.0285806
11,2.1583822,2.273993,"('unhelpful', 'helpful')",2.1583822,2.273993,0.1156108
12,-1.1541795,-0.9167275,"('unsupportive', 'supportive')",-1.1541795,-0.9167275,0.237452
13,0.19792397,0.07879632,"('impolite', 'polite')",0.197924,0.0787963,-0.1191277
14,-0.08000623,-0.1654194,"('antisocial', 'social')",-0.0800062,-0.1654194,-0.0854132
15,0.5677934,0.5952579,"('boring', 'funny')",0.5677934,0.5952579,0.0274645
16,-0.75649244,-0.63471293,"('unpopular', 'popular')",-0.7564924,-0.6347129,0.1217795
17,-0.87465745,-0.7954101,"('nasty', 'nice')",-0.8746575,-0.7954101,0.0792474
18,-0.44035178,-0.3379969,"('disagreeable', 'welcoming')",-0.4403518,-0.3379969,0.1023549
19,-0.1968574,0.14449483,"('inhospitable', 'hospitable')",-0.1968574,0.1444948,0.3413522
20,0.57081306,0.34090418,"('rough', 'thoughtful')",0.5708131,0.3409042,-0.2299089
21,-0.13346806,-0.060171552,"('immoral', 'moral')",-0.1334681,-0.0601716,0.0732965
22,-0.83936536,-0.727917,"('untrustworthy', 'trustworthy')",-0.8393654,-0.727917,0.1114484
23,7.269594,7.4450674,"('insincere', 'sincere')",7.2695942,7.4450674,0.1754732
24,2.060355,2.2020578,"('dishonest', 'honest')",2.0603549,2.2020578,0.1417029
25,0.7110314,0.6321811,"('egoistic', 'altruistic')",0.7110314,0.6321811,-0.0788503
26,0.6240941,0.35680044,"('hardhearted', 'benevolent')",0.6240941,0.3568004,-0.2672937
27,1.7480897,1.6181537,"('hardhearted', 'softhearted')",1.7480897,1.6181537,-0.129936
28,1.337868,1.2146077,"('disloyal', 'loyal')",1.337868,1.2146077,-0.1232603
29,-1.1438997,-1.1583046,"('unfair', 'fair')",-1.1438997,-1.1583046,-0.0144049
30,1.0551292,1.0178021,"('intolerant', 'tolerant')",1.0551292,1.0178021,-0.0373271
31,-1.5596318,-1.395379,"('evil', 'good')",-1.5596318,-1.3953789,0.1642529
32,1.1241245,1.0037532,"('unkind', 'kind')",1.1241245,1.0037532,-0.1203713
33,-0.06859014,0.01933535,"('wrong', 'right')",-0.0685901,0.0193354,0.0879255
34,4.9295683,5.1942997,"('mean', 'honorable')",4.9295683,5.1942997,0.2647314
35,-1.0261713,-1.0187529,"('corrupt', 'incorrupt')",-1.0261713,-1.0187529,0.0074184
36,-1.0749847,-1.1264756,"('hostile', 'amicable')",-1.0749847,-1.1264756,-0.0514909
37,1.4092021,1.2765898,"('fake', 'genuine')",1.4092021,1.2765898,-0.1326123
