,furnace_male,furnace_female,tuple,average_male,average_female,female-male
0,0.073858224,-0.13856018,"('unsociable', 'sociable')",0.0738582,-0.1385602,-0.2124184
1,1.5281893,1.562883,"('unfriendly', 'friendly')",1.5281893,1.562883,0.0346937
2,0.47517014,0.73150104,"('unlikable', 'likable')",0.4751701,0.731501,0.2563309
3,-0.19546993,0.42769584,"('repellent', 'pleasant')",-0.1954699,0.4276958,0.6231657
4,-7.7401104,-7.8085036,"('disliked', 'liked')",-7.7401104,-7.8085036,-0.0683932
5,-0.27263975,-0.19287367,"('distant', 'outgoing')",-0.2726398,-0.1928737,0.0797661
6,-0.022155982,0.10691467,"('distant', 'open')",-0.022156,0.1069147,0.1290707
7,1.0149107,1.3636808,"('insensitive', 'sensitive')",1.0149107,1.3636808,0.3487701
8,1.3159418,1.3133535,"('unaffectionate', 'affectionate')",1.3159418,1.3133535,-0.0025883
9,1.6591283,1.7810425,"('unaffectionate', 'caring')",1.6591283,1.7810425,0.1219142
10,0.4476483,0.7939372,"('unsympathetic', 'sympathetic')",0.4476483,0.7939372,0.3462889
11,1.8642296,2.0179641,"('unhelpful', 'helpful')",1.8642296,2.0179641,0.1537345
12,-1.4117285,-1.2325531,"('unsupportive', 'supportive')",-1.4117285,-1.2325531,0.1791754
13,-0.1852634,-0.13386025,"('impolite', 'polite')",-0.1852634,-0.1338602,0.0514032
14,-0.027777426,0.018091446,"('antisocial', 'social')",-0.0277774,0.0180914,0.0458688
15,0.56479186,0.5110018,"('boring', 'funny')",0.5647919,0.5110018,-0.0537901
16,-0.3211848,-0.35552013,"('unpopular', 'popular')",-0.3211848,-0.3555201,-0.0343353
17,-0.43030584,-0.44134772,"('nasty', 'nice')",-0.4303058,-0.4413477,-0.0110419
18,-0.41075265,-0.302868,"('disagreeable', 'welcoming')",-0.4107527,-0.302868,0.1078847
19,-0.40541002,-0.13671759,"('inhospitable', 'hospitable')",-0.40541,-0.1367176,0.2686924
20,0.27054548,0.36332098,"('rough', 'thoughtful')",0.2705455,0.363321,0.0927755
21,-0.35702252,0.04778169,"('immoral', 'moral')",-0.3570225,0.0477817,0.4048042
22,-0.79414016,-0.59602326,"('untrustworthy', 'trustworthy')",-0.7941402,-0.5960233,0.1981169
