,refuse_male,refuse_female,tuple,average_male,average_female,female-male
0,-0.25369516,-0.23999803,"('unsociable', 'sociable')",-0.2536952,-0.239998,0.0136972
1,1.6251359,1.5081985,"('unfriendly', 'friendly')",1.6251359,1.5081985,-0.1169374
2,-0.18410425,-0.12592813,"('unlikable', 'likable')",-0.1841042,-0.1259281,0.0581761
3,0.27664915,0.42260566,"('repellent', 'pleasant')",0.2766491,0.4226057,0.1459566
4,-7.666362,-7.726746,"('disliked', 'liked')",-7.6663618,-7.7267461,-0.0603843
5,-0.5719119,-0.5429053,"('distant', 'outgoing')",-0.5719119,-0.5429053,0.0290066
6,0.054323956,0.0062410906,"('distant', 'open')",0.054324,0.0062411,-0.0480829
7,0.91864145,0.97934616,"('insensitive', 'sensitive')",0.9186414,0.9793462,0.0607048
8,1.6025022,1.4510033,"('unaffectionate', 'affectionate')",1.6025022,1.4510033,-0.1514989
9,1.981212,1.93587,"('unaffectionate', 'caring')",1.981212,1.9358701,-0.0453419
10,0.91433346,1.0009058,"('unsympathetic', 'sympathetic')",0.9143335,1.0009058,0.0865723
11,1.753164,1.8254732,"('unhelpful', 'helpful')",1.7531641,1.8254732,0.0723091
12,-1.6467996,-1.6241951,"('unsupportive', 'supportive')",-1.6467996,-1.6241951,0.0226045
13,-0.5103655,-0.43165135,"('impolite', 'polite')",-0.5103655,-0.4316514,0.0787141
14,-0.25289613,-0.19889724,"('antisocial', 'social')",-0.2528961,-0.1988972,0.0539989
15,0.06578033,-0.008615598,"('boring', 'funny')",0.0657803,-0.0086156,-0.0743959
16,-0.7936889,-0.823467,"('unpopular', 'popular')",-0.7936889,-0.823467,-0.0297781
17,-0.5054782,-0.46151188,"('nasty', 'nice')",-0.5054782,-0.4615119,0.0439663
18,-0.8739607,-0.8342308,"('disagreeable', 'welcoming')",-0.8739607,-0.8342308,0.0397299
19,-0.8461118,-0.8278777,"('inhospitable', 'hospitable')",-0.8461118,-0.8278777,0.0182341
20,0.5867019,0.5774484,"('rough', 'thoughtful')",0.5867019,0.5774484,-0.0092535
21,-0.26790094,-0.11518476,"('immoral', 'moral')",-0.2679009,-0.1151848,0.1527161
22,-0.8628231,-0.8009841,"('untrustworthy', 'trustworthy')",-0.8628231,-0.8009841,0.061839
23,6.2194924,6.255078,"('insincere', 'sincere')",6.2194924,6.2550778,0.0355854
24,1.775885,1.6863385,"('dishonest', 'honest')",1.775885,1.6863385,-0.0895465
25,0.3644164,0.25742522,"('egoistic', 'altruistic')",0.3644164,0.2574252,-0.1069912
26,1.6802771,1.489107,"('hardhearted', 'benevolent')",1.6802771,1.489107,-0.1911701
27,1.7691087,1.6088017,"('hardhearted', 'softhearted')",1.7691087,1.6088017,-0.160307
28,1.6949102,1.5905861,"('disloyal', 'loyal')",1.6949102,1.5905861,-0.1043241
29,-0.43350354,-0.5593557,"('unfair', 'fair')",-0.4335035,-0.5593557,-0.1258522
30,0.30390465,0.41510296,"('intolerant', 'tolerant')",0.3039047,0.415103,0.1111983
31,-1.3404452,-1.4032341,"('evil', 'good')",-1.3404452,-1.4032341,-0.0627889
32,1.1727961,1.1070857,"('unkind', 'kind')",1.1727961,1.1070857,-0.0657104
33,-0.3386354,-0.42980224,"('wrong', 'right')",-0.3386354,-0.4298022,-0.0911668
34,4.47623,4.582459,"('mean', 'honorable')",4.4762301,4.582459,0.1062289
35,-1.1072799,-1.3347414,"('corrupt', 'incorrupt')",-1.1072799,-1.3347414,-0.2274615
36,-0.6169887,-0.8099433,"('hostile', 'amicable')",-0.6169887,-0.8099433,-0.1929546
37,0.88348323,0.8406859,"('fake', 'genuine')",0.8834832,0.8406859,-0.0427973
38,-0.2851875,-0.31304985,"('untruthful', 'truthful')",-0.2851875,-0.3130499,-0.0278624
39,0.25921956,0.31312189,"('exploitative', 'cooperative')",0.2592196,0.3131219,0.0539023
40,-1.6528721,-1.718619,"('stingy', 'generous')",-1.6528721,-1.718619,-0.0657469
41,0.3095634,0.27873516,"('unforgiving', 'forgiving')",0.3095634,0.2787352,-0.0308282
42,-2.67503,-2.5596511,"('unreliable', 'reliable')",-2.67503,-2.5596511,0.1153789
43,0.94007415,1.0779676,"('irresponsible', 'responsible')",0.9400741,1.0779676,0.1378935
44,-1.4635813,-1.351231,"('prejudiced', 'unprejudiced')",-1.4635813,-1.351231,0.1123503
45,0.07516353,0.09971279,"('incompetent', 'competent')",0.0751635,0.0997128,0.0245493
46,-0.6206188,-0.513422,"('uncompetitive', 'competitive')",-0.6206188,-0.513422,0.1071968
47,4.884603,4.9582887,"('stupid', 'smart')",4.884603,4.9582887,0.0736857
48,0.58566934,0.59790623,"('unintelligent', 'intelligent')",0.5856693,0.5979062,0.0122369
49,-0.56486255,-0.40231833,"('unable', 'able')",-0.5648625,-0.4023183,0.1625442
50,-0.8763056,-0.86422783,"('clumsy', 'skillful')",-0.8763056,-0.8642278,0.0120778
51,-0.66399384,-0.5737561,"('uneducated', 'educated')",-0.6639938,-0.5737561,0.0902377
52,-0.033758447,-0.22156444,"('irrational', 'rational')",-0.0337584,-0.2215644,-0.187806
53,0.0859268,0.011860635,"('uncreative', 'creative')",0.0859268,0.0118606,-0.0740662
54,0.5824127,0.6696371,"('incapable', 'capable')",0.5824127,0.6696371,0.0872244
55,0.29158464,0.4436456,"('incompetent', 'clever')",0.2915846,0.4436456,0.152061
56,0.6010345,0.6771339,"('impractical', 'practical')",0.6010345,0.6771339,0.0760994
57,-2.4292932,-2.3823528,"('unimaginative', 'imaginative')",-2.4292932,-2.3823528,0.0469404
58,0.26820385,0.28311136,"('undiscriminating', 'discriminating')",0.2682039,0.2831114,0.0149075
59,-0.16697885,-0.21288528,"('foolish', 'wise')",-0.1669789,-0.2128853,-0.0459064
60,0.2276971,0.4517803,"('inefficient', 'efficient')",0.2276971,0.4517803,0.2240832
61,0.46167085,0.38104036,"('illogical', 'logical')",0.4616708,0.3810404,-0.0806304
62,0.07629135,0.30601808,"('incompetent', 'brilliant')",0.0762914,0.3060181,0.2297267
63,-0.14121322,-0.03427396,"('unperceptive', 'insightful')",-0.1412132,-0.034274,0.1069392
64,-6.7730627,-6.6152215,"('shy', 'confident')",-6.7730627,-6.6152215,0.1578412
65,-0.090687215,0.083302535,"('insecure', 'secure')",-0.0906872,0.0833025,0.1739897
66,0.00038615987,-0.039374717,"('inactive', 'active')",0.0003862,-0.0393747,-0.0397609
67,-0.6098316,-0.58062994,"('doubtful', 'determined')",-0.6098316,-0.5806299,0.0292017
68,-1.3630911,-1.2767514,"('dependent', 'independent')",-1.3630911,-1.2767514,0.0863397
69,-2.1827219,-2.226926,"('lazy', 'industrious')",-2.1827219,-2.2269261,-0.0442042
70,0.93629086,1.0951288,"('lethargic', 'energetic')",0.9362909,1.0951288,0.1588379
71,0.67249596,0.63279,"('diffident', 'self-confident')",0.672496,0.63279,-0.039706
72,0.47012705,0.5910206,"('unambitious', 'ambitious')",0.470127,0.5910206,0.1208936
73,-3.5217874,-3.4617462,"('helpless', 'self-reliant')",-3.5217874,-3.4617462,0.0600412
74,0.0777139,0.031410556,"('undedicated', 'dedicated')",0.0777139,0.0314106,-0.0463033
75,-1.4124,-1.2931616,"('meek', 'impulsive')",-1.4124,-1.2931616,0.1192384
76,0.24093905,0.43553963,"('anxious', 'daring')",0.2409391,0.4355396,0.1946005
77,-1.3902029,-1.231442,"('unmotivated', 'motivated')",-1.3902029,-1.231442,0.1587609
78,-0.32807744,-0.39623648,"('nonresilient', 'resilient')",-0.3280774,-0.3962365,-0.0681591
79,-0.343107,-0.37501502,"('wavering', 'unwavering')",-0.343107,-0.375015,-0.031908
80,-0.3292934,-0.2595999,"('dominated', 'dominating')",-0.3292934,-0.2595999,0.0696935
81,-0.6247863,-0.4112725,"('submissive', 'aggressive')",-0.6247863,-0.4112725,0.2135138
82,6.0003695,6.1080127,"('poor', 'rich')",6.0003695,6.1080127,0.1076432
83,-0.7688865,-0.7141521,"('powerless', 'powerful')",-0.7688865,-0.7141521,0.0547344
84,0.021983348,0.039748758,"('inferior', 'superior')",0.0219833,0.0397488,0.0177655
85,-0.7065857,-0.8368868,"('insignificant', 'prestigious')",-0.7065857,-0.8368868,-0.1303011
86,0.29628807,0.2595786,"('uninfluential', 'influential')",0.2962881,0.2595786,-0.0367095
87,-0.5444851,-0.45782226,"('unsuccessful', 'successful')",-0.5444851,-0.4578223,0.0866628
88,-0.49887174,-0.43632424,"('low', 'eminent')",-0.4988717,-0.4363242,0.0625475
