,dte_male,dte_female,tuple,energy_male,energy_female,co_male,co_female,average_male,average_female,female-male
0,-0.9120544,-1.05907,"('unsociable', 'sociable')",0.25033957,0.12043859,-0.17582487,-0.32526776,-0.2791799,-0.4212997,-0.1421198
1,-2.1081479,-2.1737907,"('unfriendly', 'friendly')",0.39719188,0.19571015,1.0490328,0.94835854,-0.2206411,-0.3432407,-0.1225996
2,0.6319411,0.628313,"('unlikable', 'likable')",1.3300341,1.2944069,0.91543096,1.0027114,0.9591354,0.9751438,0.0160084
3,-0.3751175,-0.3462686,"('repellent', 'pleasant')",-0.25854722,-0.22207184,0.53255266,0.54247487,-0.033704,-0.0086219,0.0250821
4,0.029000847,-0.012163151,"('disliked', 'liked')",0.61385185,0.49528247,-6.4938397,-6.5423846,-1.950329,-2.019755,-0.069426
5,-1.2691522,-1.2641178,"('distant', 'outgoing')",-0.10118482,-0.12061043,-1.0493184,-0.9820481,-0.8065518,-0.7889255,0.0176263
6,-1.7016816,-1.686511,"('distant', 'open')",-0.65496886,-0.74730533,-0.82761496,-0.78938806,-1.0614218,-1.0744015,-0.0129797
7,-0.015326865,-0.0051965266,"('insensitive', 'sensitive')",0.8238425,0.88424206,-0.004557234,0.015564736,0.2679861,0.2982034,0.0302173
8,-1.6882039,-1.7507285,"('unaffectionate', 'affectionate')",-0.5236738,-0.69149536,0.21432798,0.16735263,-0.66585,-0.7582904,-0.0924404
9,-1.7507308,-1.8465363,"('unaffectionate', 'caring')",0.40333226,0.27162504,0.67988163,0.6431661,-0.2225056,-0.3105817,-0.0880761
10,-1.4295906,-1.5106838,"('unsympathetic', 'sympathetic')",-0.22700426,-0.23500097,-0.46240467,-0.4429134,-0.7063332,-0.7295327,-0.0231995
11,-0.14145997,-0.12866694,"('unhelpful', 'helpful')",0.6733166,0.6996137,1.9649915,1.9812605,0.8322827,0.8507357,0.018453
12,-0.17938879,-0.169359,"('unsupportive', 'supportive')",0.951148,0.9754057,-2.020214,-1.99367,-0.4161516,-0.3958744,0.0202772
13,-0.23933819,-0.2744419,"('impolite', 'polite')",0.14193611,0.25456685,-0.4246359,-0.4113871,-0.1740127,-0.143754,0.0302587
14,0.3110934,0.2878496,"('antisocial', 'social')",1.2191993,1.2101605,-0.07796027,-0.14534399,0.4841108,0.4508887,-0.0332221
15,1.0694687,0.9498915,"('boring', 'funny')",0.3679621,0.25193962,0.6839284,0.6344259,0.7071198,0.6120857,-0.0950341
16,-0.05022756,-0.15451051,"('unpopular', 'popular')",-0.29784545,-0.492923,0.31336442,0.18107459,-0.0115695,-0.155453,-0.1438835
17,-0.432957,-0.39060634,"('nasty', 'nice')",-0.87720674,-0.82726866,-0.21638584,-0.22706918,-0.5088499,-0.481648,0.0272019
18,-1.1393695,-1.1405246,"('disagreeable', 'welcoming')",-0.87804997,-0.9299772,-0.84014267,-0.8943093,-0.9525207,-0.9882704,-0.0357497
