,motorola_male,motorola_female,tuple,mobility_male,mobility_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.59183216,-0.6978123,"('unsociable', 'sociable')",-0.3561211,-0.45240876,-0.37196848,-0.53527266,-0.24559951,-0.3701474,-0.3913803,-0.5139103,-0.12253
1,1.2072061,1.1248026,"('unfriendly', 'friendly')",1.201172,1.1108176,-0.08006216,-0.31020755,1.4117196,1.2463014,0.9350089,0.7929285,-0.1420804
2,-0.406833,-0.36951557,"('unlikable', 'likable')",0.54332024,0.5983181,1.818496,1.8494452,0.5794391,0.6587968,0.6336056,0.6842611,0.0506555
3,-1.1209998,-1.0142559,"('repellent', 'pleasant')",-1.1173121,-1.034893,0.6009127,0.63488626,0.13647263,0.16919965,-0.3752316,-0.3112658,0.0639658
4,-0.89889246,-0.9494081,"('disliked', 'liked')",0.61078066,0.5509217,-0.033574104,-0.097204864,-5.8573914,-5.9357333,-1.5447693,-1.6078562,-0.0630869
5,0.7518834,0.7654179,"('distant', 'outgoing')",1.2524465,1.3203768,-0.79371035,-0.78960216,-0.24415337,-0.21799919,0.2416165,0.2695483,0.0279318
6,0.19630916,0.23522538,"('distant', 'open')",0.91774213,0.94968814,-0.9190412,-0.94641507,0.5404668,0.53267044,0.1838692,0.1927922,0.008923
7,0.18535316,0.2143705,"('insensitive', 'sensitive')",-0.6808301,-0.61211574,0.21398477,0.13988186,0.40342438,0.3933284,0.0304831,0.0338662,0.0033831
8,0.43812698,0.43183184,"('unaffectionate', 'affectionate')",0.8775498,0.8335154,-0.7353411,-0.8300128,0.194859,0.09799118,0.1937987,0.1333314,-0.0604673
9,1.7337012,1.7668326,"('unaffectionate', 'caring')",1.6059196,1.5875173,0.0027899444,-0.11763304,1.0271943,0.9605794,1.0924013,1.049324,-0.0430773
10,0.7122585,0.75975955,"('unsympathetic', 'sympathetic')",-1.1619248,-1.1585189,-0.8484764,-0.9241599,-0.061870173,-0.1749769,-0.3400032,-0.374474,-0.0344708
11,0.66939586,0.75757605,"('unhelpful', 'helpful')",0.3099638,0.3881265,-0.7983642,-0.8317192,1.8612678,1.8095629,0.5105658,0.5308866,0.0203208
12,1.4700286,1.5595274,"('unsupportive', 'supportive')",1.1313412,1.2481447,0.17019615,0.21066442,-1.630099,-1.6691126,0.2853667,0.337306,0.0519393
13,0.5007396,0.44660437,"('impolite', 'polite')",-0.5563364,-0.51704055,0.23584422,0.22630806,0.1949339,0.1302248,0.0937953,0.0715242,-0.0222711
14,-0.12408379,-0.16136155,"('antisocial', 'social')",-0.8353383,-0.8703707,1.294297,1.283125,-0.7566923,-0.7460032,-0.1054544,-0.1236526,-0.0181982
15,0.26260674,0.22028178,"('boring', 'funny')",0.4219771,0.3813149,-1.0121007,-1.0314826,0.33599368,0.33649263,0.0021192,-0.0233483,-0.0254675
16,-1.0102519,-0.99914116,"('unpopular', 'popular')",0.0012130216,0.012650639,-0.87863374,-0.811093,0.40270558,0.41434613,-0.3712417,-0.3458093,0.0254324
17,-1.0884231,-0.9974039,"('nasty', 'nice')",-0.02579563,0.06685755,-0.7706368,-0.7213905,-0.38025454,-0.336087,-0.5662775,-0.497006,0.0692715
18,0.19703674,0.2454448,"('disagreeable', 'welcoming')",0.24278207,0.2701118,0.2199684,0.22693166,-0.24582918,-0.30619127,0.1034895,0.1090742,0.0055847
19,0.2333987,0.22024609,"('inhospitable', 'hospitable')",0.34031475,0.3609139,-0.5337415,-0.546327,-0.13832039,-0.1228459,-0.0245871,-0.0220032,0.0025839
20,0.1353059,0.19365306,"('rough', 'thoughtful')",-0.5958611,-0.5644998,-0.10074623,-0.02803126,0.9383806,0.9260618,0.0942698,0.1317959,0.0375261
21,-0.07526857,-0.12342339,"('immoral', 'moral')",-1.1174202,-1.1573396,0.35348088,0.31338465,-0.78832763,-0.8307644,-0.4068839,-0.4495357,-0.0426518
22,-0.7516373,-0.7899871,"('untrustworthy', 'trustworthy')",-1.0063274,-1.0625409,-0.2881599,-0.40079218,-1.2445271,-1.2607741,-0.8226629,-0.8785236,-0.0558607
23,0.8631496,0.9074209,"('insincere', 'sincere')",-0.4238376,-0.38130602,-0.4995227,-0.65509254,4.9652586,4.860367,1.226262,1.1828473,-0.0434147
24,0.73231703,0.7914077,"('dishonest', 'honest')",-0.22409523,-0.17667553,-0.53262633,-0.63375634,0.5806595,0.46964994,0.1390637,0.1126564,-0.0264073
25,0.16329494,0.11037068,"('egoistic', 'altruistic')",0.9618355,0.87696475,0.96052223,0.9142762,1.4322467,1.4165977,0.8794748,0.8295523,-0.0499225
26,0.542048,0.52496964,"('hardhearted', 'benevolent')",0.114373356,0.13477351,1.2672278,1.2255883,1.6513681,1.551736,0.8937543,0.8592669,-0.0344874
27,0.30529737,0.42255393,"('hardhearted', 'softhearted')",0.21469875,0.36873105,0.41902724,0.39611328,1.6575878,1.5670455,0.6491528,0.6886109,0.0394581
28,-0.07176514,-0.22908685,"('disloyal', 'loyal')",-0.14111756,-0.30531693,-0.029547174,-0.22847037,0.84642816,0.64133525,0.1509996,-0.0303847,-0.1813843
29,0.35524392,0.34739333,"('unfair', 'fair')",0.19464163,0.21854186,-0.8279305,-0.7687478,-0.6372588,-0.74233603,-0.2288259,-0.2362872,-0.0074613
30,1.0470628,1.044506,"('intolerant', 'tolerant')",0.15377069,0.21777377,1.1115856,1.0555645,1.12386,1.0633657,0.8590697,0.8453025,-0.0137672
31,-0.9576962,-0.9547813,"('evil', 'good')",0.2505084,0.26782596,-1.1382446,-1.1484684,-1.1316173,-1.1920892,-0.7442625,-0.7568783,-0.0126158
32,1.5195316,1.5577949,"('unkind', 'kind')",0.20544514,0.3002977,0.536642,0.46609363,0.83659416,0.73676425,0.7745532,0.7652376,-0.0093156
33,1.3810207,1.2741631,"('wrong', 'right')",1.7419046,1.6978577,0.87824005,0.91507435,-0.41726935,-0.39521095,0.895974,0.8729711,-0.0230029
34,-0.007953048,0.117607996,"('mean', 'honorable')",0.018044248,0.150682,-0.09748338,-0.026371583,5.953803,6.0143447,1.4666027,1.5640658,0.0974631
35,0.26405117,0.16371427,"('corrupt', 'incorrupt')",1.1931468,1.0941706,-0.79068995,-0.762459,0.29842943,0.21046045,0.2412344,0.1764716,-0.0647628
36,-0.5402508,-0.64100057,"('hostile', 'amicable')",0.5078844,0.39480886,-0.43743187,-0.5740469,0.38330844,0.29774392,-0.0216225,-0.1306237,-0.1090012
37,0.27285308,0.33104762,"('fake', 'genuine')",-0.3447901,-0.3072364,-0.16488858,-0.13232012,0.2395201,0.25171337,0.0006736,0.0358011,0.0351275
38,0.42595887,0.45674855,"('untruthful', 'truthful')",0.3286548,0.36346817,-0.5676553,-0.6276683,0.08069078,0.033340897,0.0669123,0.0564723,-0.01044
39,1.8243421,1.8712507,"('exploitative', 'cooperative')",1.4695939,1.5376874,0.36305448,0.36570555,-0.08404307,-0.07490443,0.8932369,0.9249348,0.0316979
40,0.7691107,0.75270057,"('stingy', 'generous')",0.85720944,0.8621041,0.36080182,0.33551612,-1.5006557,-1.5515637,0.1216166,0.0996893,-0.0219273
41,-0.5445519,-0.51063347,"('unforgiving', 'forgiving')",-0.25170296,-0.26614606,0.12887928,0.089995146,0.33243185,0.22437808,-0.0837359,-0.1156016,-0.0318657
