,income_male,income_female,tuple,average_male,average_female,female-male
0,0.27181682,0.099249505,"('unsociable', 'sociable')",0.2718168,0.0992495,-0.1725673
1,1.536595,1.6347264,"('unfriendly', 'friendly')",1.536595,1.6347264,0.0981314
2,0.10241662,0.15725663,"('unlikable', 'likable')",0.1024166,0.1572566,0.05484
3,0.685426,0.7589278,"('repellent', 'pleasant')",0.685426,0.7589278,0.0735018
4,-6.9602213,-6.9375253,"('disliked', 'liked')",-6.9602213,-6.9375253,0.022696
5,-0.52860737,-0.34617513,"('distant', 'outgoing')",-0.5286074,-0.3461751,0.1824323
6,-0.19307485,-0.033856217,"('distant', 'open')",-0.1930749,-0.0338562,0.1592187
7,1.2257397,1.2313392,"('insensitive', 'sensitive')",1.2257397,1.2313392,0.0055995
8,1.257965,1.384942,"('unaffectionate', 'affectionate')",1.257965,1.3849421,0.1269771
9,1.8445599,2.0345454,"('unaffectionate', 'caring')",1.8445599,2.0345454,0.1899855
10,0.9711983,0.9626213,"('unsympathetic', 'sympathetic')",0.9711983,0.9626213,-0.008577
11,1.9794561,2.0426524,"('unhelpful', 'helpful')",1.9794561,2.0426524,0.0631963
12,-1.1495363,-0.9967624,"('unsupportive', 'supportive')",-1.1495363,-0.9967624,0.1527739
13,-0.14645277,-0.21190536,"('impolite', 'polite')",-0.1464528,-0.2119054,-0.0654526
14,0.36715546,0.20652023,"('antisocial', 'social')",0.3671555,0.2065202,-0.1606353
15,0.39056224,0.3120156,"('boring', 'funny')",0.3905622,0.3120156,-0.0785466
16,-0.8160877,-0.6424474,"('unpopular', 'popular')",-0.8160877,-0.6424474,0.1736403
17,0.05152177,0.11955878,"('nasty', 'nice')",0.0515218,0.1195588,0.068037
18,-0.38086823,-0.2742132,"('disagreeable', 'welcoming')",-0.3808682,-0.2742132,0.106655
19,-0.49397862,-0.31348005,"('inhospitable', 'hospitable')",-0.4939786,-0.31348,0.1804986
20,0.5893332,0.3814838,"('rough', 'thoughtful')",0.5893332,0.3814838,-0.2078494
21,0.12520453,0.11575112,"('immoral', 'moral')",0.1252045,0.1157511,-0.0094534
22,-0.48956406,-0.45409352,"('untrustworthy', 'trustworthy')",-0.4895641,-0.4540935,0.0354706
23,6.560054,6.5815024,"('insincere', 'sincere')",6.5600538,6.5815024,0.0214486
24,1.9152831,1.9299207,"('dishonest', 'honest')",1.9152831,1.9299207,0.0146376
25,1.0126597,1.0606577,"('egoistic', 'altruistic')",1.0126597,1.0606577,0.047998
26,1.3166689,1.0922612,"('hardhearted', 'benevolent')",1.3166689,1.0922612,-0.2244077
27,1.9656943,1.849634,"('hardhearted', 'softhearted')",1.9656943,1.8496341,-0.1160602
28,1.1531271,1.1302123,"('disloyal', 'loyal')",1.1531271,1.1302123,-0.0229148
29,-1.250093,-1.3498329,"('unfair', 'fair')",-1.250093,-1.3498329,-0.0997399
30,1.1098312,1.0971271,"('intolerant', 'tolerant')",1.1098312,1.0971271,-0.0127041
31,-1.5249009,-1.4047136,"('evil', 'good')",-1.5249009,-1.4047136,0.1201873
32,1.4978718,1.301358,"('unkind', 'kind')",1.4978718,1.301358,-0.1965138
33,-0.08540429,-0.050707992,"('wrong', 'right')",-0.0854043,-0.050708,0.0346963
34,4.8261347,5.0472465,"('mean', 'honorable')",4.8261347,5.0472465,0.2211118
35,-0.9812332,-1.0673369,"('corrupt', 'incorrupt')",-0.9812332,-1.0673369,-0.0861037
