,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,female-male
0,-0.7675883,-0.8804375,"('unsociable', 'sociable')",-1.6307234,-1.624665,-1.1991558,-1.2525513,-0.0533955
1,0.54971766,0.403955,"('unfriendly', 'friendly')",0.74682015,0.60682577,0.6482689,0.5053904,-0.1428785
2,1.815069,1.8475474,"('unlikable', 'likable')",1.0348125,1.0862558,1.4249407,1.4669015,0.0419608
3,-0.74664843,-0.58327806,"('repellent', 'pleasant')",-0.21645376,-0.1580385,-0.4815511,-0.3706583,0.1108928
4,-0.04459454,-0.1234522,"('disliked', 'liked')",-1.6548713,-1.711364,-0.8497329,-0.9174081,-0.0676752
5,1.6144004,1.595809,"('distant', 'outgoing')",1.0163691,0.98528755,1.3153847,1.2905483,-0.0248364
6,1.7845137,1.7693138,"('distant', 'open')",1.3578364,1.3085673,1.5711751,1.5389405,-0.0322346
7,-1.1938092,-1.1749204,"('insensitive', 'sensitive')",-1.0219257,-0.9212223,-1.1078675,-1.0480714,0.0597961
8,-0.40397352,-0.5179993,"('unaffectionate', 'affectionate')",0.07572809,-0.07575135,-0.1641227,-0.2968753,-0.1327526
9,-0.4012974,-0.53376245,"('unaffectionate', 'caring')",-0.020598352,-0.11198997,-0.2109479,-0.3228762,-0.1119283
10,-2.5058591,-2.4926422,"('unsympathetic', 'sympathetic')",-2.6369722,-2.5233579,-2.5714157,-2.5079999,0.0634158
11,-1.6700457,-1.6575263,"('unhelpful', 'helpful')",-0.77435166,-0.6600313,-1.2221987,-1.1587788,0.0634199
12,-0.82619923,-0.85879433,"('unsupportive', 'supportive')",-1.2620171,-1.2228247,-1.0441082,-1.0408095,0.0032987
13,-1.45408,-1.4848902,"('impolite', 'polite')",-1.2725214,-1.1946542,-1.3633007,-1.3397722,0.0235285
14,-0.36166978,-0.3417625,"('antisocial', 'social')",-0.9214557,-0.85242444,-0.6415627,-0.5970935,0.0444692
15,1.3443544,1.3320041,"('boring', 'funny')",1.1388181,1.095859,1.2415862,1.2139316,-0.0276546
16,0.2969281,0.33184394,"('unpopular', 'popular')",0.06663765,0.0073172376,0.1817829,0.1695806,-0.0122023
17,-0.16742736,-0.095119596,"('nasty', 'nice')",-0.49088794,-0.41590846,-0.3291577,-0.255514,0.0736437
18,0.7582117,0.77354,"('disagreeable', 'welcoming')",-0.08771289,-0.11083446,0.3352494,0.3313528,-0.0038966
19,-0.28583822,-0.2851466,"('inhospitable', 'hospitable')",-0.35530138,-0.36514714,-0.3205698,-0.3251469,-0.0045771
20,0.025638593,0.016269796,"('rough', 'thoughtful')",0.21383657,0.19667909,0.1197376,0.1064744,-0.0132632
21,-1.1206125,-1.0927956,"('immoral', 'moral')",-1.4017453,-1.2487352,-1.261179,-1.1707654,0.0904136
22,-0.8016433,-0.8011852,"('untrustworthy', 'trustworthy')",-1.3406447,-1.3013932,-1.071144,-1.0512892,0.0198548
23,-1.5386214,-1.5783689,"('insincere', 'sincere')",0.39913747,0.40397283,-0.569742,-0.587198,-0.017456
24,-1.8754764,-1.8779056,"('dishonest', 'honest')",-0.83608335,-0.80486065,-1.3557799,-1.3413831,0.0143968
25,0.6835816,0.65018964,"('egoistic', 'altruistic')",0.90421677,0.79643995,0.7938992,0.7233148,-0.0705844
26,1.204412,1.1058849,"('hardhearted', 'benevolent')",0.72870415,0.5891999,0.9665581,0.8475424,-0.1190157
27,-0.16249627,-0.0932937,"('hardhearted', 'softhearted')",-0.021607134,-0.046415463,-0.0920517,-0.0698546,0.0221971
28,-2.0472562,-2.1318219,"('disloyal', 'loyal')",-0.9511122,-0.98121315,-1.4991843,-1.5565175,-0.0573332
29,-0.22994804,-0.31656232,"('unfair', 'fair')",-0.13617826,-0.19047303,-0.1830631,-0.2535177,-0.0704546
30,-1.8423281,-1.8674725,"('intolerant', 'tolerant')",-1.4047278,-1.3470386,-1.623528,-1.6072556,0.0162724
31,1.2764485,1.2799597,"('evil', 'good')",1.1986997,1.1392761,1.2375741,1.2096179,-0.0279562
