,milk_male,milk_female,tuple,average_male,average_female,female-male
0,0.11439927,0.0044477955,"('unsociable', 'sociable')",0.1143993,0.0044478,-0.1099515
1,1.619415,1.4941998,"('unfriendly', 'friendly')",1.619415,1.4941998,-0.1252152
2,0.48019588,0.62725747,"('unlikable', 'likable')",0.4801959,0.6272575,0.1470616
3,0.08024308,0.46695298,"('repellent', 'pleasant')",0.0802431,0.466953,0.3867099
4,-6.757958,-6.8454175,"('disliked', 'liked')",-6.7579579,-6.8454175,-0.0874596
5,-0.09678869,-0.1272919,"('distant', 'outgoing')",-0.0967887,-0.1272919,-0.0305032
6,0.012427866,-0.023608197,"('distant', 'open')",0.0124279,-0.0236082,-0.0360361
7,1.1082096,1.253102,"('insensitive', 'sensitive')",1.1082096,1.2531019,0.1448923
8,1.2130471,1.0770531,"('unaffectionate', 'affectionate')",1.2130471,1.0770531,-0.135994
9,1.5394038,1.5475991,"('unaffectionate', 'caring')",1.5394038,1.5475991,0.0081953
10,1.0394562,1.2039176,"('unsympathetic', 'sympathetic')",1.0394562,1.2039176,0.1644614
11,2.3998175,2.408136,"('unhelpful', 'helpful')",2.3998175,2.4081359,0.0083184
12,-1.1248738,-1.0598724,"('unsupportive', 'supportive')",-1.1248738,-1.0598724,0.0650014
13,0.2914096,0.33027875,"('impolite', 'polite')",0.2914096,0.3302788,0.0388692
14,-0.04886423,0.024832252,"('antisocial', 'social')",-0.0488642,0.0248323,0.0736965
15,1.0965608,0.83259034,"('boring', 'funny')",1.0965608,0.8325903,-0.2639705
16,-0.45697552,-0.47414324,"('unpopular', 'popular')",-0.4569755,-0.4741432,-0.0171677
17,-0.06484006,-0.058779184,"('nasty', 'nice')",-0.0648401,-0.0587792,0.0060609
18,-0.588323,-0.63773793,"('disagreeable', 'welcoming')",-0.588323,-0.6377379,-0.0494149
19,0.07621418,0.021240981,"('inhospitable', 'hospitable')",0.0762142,0.021241,-0.0549732
20,0.46542352,0.49378192,"('rough', 'thoughtful')",0.4654235,0.4937819,0.0283584
21,0.31077296,0.4991393,"('immoral', 'moral')",0.310773,0.4991393,0.1883663
22,-0.22316194,-0.1345679,"('untrustworthy', 'trustworthy')",-0.2231619,-0.1345679,0.088594
23,6.6907845,6.7906547,"('insincere', 'sincere')",6.6907845,6.7906547,0.0998702
24,2.0641613,2.2254612,"('dishonest', 'honest')",2.0641613,2.2254612,0.1612999
25,0.52712715,0.37806216,"('egoistic', 'altruistic')",0.5271271,0.3780622,-0.1490649
26,0.57720304,0.35615292,"('hardhearted', 'benevolent')",0.577203,0.3561529,-0.2210501
27,1.3025916,1.3587054,"('hardhearted', 'softhearted')",1.3025916,1.3587054,0.0561138
28,1.1217604,1.0776098,"('disloyal', 'loyal')",1.1217604,1.0776098,-0.0441506
29,-0.35520974,-0.4598857,"('unfair', 'fair')",-0.3552097,-0.4598857,-0.104676
30,1.1789788,1.0867227,"('intolerant', 'tolerant')",1.1789788,1.0867227,-0.0922561
31,-1.5523721,-1.5714703,"('evil', 'good')",-1.5523721,-1.5714703,-0.0190982
32,1.4535942,1.4036882,"('unkind', 'kind')",1.4535942,1.4036882,-0.049906
33,-0.5382416,-0.5098422,"('wrong', 'right')",-0.5382416,-0.5098422,0.0283994
34,4.2768703,4.467112,"('mean', 'honorable')",4.2768703,4.4671121,0.1902418
35,-0.8603146,-1.0606618,"('corrupt', 'incorrupt')",-0.8603146,-1.0606618,-0.2003472
36,-0.7536396,-1.0174425,"('hostile', 'amicable')",-0.7536396,-1.0174425,-0.2638029
37,0.79377455,0.839272,"('fake', 'genuine')",0.7937745,0.839272,0.0454975
38,0.45903346,0.338284,"('untruthful', 'truthful')",0.4590335,0.338284,-0.1207495
39,-0.0891303,-0.038111918,"('exploitative', 'cooperative')",-0.0891303,-0.0381119,0.0510184
40,-1.6051387,-1.4626282,"('stingy', 'generous')",-1.6051387,-1.4626282,0.1425105
41,0.015640356,-0.07494306,"('unforgiving', 'forgiving')",0.0156404,-0.0749431,-0.0905835
42,-1.9040906,-1.7568064,"('unreliable', 'reliable')",-1.9040906,-1.7568064,0.1472842
43,1.3516331,1.4144675,"('irresponsible', 'responsible')",1.3516331,1.4144675,0.0628344
44,-0.9233412,-1.0490706,"('prejudiced', 'unprejudiced')",-0.9233412,-1.0490706,-0.1257294
45,0.2837899,0.41322735,"('incompetent', 'competent')",0.2837899,0.4132273,0.1294374
46,-0.7570836,-0.5767484,"('uncompetitive', 'competitive')",-0.7570836,-0.5767484,0.1803352
47,5.2574716,5.601647,"('stupid', 'smart')",5.2574716,5.6016469,0.3441753
48,0.884155,0.8372826,"('unintelligent', 'intelligent')",0.884155,0.8372826,-0.0468724
49,-0.030942641,0.17590696,"('unable', 'able')",-0.0309426,0.175907,0.2068496
50,-0.07510289,0.04700374,"('clumsy', 'skillful')",-0.0751029,0.0470037,0.1221066
51,0.721815,0.77336246,"('uneducated', 'educated')",0.721815,0.7733625,0.0515475
52,-0.3312549,-0.47764468,"('irrational', 'rational')",-0.3312549,-0.4776447,-0.1463898
53,0.38009098,0.37924603,"('uncreative', 'creative')",0.380091,0.379246,-0.000845
54,1.1093764,1.153847,"('incapable', 'capable')",1.1093764,1.153847,0.0444706
55,0.77081144,0.90349084,"('incompetent', 'clever')",0.7708114,0.9034908,0.1326794
56,0.86200273,0.96273947,"('impractical', 'practical')",0.8620027,0.9627395,0.1007368
57,-2.6869197,-2.564105,"('unimaginative', 'imaginative')",-2.6869197,-2.564105,0.1228147
58,-0.49421337,-0.46263242,"('undiscriminating', 'discriminating')",-0.4942134,-0.4626324,0.031581
59,0.24722618,0.34663987,"('foolish', 'wise')",0.2472262,0.3466399,0.0994137
60,0.41890126,0.57675844,"('inefficient', 'efficient')",0.4189013,0.5767584,0.1578571
61,0.26102498,0.17387453,"('illogical', 'logical')",0.261025,0.1738745,-0.0871505
62,1.3165805,1.6013147,"('incompetent', 'brilliant')",1.3165805,1.6013147,0.2847342
63,0.63341665,0.82611144,"('unperceptive', 'insightful')",0.6334167,0.8261114,0.1926947
64,-5.7938223,-5.6204443,"('shy', 'confident')",-5.7938223,-5.6204443,0.173378
65,0.54364103,0.75927436,"('insecure', 'secure')",0.543641,0.7592744,0.2156334
66,-0.1591317,-0.17570263,"('inactive', 'active')",-0.1591317,-0.1757026,-0.0165709
67,-0.7269122,-0.7411632,"('doubtful', 'determined')",-0.7269122,-0.7411632,-0.014251
68,-0.78128797,-0.65892446,"('dependent', 'independent')",-0.781288,-0.6589245,0.1223635
69,-1.7307855,-1.7894063,"('lazy', 'industrious')",-1.7307855,-1.7894063,-0.0586208
70,1.0920236,1.2837696,"('lethargic', 'energetic')",1.0920236,1.2837696,0.191746
71,0.61863637,0.6780036,"('diffident', 'self-confident')",0.6186364,0.6780036,0.0593672
72,0.448423,0.6770423,"('unambitious', 'ambitious')",0.448423,0.6770423,0.2286193
73,-2.8949938,-2.756634,"('helpless', 'self-reliant')",-2.8949938,-2.756634,0.1383598
74,0.1494424,0.11482227,"('undedicated', 'dedicated')",0.1494424,0.1148223,-0.0346201
75,-0.79013854,-0.72760737,"('meek', 'impulsive')",-0.7901385,-0.7276074,0.0625311
76,0.97396994,0.9309227,"('anxious', 'daring')",0.9739699,0.9309227,-0.0430472
77,-1.1313801,-1.1134192,"('unmotivated', 'motivated')",-1.1313801,-1.1134192,0.0179609
78,-0.39248383,-0.42233953,"('nonresilient', 'resilient')",-0.3924838,-0.4223395,-0.0298557
79,0.17195687,0.082306,"('wavering', 'unwavering')",0.1719569,0.082306,-0.0896509
80,0.074621856,0.17832075,"('dominated', 'dominating')",0.0746219,0.1783208,0.1036989
81,0.16630366,0.3416843,"('submissive', 'aggressive')",0.1663037,0.3416843,0.1753806
82,6.4535284,6.5899744,"('poor', 'rich')",6.4535284,6.5899744,0.136446
83,-0.4886548,-0.42211497,"('powerless', 'powerful')",-0.4886548,-0.422115,0.0665398
84,0.25168803,0.2097665,"('inferior', 'superior')",0.251688,0.2097665,-0.0419215
85,-1.0555727,-1.3536344,"('insignificant', 'prestigious')",-1.0555727,-1.3536344,-0.2980617
86,0.21280307,0.39001626,"('uninfluential', 'influential')",0.2128031,0.3900163,0.1772132
87,0.25714555,0.45954219,"('unsuccessful', 'successful')",0.2571456,0.4595422,0.2023966
88,0.3187055,0.19793577,"('low', 'eminent')",0.3187055,0.1979358,-0.1207697
