,american_male,american_female,tuple,water_male,water_female,works_male,works_female,co_male,co_female,inc_male,inc_female,average_male,average_female,female-male
0,0.16639298,0.1522557,"('unsociable', 'sociable')",0.16461019,0.18371502,0.29220632,0.31954405,-0.115198374,-0.21657711,-0.60853326,-0.7045668,-0.0201044,-0.0531258,-0.0330214
1,-0.83090156,-0.8238579,"('unfriendly', 'friendly')",0.3175201,0.4324243,-0.6994394,-0.67699605,-0.73163384,-0.79156435,2.0148683,1.9048865,0.0140827,0.0089785,-0.0051042
2,0.3627387,0.41220397,"('unlikable', 'likable')",-0.2538593,-0.21792035,0.084038004,0.12860431,0.9725242,1.0922216,0.69258755,0.7468488,0.3716058,0.4323916,0.0607858
3,-0.24300003,-0.1582232,"('repellent', 'pleasant')",-1.0843139,-0.98589504,-0.08039669,0.06830597,0.39144382,0.43228686,0.18999213,0.25921285,-0.1652549,-0.0768625,0.0883924
4,-0.4313169,-0.44087595,"('disliked', 'liked')",0.5440405,0.443652,0.19242522,0.16433889,0.14089072,0.04438425,-6.960208,-6.9879565,-1.3028337,-1.3552915,-0.0524578
5,-1.0748453,-1.080084,"('distant', 'outgoing')",0.8915298,0.85572666,-0.89909244,-0.9440888,-0.78457177,-0.7050768,-0.14968194,-0.1417744,-0.4033323,-0.4030594,0.0002729
6,-0.7929864,-0.73323613,"('distant', 'open')",0.6155598,0.5894521,-1.1321795,-1.1407267,-1.0097309,-0.91056126,0.5499962,0.58805424,-0.3538682,-0.3214036,0.0324646
7,0.6827796,0.7825253,"('insensitive', 'sensitive')",0.48951676,0.6895353,0.088070765,0.2842339,-1.0964485,-1.0856333,0.7945447,0.8138678,0.1916927,0.2969058,0.1052131
8,-0.6676898,-0.64498687,"('unaffectionate', 'affectionate')",-0.13071367,-0.15511678,-1.4474958,-1.4848377,-1.6332142,-1.6860436,0.94993633,0.8754656,-0.5858354,-0.6191039,-0.0332685
9,-0.0060073063,0.034209408,"('unaffectionate', 'caring')",0.6020586,0.6289406,-0.5702964,-0.5417746,-1.0699645,-1.1269183,1.6402085,1.5904417,0.1191998,0.1169798,-0.00222
10,1.344606,1.4426429,"('unsympathetic', 'sympathetic')",-0.46901068,-0.33504114,-0.5078869,-0.38591427,-1.0736028,-1.1037838,-0.09285527,-0.110400535,-0.1597499,-0.0984994,0.0612505
11,1.0526879,1.0546347,"('unhelpful', 'helpful')",0.1549357,0.22073834,0.16044044,0.23530947,-0.24999143,-0.31920326,1.9523283,1.9414203,0.6140802,0.6265799,0.0124997
12,1.5340782,1.612163,"('unsupportive', 'supportive')",1.8465508,1.9700449,0.7729072,0.9219556,-0.51119435,-0.48477885,-1.97535,-2.0096176,0.3333984,0.4019534,0.068555
13,0.51973605,0.5219703,"('impolite', 'polite')",0.5334465,0.59698033,0.5356957,0.621542,-0.06532252,-0.022502515,-0.1594818,-0.17211664,0.2728148,0.3091747,0.0363599
14,0.7549999,0.7645839,"('antisocial', 'social')",0.40921694,0.42607638,1.0990521,1.1684272,0.6467222,0.63777816,-0.7451138,-0.7988739,0.4329755,0.4395984,0.0066229
