,thermometer_male,thermometer_female,tuple,average_male,average_female,female-male
0,0.04952286,-0.01109143,"('unsociable', 'sociable')",0.0495229,-0.0110914,-0.0606143
1,0.21069223,-0.116125785,"('unfriendly', 'friendly')",0.2106922,-0.1161258,-0.326818
2,0.14509116,0.18315946,"('unlikable', 'likable')",0.1450912,0.1831595,0.0380683
3,-1.3279172,-1.2200099,"('repellent', 'pleasant')",-1.3279172,-1.2200099,0.1079073
4,-1.4860307,-1.4611928,"('disliked', 'liked')",-1.4860307,-1.4611928,0.0248379
5,-0.4276355,-0.65566796,"('distant', 'outgoing')",-0.4276355,-0.655668,-0.2280325
6,-0.3942587,-0.6767922,"('distant', 'open')",-0.3942587,-0.6767922,-0.2825335
7,-0.31257874,-0.23394063,"('insensitive', 'sensitive')",-0.3125787,-0.2339406,0.0786381
8,-0.16063726,-0.41357216,"('unaffectionate', 'affectionate')",-0.1606373,-0.4135722,-0.2529349
9,-0.13658477,-0.3405063,"('unaffectionate', 'caring')",-0.1365848,-0.3405063,-0.2039215
10,-1.0490425,-1.0642215,"('unsympathetic', 'sympathetic')",-1.0490425,-1.0642215,-0.015179
11,-0.0056244433,-0.05520477,"('unhelpful', 'helpful')",-0.0056244,-0.0552048,-0.0495804
12,-0.7979092,-0.78411347,"('unsupportive', 'supportive')",-0.7979092,-0.7841135,0.0137957
13,-0.020920228,0.10579531,"('impolite', 'polite')",-0.0209202,0.1057953,0.1267155
14,-0.35373852,-0.15839627,"('antisocial', 'social')",-0.3537385,-0.1583963,0.1953422
15,0.98202235,0.8564121,"('boring', 'funny')",0.9820223,0.8564121,-0.1256102
16,0.18921638,0.09230633,"('unpopular', 'popular')",0.1892164,0.0923063,-0.0969101
17,-0.39903468,-0.3039256,"('nasty', 'nice')",-0.3990347,-0.3039256,0.0951091
18,-0.531322,-0.48356548,"('disagreeable', 'welcoming')",-0.531322,-0.4835655,0.0477565
19,-2.1910632,-2.3140159,"('inhospitable', 'hospitable')",-2.1910632,-2.3140159,-0.1229527
20,-0.3893945,-0.27887884,"('rough', 'thoughtful')",-0.3893945,-0.2788788,0.1105157
21,-0.83896244,-0.669398,"('immoral', 'moral')",-0.8389624,-0.669398,0.1695644
22,-0.21581101,-0.19850089,"('untrustworthy', 'trustworthy')",-0.215811,-0.1985009,0.0173101
23,0.96463174,0.8719175,"('insincere', 'sincere')",0.9646317,0.8719175,-0.0927142
24,-0.2808309,-0.2752312,"('dishonest', 'honest')",-0.2808309,-0.2752312,0.0055997
25,0.43171507,0.45772392,"('egoistic', 'altruistic')",0.4317151,0.4577239,0.0260088
26,1.6298524,1.360042,"('hardhearted', 'benevolent')",1.6298524,1.360042,-0.2698104
27,0.28706762,0.18313687,"('hardhearted', 'softhearted')",0.2870676,0.1831369,-0.1039307
28,0.20028247,0.039456807,"('disloyal', 'loyal')",0.2002825,0.0394568,-0.1608257
29,-0.19794503,-0.22438098,"('unfair', 'fair')",-0.197945,-0.224381,-0.026436
30,0.1895386,0.20085736,"('intolerant', 'tolerant')",0.1895386,0.2008574,0.0113188
31,-0.1515669,-0.22393747,"('evil', 'good')",-0.1515669,-0.2239375,-0.0723706
32,0.036457248,-0.062315743,"('unkind', 'kind')",0.0364572,-0.0623157,-0.0987729
33,0.3037553,0.30088985,"('wrong', 'right')",0.3037553,0.3008898,-0.0028655
34,1.4906734,1.4482495,"('mean', 'honorable')",1.4906734,1.4482495,-0.0424239
35,0.7516788,0.62536615,"('corrupt', 'incorrupt')",0.7516788,0.6253662,-0.1263126
