,gathering_male,gathering_female,tuple,average_male,average_female,female-male
0,-0.14370391,-0.21420477,"('unsociable', 'sociable')",-0.1437039,-0.2142048,-0.0705009
1,1.0338467,0.95433295,"('unfriendly', 'friendly')",1.0338467,0.9543329,-0.0795138
2,-0.044626623,0.057737708,"('unlikable', 'likable')",-0.0446266,0.0577377,0.1023643
3,0.6944427,0.7104112,"('repellent', 'pleasant')",0.6944427,0.7104112,0.0159685
4,-7.3999424,-7.4535956,"('disliked', 'liked')",-7.3999424,-7.4535956,-0.0536532
5,-0.58807826,-0.5677107,"('distant', 'outgoing')",-0.5880783,-0.5677107,0.0203676
6,-0.15603876,-0.21443355,"('distant', 'open')",-0.1560388,-0.2144336,-0.0583948
7,0.78589624,0.80498016,"('insensitive', 'sensitive')",0.7858962,0.8049802,0.019084
8,1.0770591,0.9959281,"('unaffectionate', 'affectionate')",1.0770591,0.9959281,-0.081131
9,1.4188386,1.4277104,"('unaffectionate', 'caring')",1.4188386,1.4277104,0.0088718
10,1.0435072,0.9857023,"('unsympathetic', 'sympathetic')",1.0435072,0.9857023,-0.0578049
11,1.6598809,1.6936646,"('unhelpful', 'helpful')",1.6598809,1.6936646,0.0337837
12,-1.7098554,-1.7256297,"('unsupportive', 'supportive')",-1.7098554,-1.7256297,-0.0157743
13,-0.27412453,-0.29337564,"('impolite', 'polite')",-0.2741245,-0.2933756,-0.0192511
14,0.25608757,0.2039176,"('antisocial', 'social')",0.2560876,0.2039176,-0.05217
15,0.023910899,-0.01841943,"('boring', 'funny')",0.0239109,-0.0184194,-0.0423303
16,-0.561717,-0.4978329,"('unpopular', 'popular')",-0.561717,-0.4978329,0.0638841
17,-0.4716777,-0.383137,"('nasty', 'nice')",-0.4716777,-0.383137,0.0885407
18,-0.12728201,-0.21248426,"('disagreeable', 'welcoming')",-0.127282,-0.2124843,-0.0852023
19,-0.8345674,-0.8646605,"('inhospitable', 'hospitable')",-0.8345674,-0.8646605,-0.0300931
20,1.0070395,0.9256071,"('rough', 'thoughtful')",1.0070395,0.9256071,-0.0814324
21,-0.46436483,-0.4220756,"('immoral', 'moral')",-0.4643648,-0.4220756,0.0422892
22,-0.41682884,-0.45144105,"('untrustworthy', 'trustworthy')",-0.4168288,-0.451441,-0.0346122
23,6.469564,6.4644847,"('insincere', 'sincere')",6.469564,6.4644847,-0.0050793
24,1.5387855,1.4277215,"('dishonest', 'honest')",1.5387855,1.4277215,-0.111064
25,0.7353122,0.68530667,"('egoistic', 'altruistic')",0.7353122,0.6853067,-0.0500055
26,0.8059932,0.72087836,"('hardhearted', 'benevolent')",0.8059932,0.7208784,-0.0851148
27,1.6481271,1.4597908,"('hardhearted', 'softhearted')",1.6481271,1.4597908,-0.1883363
28,1.1580011,1.081102,"('disloyal', 'loyal')",1.1580011,1.081102,-0.0768991
29,-0.56381255,-0.63368857,"('unfair', 'fair')",-0.5638126,-0.6336886,-0.069876
30,1.0097885,0.96954113,"('intolerant', 'tolerant')",1.0097885,0.9695411,-0.0402474
31,-1.5639033,-1.4906666,"('evil', 'good')",-1.5639033,-1.4906666,0.0732367
32,0.8546748,0.78102714,"('unkind', 'kind')",0.8546748,0.7810271,-0.0736477
33,-0.5380436,-0.5401867,"('wrong', 'right')",-0.5380436,-0.5401867,-0.0021431
34,4.6458936,4.775745,"('mean', 'honorable')",4.6458936,4.7757449,0.1298513
35,-0.8733808,-1.0530033,"('corrupt', 'incorrupt')",-0.8733808,-1.0530033,-0.1796225
36,-0.83991325,-0.88790125,"('hostile', 'amicable')",-0.8399132,-0.8879012,-0.047988
37,0.7332047,0.684342,"('fake', 'genuine')",0.7332047,0.684342,-0.0488627
38,-0.2403578,-0.22235687,"('untruthful', 'truthful')",-0.2403578,-0.2223569,0.0180009
39,0.48763007,0.44609383,"('exploitative', 'cooperative')",0.4876301,0.4460938,-0.0415363
40,-1.3880274,-1.5578747,"('stingy', 'generous')",-1.3880274,-1.5578747,-0.1698473
41,0.14507133,0.098424695,"('unforgiving', 'forgiving')",0.1450713,0.0984247,-0.0466466
42,-2.2196748,-2.310022,"('unreliable', 'reliable')",-2.2196748,-2.3100221,-0.0903473
43,1.1429373,1.1223841,"('irresponsible', 'responsible')",1.1429373,1.1223841,-0.0205532
44,-0.95561624,-0.9812863,"('prejudiced', 'unprejudiced')",-0.9556162,-0.9812863,-0.0256701
45,-0.11413577,-0.13124642,"('incompetent', 'competent')",-0.1141358,-0.1312464,-0.0171106
46,-0.56921685,-0.6922609,"('uncompetitive', 'competitive')",-0.5692168,-0.6922609,-0.1230441
47,4.977457,5.1161985,"('stupid', 'smart')",4.977457,5.1161985,0.1387415
48,0.5337677,0.46533364,"('unintelligent', 'intelligent')",0.5337677,0.4653336,-0.0684341
49,0.3517056,0.3754953,"('unable', 'able')",0.3517056,0.3754953,0.0237897
50,-0.3728257,-0.4423084,"('clumsy', 'skillful')",-0.3728257,-0.4423084,-0.0694827
51,0.56583357,0.4924612,"('uneducated', 'educated')",0.5658336,0.4924612,-0.0733724
52,-0.709389,-0.7607154,"('irrational', 'rational')",-0.709389,-0.7607154,-0.0513264
53,-0.20713384,-0.26222402,"('uncreative', 'creative')",-0.2071338,-0.262224,-0.0550902
54,1.0069278,1.01496,"('incapable', 'capable')",1.0069278,1.0149601,0.0080323
55,0.77081037,0.74397177,"('incompetent', 'clever')",0.7708104,0.7439718,-0.0268386
56,0.58813584,0.5723511,"('impractical', 'practical')",0.5881358,0.5723511,-0.0157847
57,-2.7670608,-2.7723632,"('unimaginative', 'imaginative')",-2.7670608,-2.7723632,-0.0053024
58,0.38803685,0.3544541,"('undiscriminating', 'discriminating')",0.3880368,0.3544541,-0.0335827
59,-0.23245387,-0.22902375,"('foolish', 'wise')",-0.2324539,-0.2290238,0.0034301
60,0.60844934,0.67208093,"('inefficient', 'efficient')",0.6084493,0.6720809,0.0636316
61,0.42271638,0.26959485,"('illogical', 'logical')",0.4227164,0.2695948,-0.1531216
62,0.39265406,0.4794727,"('incompetent', 'brilliant')",0.3926541,0.4794727,0.0868186
63,0.017009988,0.021026187,"('unperceptive', 'insightful')",0.01701,0.0210262,0.0040162
64,-6.3210797,-6.299234,"('shy', 'confident')",-6.3210797,-6.2992339,0.0218458
65,0.30488476,0.33085576,"('insecure', 'secure')",0.3048848,0.3308558,0.025971
66,-0.26475155,-0.33756417,"('inactive', 'active')",-0.2647516,-0.3375642,-0.0728126
67,-0.2749703,-0.2086492,"('doubtful', 'determined')",-0.2749703,-0.2086492,0.0663211
68,-0.3965671,-0.47001028,"('dependent', 'independent')",-0.3965671,-0.4700103,-0.0734432
69,-2.1226778,-2.0783021,"('lazy', 'industrious')",-2.1226778,-2.0783021,0.0443757
70,1.2362967,1.1452171,"('lethargic', 'energetic')",1.2362967,1.1452171,-0.0910796
71,0.62376493,0.6652962,"('diffident', 'self-confident')",0.6237649,0.6652962,0.0415313
72,0.7998451,0.9287172,"('unambitious', 'ambitious')",0.7998451,0.9287172,0.1288721
73,-3.0249372,-2.9856994,"('helpless', 'self-reliant')",-3.0249372,-2.9856994,0.0392378
74,0.21535224,0.04631553,"('undedicated', 'dedicated')",0.2153522,0.0463155,-0.1690367
75,-0.88954943,-0.7359,"('meek', 'impulsive')",-0.8895494,-0.7359,0.1536494
76,0.8688743,0.8107796,"('anxious', 'daring')",0.8688743,0.8107796,-0.0580947
77,-1.4677095,-1.2990705,"('unmotivated', 'motivated')",-1.4677095,-1.2990705,0.168639
78,-0.69952214,-0.7312275,"('nonresilient', 'resilient')",-0.6995221,-0.7312275,-0.0317054
79,-0.26687133,-0.2784327,"('wavering', 'unwavering')",-0.2668713,-0.2784327,-0.0115614
80,-0.18102005,-0.27715778,"('dominated', 'dominating')",-0.1810201,-0.2771578,-0.0961377
81,0.22669415,0.2723355,"('submissive', 'aggressive')",0.2266942,0.2723355,0.0456413
82,6.2132897,6.3388886,"('poor', 'rich')",6.2132897,6.3388886,0.1255989
83,-0.35354906,-0.3590464,"('powerless', 'powerful')",-0.3535491,-0.3590464,-0.0054973
84,0.5974338,0.57910067,"('inferior', 'superior')",0.5974338,0.5791007,-0.0183331
85,-0.37674528,-0.42920354,"('insignificant', 'prestigious')",-0.3767453,-0.4292035,-0.0524582
86,0.29839155,0.23273402,"('uninfluential', 'influential')",0.2983916,0.232734,-0.0656576
87,-0.42201573,-0.29261518,"('unsuccessful', 'successful')",-0.4220157,-0.2926152,0.1294005
88,0.29979467,0.26976228,"('low', 'eminent')",0.2997947,0.2697623,-0.0300324
