,raytheon_male,raytheon_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-1.2447944,-1.4617691,"('unsociable', 'sociable')",0.039864898,-0.11848205,-0.6024647,-0.7901256,-0.1876609
1,0.3199697,0.09507791,"('unfriendly', 'friendly')",1.4477439,1.213316,0.8838568,0.6541969,-0.2296599
2,1.0219582,1.133159,"('unlikable', 'likable')",1.2059007,1.2869827,1.1139295,1.2100708,0.0961413
3,-1.2660152,-1.2015203,"('repellent', 'pleasant')",0.4874779,0.52303547,-0.3892686,-0.3392424,0.0500262
4,0.87932754,0.7925035,"('disliked', 'liked')",-6.490001,-6.66788,-2.805337,-2.9376884,-0.1323514
5,0.37763494,0.45759004,"('distant', 'outgoing')",-0.72412777,-0.62323034,-0.1732464,-0.0828201,0.0904263
6,0.2171375,0.293878,"('distant', 'open')",-0.7662717,-0.72972417,-0.2745671,-0.2179231,0.056644
7,-1.0912963,-1.1843132,"('insensitive', 'sensitive')",-0.01325763,-0.018975228,-0.552277,-0.6016442,-0.0493672
8,0.19317022,0.049419083,"('unaffectionate', 'affectionate')",0.45193267,0.32865873,0.3225514,0.1890389,-0.1335125
9,-0.070812464,-0.22674173,"('unaffectionate', 'caring')",0.94998926,0.87524295,0.4395884,0.3242506,-0.1153378
10,-2.8482234,-3.0161319,"('unsympathetic', 'sympathetic')",0.027042687,-0.07194603,-1.4105904,-1.544039,-0.1334486
11,-1.1929895,-1.2793713,"('unhelpful', 'helpful')",2.3065555,2.295761,0.556783,0.5081949,-0.0485881
12,-0.65106213,-0.6883452,"('unsupportive', 'supportive')",-2.0330856,-1.9857416,-1.3420739,-1.3370434,0.0050305
13,-1.7584106,-1.8883467,"('impolite', 'polite')",0.29001176,0.3505411,-0.7341994,-0.7689028,-0.0347034
14,-1.0699606,-1.1809964,"('antisocial', 'social')",0.121588856,0.09813822,-0.4741859,-0.5414291,-0.0672432
15,0.6595859,0.5328969,"('boring', 'funny')",0.9302303,0.8819069,0.7949081,0.7074019,-0.0875062
16,0.6798813,0.7037543,"('unpopular', 'popular')",0.16117923,0.07427142,0.4205303,0.3890129,-0.0315174
17,0.1504274,0.10801186,"('nasty', 'nice')",0.0073536374,-0.004399648,0.0788905,0.0518061,-0.0270844
18,-0.1629659,-0.10735089,"('disagreeable', 'welcoming')",-1.2258211,-1.2623489,-0.6943935,-0.6848499,0.0095436
19,0.28120708,0.16959652,"('inhospitable', 'hospitable')",-0.09186569,-0.19501655,0.0946707,-0.01271,-0.1073807
20,0.10531601,0.05449965,"('rough', 'thoughtful')",0.5381134,0.5642283,0.3217147,0.309364,-0.0123507
21,-1.2144837,-1.3100607,"('immoral', 'moral')",-0.5385734,-0.4488542,-0.8765286,-0.8794575,-0.0029289
22,-1.4464593,-1.457008,"('untrustworthy', 'trustworthy')",-0.7363452,-0.7060024,-1.0914023,-1.0815052,0.0098971
23,-1.3767667,-1.5073369,"('insincere', 'sincere')",5.9534183,5.9250875,2.2883258,2.2088752,-0.0794506
24,-1.4136387,-1.4826692,"('dishonest', 'honest')",0.9483566,0.976856,-0.232641,-0.2529066,-0.0202656
