,page_male,page_female,tuple,average_male,average_female,female-male
0,0.7890777,0.6186622,"('unsociable', 'sociable')",0.7890777,0.6186622,-0.1704155
1,0.55395806,0.57364684,"('unfriendly', 'friendly')",0.5539581,0.5736468,0.0196887
2,0.19581342,0.39269722,"('unlikable', 'likable')",0.1958134,0.3926972,0.1968838
3,0.31669137,0.56659764,"('repellent', 'pleasant')",0.3166914,0.5665976,0.2499062
4,-7.564148,-7.5238824,"('disliked', 'liked')",-7.5641479,-7.5238824,0.0402655
5,-1.622495,-1.3130804,"('distant', 'outgoing')",-1.6224951,-1.3130804,0.3094147
6,-0.84282124,-0.6919631,"('distant', 'open')",-0.8428212,-0.6919631,0.1508581
7,1.7137065,1.60954,"('insensitive', 'sensitive')",1.7137065,1.60954,-0.1041665
8,0.8534596,0.8784256,"('unaffectionate', 'affectionate')",0.8534596,0.8784256,0.024966
9,1.3635201,1.4289019,"('unaffectionate', 'caring')",1.3635201,1.4289019,0.0653818
10,2.007107,1.8119495,"('unsympathetic', 'sympathetic')",2.007107,1.8119495,-0.1951575
11,2.474527,2.4535773,"('unhelpful', 'helpful')",2.4745269,2.4535773,-0.0209496
12,-1.0331858,-1.048708,"('unsupportive', 'supportive')",-1.0331858,-1.048708,-0.0155222
13,0.56314945,0.54713255,"('impolite', 'polite')",0.5631495,0.5471326,-0.0160169
14,0.17297232,0.28874654,"('antisocial', 'social')",0.1729723,0.2887465,0.1157742
15,-0.12934767,-0.060874514,"('boring', 'funny')",-0.1293477,-0.0608745,0.0684732
16,-0.96530825,-0.85670096,"('unpopular', 'popular')",-0.9653082,-0.856701,0.1086072
17,-0.0021973364,0.015363488,"('nasty', 'nice')",-0.0021973,0.0153635,0.0175608
18,-1.0426912,-0.8874715,"('disagreeable', 'welcoming')",-1.0426912,-0.8874715,0.1552197
19,-0.77596676,-0.7867249,"('inhospitable', 'hospitable')",-0.7759668,-0.7867249,-0.0107581
20,0.8817042,0.78886133,"('rough', 'thoughtful')",0.8817042,0.7888613,-0.0928429
21,0.13559715,0.27783975,"('immoral', 'moral')",0.1355972,0.2778398,0.1422426
22,0.24718481,0.26774684,"('untrustworthy', 'trustworthy')",0.2471848,0.2677468,0.020562
23,6.4339623,6.5112453,"('insincere', 'sincere')",6.4339623,6.5112453,0.077283
24,1.938658,1.9974837,"('dishonest', 'honest')",1.938658,1.9974837,0.0588257
25,-0.0068939254,0.053008646,"('egoistic', 'altruistic')",-0.0068939,0.0530086,0.0599025
26,0.7623267,0.53318155,"('hardhearted', 'benevolent')",0.7623267,0.5331815,-0.2291452
27,1.4272424,1.3861848,"('hardhearted', 'softhearted')",1.4272424,1.3861848,-0.0410576
28,1.3799704,1.2094363,"('disloyal', 'loyal')",1.3799704,1.2094363,-0.1705341
29,-0.28613377,-0.3770855,"('unfair', 'fair')",-0.2861338,-0.3770855,-0.0909517
30,1.1960883,1.2162087,"('intolerant', 'tolerant')",1.1960883,1.2162087,0.0201204
31,-2.186993,-1.9790337,"('evil', 'good')",-2.1869929,-1.9790337,0.2079592
32,1.5317422,1.4023246,"('unkind', 'kind')",1.5317422,1.4023246,-0.1294176
33,-0.9192765,-0.92072934,"('wrong', 'right')",-0.9192765,-0.9207293,-0.0014528
34,3.8746681,4.1704793,"('mean', 'honorable')",3.8746681,4.1704793,0.2958112
35,-1.1756134,-1.3889132,"('corrupt', 'incorrupt')",-1.1756134,-1.3889132,-0.2132998
36,-1.1027331,-1.3664407,"('hostile', 'amicable')",-1.1027331,-1.3664407,-0.2637076
37,0.65007585,0.6601726,"('fake', 'genuine')",0.6500759,0.6601726,0.0100967
38,0.098248154,0.025013283,"('untruthful', 'truthful')",0.0982482,0.0250133,-0.0732349
39,-0.060738076,0.051421806,"('exploitative', 'cooperative')",-0.0607381,0.0514218,0.1121599
40,-1.3405532,-1.4259828,"('stingy', 'generous')",-1.3405532,-1.4259828,-0.0854296
41,0.59337133,0.31224912,"('unforgiving', 'forgiving')",0.5933713,0.3122491,-0.2811222
42,-1.3927166,-1.4211078,"('unreliable', 'reliable')",-1.3927166,-1.4211078,-0.0283912
43,1.8779064,1.8872178,"('irresponsible', 'responsible')",1.8779064,1.8872178,0.0093114
44,-1.5647715,-1.4895767,"('prejudiced', 'unprejudiced')",-1.5647715,-1.4895767,0.0751948
45,0.9566953,0.75096613,"('incompetent', 'competent')",0.9566953,0.7509661,-0.2057292
46,0.40051395,0.18449163,"('uncompetitive', 'competitive')",0.4005139,0.1844916,-0.2160223
47,5.321314,5.5052495,"('stupid', 'smart')",5.3213139,5.5052495,0.1839356
48,1.1584392,1.0649468,"('unintelligent', 'intelligent')",1.1584392,1.0649468,-0.0934924
49,-0.5007495,-0.28940034,"('unable', 'able')",-0.5007495,-0.2894003,0.2113492
50,-0.26773652,-0.32344857,"('clumsy', 'skillful')",-0.2677365,-0.3234486,-0.0557121
51,1.1065382,1.0552914,"('uneducated', 'educated')",1.1065382,1.0552914,-0.0512468
52,-0.7169461,-0.78573674,"('irrational', 'rational')",-0.7169461,-0.7857367,-0.0687906
