,siding_male,siding_female,tuple,average_male,average_female,female-male
0,0.37555462,0.07814005,"('unsociable', 'sociable')",0.3755546,0.0781401,-0.2974145
1,1.6197324,1.6143407,"('unfriendly', 'friendly')",1.6197324,1.6143407,-0.0053917
2,0.21414004,0.6152288,"('unlikable', 'likable')",0.21414,0.6152288,0.4010888
3,0.1820997,0.42069632,"('repellent', 'pleasant')",0.1820997,0.4206963,0.2385966
4,-7.5106516,-7.550431,"('disliked', 'liked')",-7.5106516,-7.5504308,-0.0397792
5,-0.4643221,-0.10258933,"('distant', 'outgoing')",-0.4643221,-0.1025893,0.3617328
6,-0.12940818,0.15624806,"('distant', 'open')",-0.1294082,0.1562481,0.2856563
7,1.1573749,0.99295825,"('insensitive', 'sensitive')",1.1573749,0.9929582,-0.1644167
8,1.5431567,1.4473174,"('unaffectionate', 'affectionate')",1.5431567,1.4473174,-0.0958393
9,1.8469923,1.8106017,"('unaffectionate', 'caring')",1.8469923,1.8106017,-0.0363906
10,1.00668,1.1882535,"('unsympathetic', 'sympathetic')",1.00668,1.1882535,0.1815735
11,1.9881214,2.0615413,"('unhelpful', 'helpful')",1.9881214,2.0615413,0.0734199
12,-1.3998029,-1.4495671,"('unsupportive', 'supportive')",-1.3998029,-1.4495671,-0.0497642
13,0.0170355,0.124590166,"('impolite', 'polite')",0.0170355,0.1245902,0.1075547
14,-0.058420703,-0.2967137,"('antisocial', 'social')",-0.0584207,-0.2967137,-0.238293
15,0.8467293,0.82119554,"('boring', 'funny')",0.8467293,0.8211955,-0.0255338
16,-0.050271034,-0.15558268,"('unpopular', 'popular')",-0.050271,-0.1555827,-0.1053117
17,-0.1732695,-0.052978523,"('nasty', 'nice')",-0.1732695,-0.0529785,0.120291
18,-0.6567785,-0.55796444,"('disagreeable', 'welcoming')",-0.6567785,-0.5579644,0.0988141
19,-0.45292604,-0.1073032,"('inhospitable', 'hospitable')",-0.452926,-0.1073032,0.3456228
20,0.5277791,0.40408912,"('rough', 'thoughtful')",0.5277791,0.4040891,-0.12369
21,-0.44993332,-0.06935642,"('immoral', 'moral')",-0.4499333,-0.0693564,0.3805769
22,-0.7142511,-0.5633397,"('untrustworthy', 'trustworthy')",-0.7142511,-0.5633397,0.1509114
23,6.550976,6.6064405,"('insincere', 'sincere')",6.5509758,6.6064405,0.0554647
24,1.7191759,1.8147235,"('dishonest', 'honest')",1.7191759,1.8147235,0.0955476
25,0.7482031,0.68091214,"('egoistic', 'altruistic')",0.7482031,0.6809121,-0.067291
26,1.1497463,0.61797833,"('hardhearted', 'benevolent')",1.1497463,0.6179783,-0.531768
27,1.3960618,1.4265468,"('hardhearted', 'softhearted')",1.3960618,1.4265468,0.030485
28,1.3302652,1.1967512,"('disloyal', 'loyal')",1.3302652,1.1967512,-0.133514
29,-0.068182975,-0.28515622,"('unfair', 'fair')",-0.068183,-0.2851562,-0.2169732
30,0.6913822,0.86731035,"('intolerant', 'tolerant')",0.6913822,0.8673103,0.1759281
31,-1.2696187,-1.2886964,"('evil', 'good')",-1.2696187,-1.2886964,-0.0190777
32,1.4778614,1.3680826,"('unkind', 'kind')",1.4778614,1.3680826,-0.1097788
33,-0.34302586,-0.3807069,"('wrong', 'right')",-0.3430259,-0.3807069,-0.037681
34,4.843797,5.090234,"('mean', 'honorable')",4.8437972,5.0902338,0.2464366
35,-0.8645207,-1.0581098,"('corrupt', 'incorrupt')",-0.8645207,-1.0581098,-0.1935891
36,-1.0078989,-0.999198,"('hostile', 'amicable')",-1.0078989,-0.999198,0.0087009
37,1.1765403,1.2109828,"('fake', 'genuine')",1.1765403,1.2109828,0.0344425
38,0.048402697,0.13667095,"('untruthful', 'truthful')",0.0484027,0.1366709,0.0882682
39,-0.24956228,-0.21759568,"('exploitative', 'cooperative')",-0.2495623,-0.2175957,0.0319666
40,-1.6827421,-1.8196783,"('stingy', 'generous')",-1.6827421,-1.8196783,-0.1369362
41,0.20107338,0.08835011,"('unforgiving', 'forgiving')",0.2010734,0.0883501,-0.1127233
42,-2.6351721,-2.304203,"('unreliable', 'reliable')",-2.6351721,-2.304203,0.3309691
43,1.2446396,1.3909775,"('irresponsible', 'responsible')",1.2446396,1.3909775,0.1463379
44,-1.413443,-1.3646668,"('prejudiced', 'unprejudiced')",-1.413443,-1.3646668,0.0487762
45,0.5972513,0.35651672,"('incompetent', 'competent')",0.5972513,0.3565167,-0.2407346
46,-0.4408099,-0.45949486,"('uncompetitive', 'competitive')",-0.4408099,-0.4594949,-0.018685
47,5.252317,5.5435843,"('stupid', 'smart')",5.252317,5.5435843,0.2912673
48,0.71515536,0.68423605,"('unintelligent', 'intelligent')",0.7151554,0.684236,-0.0309194
49,0.09301389,0.4662006,"('unable', 'able')",0.0930139,0.4662006,0.3731867
50,-0.3784238,-0.20482868,"('clumsy', 'skillful')",-0.3784238,-0.2048287,0.1735951
51,0.1577717,0.34512046,"('uneducated', 'educated')",0.1577717,0.3451205,0.1873488
52,-0.33685768,-0.4429748,"('irrational', 'rational')",-0.3368577,-0.4429748,-0.1061171
53,0.1494256,0.10768638,"('uncreative', 'creative')",0.1494256,0.1076864,-0.0417392
54,1.1227448,1.4247046,"('incapable', 'capable')",1.1227448,1.4247046,0.3019598
55,0.8911547,0.9216543,"('incompetent', 'clever')",0.8911547,0.9216543,0.0304996
56,0.78320545,0.7860319,"('impractical', 'practical')",0.7832054,0.7860319,0.0028265
57,-2.8334196,-2.8063052,"('unimaginative', 'imaginative')",-2.8334196,-2.8063052,0.0271144
58,0.3658411,0.23161092,"('undiscriminating', 'discriminating')",0.3658411,0.2316109,-0.1342302
59,0.032781098,0.15513751,"('foolish', 'wise')",0.0327811,0.1551375,0.1223564
60,0.5451749,0.8239716,"('inefficient', 'efficient')",0.5451749,0.8239716,0.2787967
61,0.16998842,0.044470288,"('illogical', 'logical')",0.1699884,0.0444703,-0.1255181
62,0.9413888,1.1863635,"('incompetent', 'brilliant')",0.9413888,1.1863635,0.2449747
63,0.42441756,0.6241329,"('unperceptive', 'insightful')",0.4244176,0.6241329,0.1997153
64,-6.4010873,-6.3093023,"('shy', 'confident')",-6.4010873,-6.3093023,0.091785
65,0.13697498,0.29723966,"('insecure', 'secure')",0.136975,0.2972397,0.1602647
66,0.2811359,0.10662575,"('inactive', 'active')",0.2811359,0.1066258,-0.1745101
67,-0.057060197,-0.14652859,"('doubtful', 'determined')",-0.0570602,-0.1465286,-0.0894684
68,-1.3154961,-0.8217743,"('dependent', 'independent')",-1.3154961,-0.8217743,0.4937218
69,-1.8311117,-1.8411386,"('lazy', 'industrious')",-1.8311117,-1.8411386,-0.0100269
70,1.3068347,1.3607687,"('lethargic', 'energetic')",1.3068347,1.3607687,0.053934
71,0.6797497,0.53742176,"('diffident', 'self-confident')",0.6797497,0.5374218,-0.1423279
72,0.50005656,0.61180514,"('unambitious', 'ambitious')",0.5000566,0.6118051,0.1117485
73,-3.3684454,-3.1951637,"('helpless', 'self-reliant')",-3.3684454,-3.1951637,0.1732817
74,0.050889067,-0.012279153,"('undedicated', 'dedicated')",0.0508891,-0.0122792,-0.0631683
75,-0.8016687,-0.6695588,"('meek', 'impulsive')",-0.8016687,-0.6695588,0.1321099
76,0.31355774,0.564247,"('anxious', 'daring')",0.3135577,0.564247,0.2506893
77,-1.3182164,-1.2610329,"('unmotivated', 'motivated')",-1.3182164,-1.2610329,0.0571835
78,-0.7181899,-0.74043137,"('nonresilient', 'resilient')",-0.7181899,-0.7404314,-0.0222415
79,-0.40647683,-0.21963513,"('wavering', 'unwavering')",-0.4064768,-0.2196351,0.1868417
80,0.022522567,-0.2991327,"('dominated', 'dominating')",0.0225226,-0.2991327,-0.3216553
81,-0.29095867,0.04761593,"('submissive', 'aggressive')",-0.2909587,0.0476159,0.3385746
82,6.84815,7.145996,"('poor', 'rich')",6.8481498,7.1459961,0.2978463
83,-0.19402981,-0.3499798,"('powerless', 'powerful')",-0.1940298,-0.3499798,-0.15595
84,0.36987865,0.34508258,"('inferior', 'superior')",0.3698786,0.3450826,-0.024796
85,-1.0201881,-1.058318,"('insignificant', 'prestigious')",-1.0201881,-1.058318,-0.0381299
86,0.6511025,0.51917475,"('uninfluential', 'influential')",0.6511025,0.5191748,-0.1319277
87,0.33934698,0.3239889,"('unsuccessful', 'successful')",0.339347,0.3239889,-0.0153581
88,-0.048348743,0.17699607,"('low', 'eminent')",-0.0483487,0.1769961,0.2253448
