,f5_male,f5_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.20753403,0.12854145,"('unsociable', 'sociable')",-0.27352464,-0.3710285,-0.0329953,-0.1212435,-0.0882482
1,-1.602679,-1.6537523,"('unfriendly', 'friendly')",1.6020739,1.4648243,-0.0003026,-0.094464,-0.0941614
2,0.44614857,0.48400185,"('unlikable', 'likable')",0.5161482,0.5491388,0.4811484,0.5165703,0.0354219
3,0.64197576,0.81881,"('repellent', 'pleasant')",0.35603094,0.48803324,0.4990034,0.6534216,0.1544182
4,-0.92042875,-0.95277876,"('disliked', 'liked')",-6.465943,-6.630988,-3.6931858,-3.7918835,-0.0986977
5,-1.1617304,-1.1687645,"('distant', 'outgoing')",0.026509292,-0.022158425,-0.5676106,-0.5954614,-0.0278508
6,-1.5122712,-1.5004796,"('distant', 'open')",0.5299043,0.4694825,-0.4911834,-0.5154985,-0.0243151
7,0.86751515,0.92932296,"('insensitive', 'sensitive')",0.8896529,0.93360347,0.878584,0.9314632,0.0528792
8,-1.1682369,-1.1538079,"('unaffectionate', 'affectionate')",0.9855805,0.8641178,-0.0913282,-0.144845,-0.0535168
9,-0.6935358,-0.6562585,"('unaffectionate', 'caring')",1.2081424,1.1567069,0.2573033,0.2502242,-0.0070791
10,0.64851415,0.7958827,"('unsympathetic', 'sympathetic')",-0.6348147,-0.60612845,0.0068497,0.0948771,0.0880274
11,0.98871076,1.1011374,"('unhelpful', 'helpful')",1.5186228,1.6485968,1.2536668,1.3748671,0.1212003
12,0.15442848,0.27061352,"('unsupportive', 'supportive')",-1.8060327,-1.7906079,-0.8258021,-0.7599972,0.0658049
13,0.45598876,0.38249204,"('impolite', 'polite')",-0.6701356,-0.64535505,-0.1070734,-0.1314315,-0.0243581
14,2.0415263,1.913594,"('antisocial', 'social')",-0.27541536,-0.33078384,0.8830554,0.7914051,-0.0916503
15,0.04038126,-0.13835788,"('boring', 'funny')",0.47889456,0.36609766,0.2596379,0.1138699,-0.145768
16,-1.0205452,-0.99064165,"('unpopular', 'popular')",0.59722745,0.6104603,-0.2116589,-0.1900907,0.0215682
17,-0.5853927,-0.56671137,"('nasty', 'nice')",-0.66836184,-0.6005458,-0.6268773,-0.5836286,0.0432487
18,-0.45489484,-0.37893763,"('disagreeable', 'welcoming')",-0.31670317,-0.3713276,-0.385799,-0.3751326,0.0106664
19,-0.93716,-0.8300079,"('inhospitable', 'hospitable')",-0.23466264,-0.12622887,-0.5859113,-0.4781184,0.1077929
20,0.14108862,0.2104375,"('rough', 'thoughtful')",1.1889544,1.1502006,0.6650215,0.6803191,0.0152976
21,0.94228995,1.0095679,"('immoral', 'moral')",-0.6725334,-0.5858189,0.1348783,0.2118745,0.0769962
22,0.91894925,0.86163795,"('untrustworthy', 'trustworthy')",-0.55971605,-0.6495379,0.1796166,0.10605,-0.0735666
23,0.8530534,0.9619007,"('insincere', 'sincere')",5.9841385,5.993441,3.418596,3.4776709,0.0590749
24,0.008929586,-0.065296315,"('dishonest', 'honest')",0.7710932,0.7021006,0.3900114,0.3184021,-0.0716093
25,-1.4415395,-1.4948827,"('egoistic', 'altruistic')",1.3560871,1.2394116,-0.0427262,-0.1277356,-0.0850094
26,-0.36750188,-0.49872676,"('hardhearted', 'benevolent')",1.6368785,1.5275308,0.6346883,0.514402,-0.1202863
27,-0.2704686,-0.23900026,"('hardhearted', 'softhearted')",1.0487686,0.9187677,0.38915,0.3398837,-0.0492663
28,0.025909677,-0.003502564,"('disloyal', 'loyal')",1.1173397,1.0270202,0.5716247,0.5117588,-0.0598659
29,-0.11637463,-0.19711757,"('unfair', 'fair')",-0.39996168,-0.5836871,-0.2581682,-0.3904023,-0.1322341
30,1.0646496,1.0008867,"('intolerant', 'tolerant')",1.2390585,1.2293491,1.151854,1.1151179,-0.0367361
31,-2.227914,-2.2397041,"('evil', 'good')",-0.78094816,-0.94961095,-1.5044311,-1.5946575,-0.0902264
32,0.57862675,0.5526871,"('unkind', 'kind')",0.8902738,0.6789671,0.7344503,0.6158271,-0.1186232
33,-0.12628497,-0.20351268,"('wrong', 'right')",-0.39326483,-0.46231717,-0.2597749,-0.3329149,-0.07314
34,-0.29375184,-0.113028586,"('mean', 'honorable')",5.92884,6.153314,2.8175442,3.0201428,0.2025986
35,-1.4112647,-1.5774783,"('corrupt', 'incorrupt')",-0.22149068,-0.38224766,-0.8163776,-0.979863,-0.1634854
36,-2.3099682,-2.3361595,"('hostile', 'amicable')",0.04550434,-0.15912612,-1.132232,-1.2476428,-0.1154108
37,0.21808386,0.2585191,"('fake', 'genuine')",0.54425913,0.55039066,0.3811715,0.4044549,0.0232834
38,-0.44594163,-0.43621773,"('untruthful', 'truthful')",-0.26170912,-0.15349372,-0.3538254,-0.2948557,0.0589697
39,1.4611199,1.4608781,"('exploitative', 'cooperative')",0.3781878,0.33792365,0.9196538,0.8994009,-0.0202529
40,-0.44657236,-0.47904918,"('stingy', 'generous')",-1.5637316,-1.6515622,-1.005152,-1.0653057,-0.0601537
41,-0.036237717,0.002351013,"('unforgiving', 'forgiving')",-0.16195998,-0.2711535,-0.0990988,-0.1344012,-0.0353024
42,0.93044853,1.1118346,"('unreliable', 'reliable')",-2.84468,-2.7675524,-0.9571158,-0.8278589,0.1292569
43,0.8263172,0.9497409,"('irresponsible', 'responsible')",1.0258218,1.063977,0.9260695,1.0068589,0.0807894
44,-0.33404595,-0.36717734,"('prejudiced', 'unprejudiced')",-1.221471,-1.2513179,-0.7777585,-0.8092476,-0.0314891
45,0.92468154,1.0572537,"('incompetent', 'competent')",0.05295919,0.022499379,0.4888204,0.5398765,0.0510561
