,range_male,range_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,female-male
0,0.54730165,0.48738757,"('unsociable', 'sociable')",0.71446234,0.61774635,0.20863691,0.20998965,0.4901336,0.4383745,-0.0517591
1,-0.09137124,-0.09697318,"('unfriendly', 'friendly')",-0.37381437,-0.55407614,1.3376294,1.1575593,0.2908146,0.1688367,-0.1219779
2,0.54103255,0.59585553,"('unlikable', 'likable')",0.6879345,0.6893317,0.72479445,0.73916745,0.6512539,0.6747849,0.023531
3,-0.13419206,-0.027099976,"('repellent', 'pleasant')",0.8744908,0.9656961,0.8277071,0.9119091,0.5226686,0.6168351,0.0941665
4,-0.78313726,-0.82561135,"('disliked', 'liked')",-0.122968905,-0.1560852,-7.263478,-7.387389,-2.7231948,-2.7896951,-0.0665003
5,-2.1600914,-2.2050025,"('distant', 'outgoing')",-0.5903541,-0.604423,-0.5634348,-0.7033876,-1.1046267,-1.1709377,-0.066311
6,-2.078537,-2.093689,"('distant', 'open')",-1.3152585,-1.3550481,-0.49451125,-0.6467346,-1.2961022,-1.3651573,-0.0690551
7,1.2781307,1.3988945,"('insensitive', 'sensitive')",0.85447264,0.89025795,0.8428324,0.98277915,0.9918118,1.0906439,0.0988321
8,-0.21469256,-0.21631353,"('unaffectionate', 'affectionate')",-0.945706,-1.03482,0.54685223,0.44084346,-0.2045155,-0.2700967,-0.0655812
9,0.5969549,0.61545885,"('unaffectionate', 'caring')",0.12847361,0.05782888,1.2979394,1.2735745,0.674456,0.6489541,-0.0255019
10,0.7707203,0.8501804,"('unsympathetic', 'sympathetic')",-0.21953687,-0.253567,0.23206133,0.4492057,0.2610816,0.3486063,0.0875247
11,0.83959335,0.8844426,"('unhelpful', 'helpful')",1.1006844,1.1162473,2.1443925,2.2892964,1.3615567,1.4299955,0.0684388
12,0.79859376,0.8631195,"('unsupportive', 'supportive')",0.96395314,0.95747674,-1.7373809,-1.6727266,0.0083887,0.0492899,0.0409012
13,1.5284623,1.481897,"('impolite', 'polite')",0.3568955,0.31527668,-0.026730534,0.03815316,0.6195424,0.6117756,-0.0077668
14,0.99253905,1.0316098,"('antisocial', 'social')",1.1041284,1.1184626,0.21529868,0.24454418,0.7706553,0.7982055,0.0275502
15,1.0382155,0.9325332,"('boring', 'funny')",-0.37552825,-0.40509185,-0.10768341,-0.14787158,0.1850013,0.1265233,-0.058478
16,-0.66846305,-0.7029102,"('unpopular', 'popular')",0.08110893,0.06981587,0.13109478,0.07951568,-0.1520864,-0.1845262,-0.0324398
17,-0.39699638,-0.38038385,"('nasty', 'nice')",-0.18683243,-0.106700845,-0.5565307,-0.49158746,-0.3801198,-0.326224,0.0538958
18,-0.9275353,-0.8908418,"('disagreeable', 'welcoming')",-0.5778478,-0.5634442,-0.63121486,-0.76815933,-0.7121993,-0.7408151,-0.0286158
19,-0.81250185,-0.8219737,"('inhospitable', 'hospitable')",-1.0914583,-1.1466649,-0.7473787,-0.7366113,-0.8837797,-0.9017499,-0.0179702
20,0.0019038599,0.038671345,"('rough', 'thoughtful')",0.022797605,0.038608644,0.7538063,0.7834244,0.2595026,0.2869015,0.0273989
21,1.5637017,1.5401595,"('immoral', 'moral')",1.46696,1.4352777,0.038765784,0.2423467,1.0231424,1.0725946,0.0494522
22,0.6277841,0.649878,"('untrustworthy', 'trustworthy')",0.3723926,0.34772965,-0.62469727,-0.52548915,0.1251598,0.1573729,0.0322131
23,1.5915543,1.6475565,"('insincere', 'sincere')",1.0030916,0.96854216,6.541916,6.649713,3.0455208,3.088604,0.0430832
24,0.59935886,0.6299189,"('dishonest', 'honest')",0.14098062,0.14427276,1.0903273,1.1668463,0.6102223,0.6470126,0.0367903
25,-0.016388439,0.08203071,"('egoistic', 'altruistic')",0.40798628,0.4620298,0.7658087,0.662886,0.3858022,0.4023155,0.0165133
26,0.12389179,0.11998547,"('hardhearted', 'benevolent')",0.25528473,0.2140263,1.3304136,1.2220446,0.5698634,0.5186855,-0.0511779
27,-0.87837386,-0.8042971,"('hardhearted', 'softhearted')",-0.22859412,-0.17232539,1.1850524,1.151375,0.0260282,0.0582509,0.0322227
28,1.1138467,1.1195142,"('disloyal', 'loyal')",0.47427312,0.36602813,1.2894763,1.2674369,0.9591986,0.9176598,-0.0415388
29,0.069302745,-0.030400835,"('unfair', 'fair')",-0.001807481,-0.09517798,-0.5227859,-0.639999,-0.1517635,-0.2551926,-0.1034291
30,1.386853,1.3955425,"('intolerant', 'tolerant')",1.149622,1.0710628,1.0125908,0.9855721,1.1830219,1.1507258,-0.0322961
31,-1.9146363,-1.9079665,"('evil', 'good')",-1.6757399,-1.7251601,-1.2958138,-1.5462177,-1.62873,-1.7264481,-0.0977181
32,0.3199434,0.36469582,"('unkind', 'kind')",0.16281283,0.15950449,0.91928935,0.9074107,0.4673485,0.4772037,0.0098552
33,1.0057788,0.88843864,"('wrong', 'right')",0.7668688,0.67719924,-0.5184057,-0.59520274,0.4180806,0.3234784,-0.0946022
34,-0.5265069,-0.4683252,"('mean', 'honorable')",-0.33246458,-0.27164066,5.8398995,5.967268,1.6603093,1.742434,0.0821247
35,-0.99493223,-1.1050438,"('corrupt', 'incorrupt')",-1.4265991,-1.4335088,-0.9947761,-1.2057513,-1.1387691,-1.2481012,-0.1093321
36,-2.010508,-2.0178156,"('hostile', 'amicable')",-2.7501903,-2.8220425,-0.54354864,-0.78797704,-1.7680823,-1.8759451,-0.1078628
37,0.33637026,0.34330115,"('fake', 'genuine')",-0.21109249,-0.20580125,0.10502958,0.16648619,0.0767691,0.1013287,0.0245596
38,0.3313906,0.30567443,"('untruthful', 'truthful')",0.4151597,0.36311448,0.015842265,0.050705973,0.2541309,0.2398316,-0.0142993
39,1.4370619,1.4555146,"('exploitative', 'cooperative')",-0.0138755515,0.055306774,0.33388403,0.32820186,0.5856901,0.6130077,0.0273176
40,-0.77700764,-0.6935654,"('stingy', 'generous')",-0.1812621,-0.17524518,-2.0870771,-2.1931593,-1.0151156,-1.0206567,-0.0055411
