,q_male,q_female,tuple,e_male,e_female,p_male,p_female,resources_male,resources_female,inc_male,inc_female,average_male,average_female,female-male
0,0.23538217,-0.09347397,"('unsociable', 'sociable')",-0.73144567,-0.90690655,0.52102894,0.42469937,0.59650886,0.44595367,-0.24215662,-0.3246959,0.0758635,-0.0908847,-0.1667482
1,-1.8013045,-1.8086559,"('unfriendly', 'friendly')",-2.4953105,-2.5126183,-1.5430956,-1.6107074,0.13825579,-0.06543054,1.5570327,1.4668835,-0.8288845,-0.9061057,-0.0772212
2,1.4209156,1.5174612,"('unlikable', 'likable')",1.3860024,1.4773903,1.1034553,1.1323671,1.1036086,1.0867847,0.60323477,0.67726207,1.1234433,1.1782532,0.0548099
3,0.9763168,0.9402382,"('repellent', 'pleasant')",0.4355195,0.4467798,0.6918214,0.7435104,1.1886739,1.2913951,0.07548472,0.16227914,0.6735633,0.7168406,0.0432773
4,0.15729567,0.17659146,"('disliked', 'liked')",0.30367613,0.3442194,0.66066885,0.6170904,-0.35746393,-0.46848276,-5.8228464,-5.99954,-1.0117339,-1.0660242,-0.0542903
5,-1.5143938,-1.4244165,"('distant', 'outgoing')",-0.40947872,-0.34857237,-0.33703652,-0.3569496,-0.05574012,-0.020798229,-0.07665743,-0.10873701,-0.4786613,-0.4518948,0.0267665
6,-1.1970847,-1.0880969,"('distant', 'open')",-0.22270317,-0.09652035,-0.35578123,-0.3334635,-0.9205657,-0.914484,0.27377385,0.22972335,-0.4844722,-0.4405683,0.0439039
7,0.4309921,0.319876,"('insensitive', 'sensitive')",-0.8533845,-0.94146293,-0.09986665,-0.16096397,1.0376021,1.0399548,0.97348374,0.9791049,0.2977654,0.2473018,-0.0504636
8,-1.488572,-1.4862766,"('unaffectionate', 'affectionate')",-2.0156133,-1.9861139,-1.6967702,-1.7339084,-0.88839877,-0.9594397,0.70263946,0.6282885,-1.0773429,-1.10749,-0.0301471
9,-0.5283648,-0.55609965,"('unaffectionate', 'caring')",-1.7903104,-1.783579,-0.6869407,-0.678831,0.6597025,0.59806204,1.0899537,1.0823133,-0.2511919,-0.2676269,-0.016435
10,0.485813,0.2465178,"('unsympathetic', 'sympathetic')",-0.61931086,-0.6636555,-0.5172441,-0.5598365,-0.013515238,-0.06193269,-0.0629185,-0.0567938,-0.1454351,-0.2191401,-0.073705
11,0.5605221,0.49554658,"('unhelpful', 'helpful')",-0.96614134,-0.9787601,0.8477876,0.895893,1.1364915,1.1710708,1.9897199,2.0467951,0.713676,0.7261091,0.0124331
12,0.81156754,0.8017268,"('unsupportive', 'supportive')",-0.49318227,-0.4150051,0.84715986,0.94265485,0.92266333,0.9663972,-1.5580819,-1.5217408,0.1060253,0.1548066,0.0487813
13,0.7373006,0.6133113,"('impolite', 'polite')",0.40910587,0.37301666,1.2152503,1.2363163,0.5801326,0.6085469,-0.096544094,-0.12809052,0.569049,0.5406201,-0.0284289
14,1.6162848,1.3961817,"('antisocial', 'social')",1.2237841,1.0659657,1.5240884,1.5249912,1.0916221,1.0578492,-0.21107161,-0.25061306,1.0489415,0.9588749,-0.0900666
