,lilly_male,lilly_female,tuple,eli_male,eli_female,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,-1.0412408,-1.1848662,"('unsociable', 'sociable')",-0.096000336,-0.20317945,0.011123671,0.04023523,-0.3868276,-0.43055883,-0.3782363,-0.4445923,-0.066356
1,1.5240703,1.5326232,"('unfriendly', 'friendly')",1.076592,1.075205,0.5701029,0.5589757,1.2218693,0.8914375,1.0981586,1.0145603,-0.0835983
2,0.7088609,0.7049119,"('unlikable', 'likable')",0.489582,0.4895325,1.5117595,1.5958798,1.0299863,1.1764122,0.9350471,0.9916841,0.056637
3,-2.2643192,-2.1801338,"('repellent', 'pleasant')",-1.6553041,-1.5523764,-1.3506806,-1.2608113,0.2878137,0.33407685,-1.2456225,-1.1648111,0.0808114
4,0.43152595,0.44227704,"('disliked', 'liked')",0.33962116,0.34965545,0.7237664,0.7324711,-5.154738,-4.682096,-0.9149561,-0.7894231,0.125533
5,2.9552317,3.1463273,"('distant', 'outgoing')",1.3342718,1.4036182,0.4999238,0.54989624,0.12436086,0.084592424,1.2284471,1.2961085,0.0676614
6,2.6175292,2.8527431,"('distant', 'open')",1.6471295,1.7778264,0.7471605,0.8480844,0.29099438,0.20221621,1.3257034,1.4202175,0.0945141
7,-0.17983374,-0.111334965,"('insensitive', 'sensitive')",-0.4535439,-0.3290079,-0.8933192,-0.77623975,-0.57494634,-0.55700403,-0.5254108,-0.4433966,0.0820142
8,1.1559287,1.1953837,"('unaffectionate', 'affectionate')",1.1839017,1.1804085,1.0344354,0.9034854,0.8053839,0.43179053,1.0449123,0.927767,-0.1171453
9,2.0641718,2.2252421,"('unaffectionate', 'caring')",1.6949791,1.7282442,0.84093785,0.8070352,1.2149205,0.9569667,1.4537524,1.4293722,-0.0243802
10,-1.331125,-1.2767605,"('unsympathetic', 'sympathetic')",-0.85904235,-0.849914,-0.99678683,-0.963673,-0.42573732,-0.46599737,-0.9031729,-0.8890862,0.0140867
11,-0.0976083,-0.20610964,"('unhelpful', 'helpful')",0.06052714,0.0037376098,-0.68170416,-0.7553079,1.7713624,1.7035427,0.2631443,0.1864657,-0.0766786
12,0.96031934,1.0575411,"('unsupportive', 'supportive')",1.6107173,1.7117064,1.0359976,1.0785943,-1.7468816,-1.605284,0.4650382,0.5606394,0.0956012
