,carnival_male,carnival_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,1.2544712,1.256448,"('unsociable', 'sociable')",0.09402433,0.093574196,0.6742477,0.6750111,0.0007634
1,-0.56251127,-0.7270834,"('unfriendly', 'friendly')",1.3339971,1.2105703,0.3857429,0.2417435,-0.1439994
2,0.18928686,0.18746579,"('unlikable', 'likable')",0.5063235,0.47760034,0.3478052,0.3325331,-0.0152721
3,0.14770049,0.39411297,"('repellent', 'pleasant')",0.79328483,0.8872278,0.4704927,0.6406704,0.1701777
4,-1.0245857,-1.1387008,"('disliked', 'liked')",-8.004246,-8.034448,-4.5144157,-4.5865741,-0.0721584
5,-1.0659724,-1.3405083,"('distant', 'outgoing')",-0.45835343,-0.5693516,-0.7621629,-0.9549299,-0.192767
6,-1.6297323,-1.8634654,"('distant', 'open')",-0.38428703,-0.5006705,-1.0070096,-1.182068,-0.1750584
7,0.84401137,1.0743964,"('insensitive', 'sensitive')",0.76914704,0.9238979,0.8065792,0.9991472,0.192568
8,-0.083600864,-0.2504559,"('unaffectionate', 'affectionate')",0.59491336,0.47843358,0.2556562,0.1139888,-0.1416674
9,0.7223849,0.693247,"('unaffectionate', 'caring')",1.3442369,1.3384365,1.0333109,1.0158417,-0.0174692
10,0.4685656,0.6383953,"('unsympathetic', 'sympathetic')",0.11900991,0.28007737,0.2937878,0.4592363,0.1654485
11,0.6053896,0.7609872,"('unhelpful', 'helpful')",2.3325987,2.4124265,1.4689941,1.5867069,0.1177128
12,0.9582975,0.9780336,"('unsupportive', 'supportive')",-1.8679343,-1.8248895,-0.4548184,-0.423428,0.0313904
13,1.1219938,1.107596,"('impolite', 'polite')",-0.06926187,0.018240005,0.5263659,0.562918,0.0365521
14,1.8669955,2.0205655,"('antisocial', 'social')",0.20821533,0.26250386,1.0376054,1.1415347,0.1039293
15,0.34998056,0.11640347,"('boring', 'funny')",-0.15550059,-0.16555114,0.09724,-0.0245738,-0.1218138
16,-0.83492136,-0.88349193,"('unpopular', 'popular')",0.06902685,0.02951958,-0.3829473,-0.4269862,-0.0440389
17,-0.9144838,-0.8175521,"('nasty', 'nice')",-0.274539,-0.17829427,-0.5945114,-0.4979232,0.0965882
18,0.32428074,0.13153929,"('disagreeable', 'welcoming')",-0.39728713,-0.49220875,-0.0365032,-0.1803347,-0.1438315
19,-1.3758457,-1.4442776,"('inhospitable', 'hospitable')",-0.79010564,-0.8052007,-1.0829756,-1.1247392,-0.0417636
20,-0.3621288,-0.19535857,"('rough', 'thoughtful')",0.7147396,0.7185204,0.1763054,0.2615809,0.0852755
21,0.86303735,0.9783834,"('immoral', 'moral')",-0.15463816,0.0021981485,0.3541996,0.4902908,0.1360912
22,-0.16645075,-0.07868084,"('untrustworthy', 'trustworthy')",-0.68216956,-0.5375911,-0.4243101,-0.308136,0.1161741
23,1.0798112,1.2765816,"('insincere', 'sincere')",6.879856,6.9577055,3.9798336,4.1171436,0.13731
24,0.54401803,0.63800037,"('dishonest', 'honest')",1.1581187,1.2537698,0.8510684,0.9458851,0.0948167
25,-0.71696055,-0.816976,"('egoistic', 'altruistic')",0.85165364,0.6450014,0.0673465,-0.0859873,-0.1533338
26,1.5837035,1.3932354,"('hardhearted', 'benevolent')",1.1438886,1.0112306,1.363796,1.2022331,-0.1615629
27,0.5984707,0.6422075,"('hardhearted', 'softhearted')",1.2729838,1.2401172,0.9357272,0.9411623,0.0054351
28,-0.059924196,-0.0026809173,"('disloyal', 'loyal')",1.260628,1.2646623,0.6003519,0.6309907,0.0306388
29,-0.31766275,-0.40442342,"('unfair', 'fair')",-0.25337094,-0.33407766,-0.2855169,-0.3692505,-0.0837336
30,2.2225754,2.3071775,"('intolerant', 'tolerant')",1.2512449,1.2647806,1.7369101,1.785979,0.0490689
31,-2.5242882,-2.7364082,"('evil', 'good')",-1.2846198,-1.3745239,-1.904454,-2.0554662,-0.1510122
32,1.1156573,1.0837708,"('unkind', 'kind')",1.0167158,0.9559969,1.0661865,1.0198839,-0.0463026
33,-0.51622814,-0.5870403,"('wrong', 'right')",-0.391314,-0.40435386,-0.4537711,-0.4956971,-0.041926
34,0.21641631,0.32548356,"('mean', 'honorable')",5.7072825,5.825245,2.9618495,3.0753641,0.1135146
35,-2.3861413,-2.617756,"('corrupt', 'incorrupt')",-0.73511267,-0.8457111,-1.560627,-1.7317336,-0.1711066
36,-2.3415906,-2.5370994,"('hostile', 'amicable')",-0.6207319,-0.71442986,-1.4811612,-1.6257646,-0.1446034
37,-0.36491126,-0.2913973,"('fake', 'genuine')",0.18673986,0.2818634,-0.0890857,-0.004767,0.0843187
38,-0.2162462,-0.2056384,"('untruthful', 'truthful')",0.18875886,0.2860446,-0.0137437,0.0402031,0.0539468
39,1.4726272,1.5702534,"('exploitative', 'cooperative')",0.23640245,0.26417518,0.8545148,0.9172143,0.0626995
40,0.21400607,0.25612918,"('stingy', 'generous')",-2.3336875,-2.3360217,-1.0598407,-1.0399462,0.0198945
41,0.6681303,0.6029725,"('unforgiving', 'forgiving')",0.024876865,-0.014771236,0.3465036,0.2941006,-0.052403
42,0.33450505,0.4242124,"('unreliable', 'reliable')",-2.9800348,-2.8983316,-1.3227649,-1.2370596,0.0857053
43,1.4027433,1.4922173,"('irresponsible', 'responsible')",1.0168903,1.0422906,1.2098168,1.2672539,0.0574371
44,-1.6740707,-1.7111679,"('prejudiced', 'unprejudiced')",-1.4069637,-1.5031924,-1.5405172,-1.6071801,-0.0666629
45,0.120436504,0.33663195,"('incompetent', 'competent')",0.046545066,0.11096834,0.0834908,0.2238002,0.1403094
46,1.2457086,1.4466326,"('uncompetitive', 'competitive')",-0.99095345,-0.8629831,0.1273776,0.2918248,0.1644472
47,-0.24294555,-0.13140285,"('stupid', 'smart')",6.083043,6.248396,2.9200487,3.0584965,0.1384478
48,1.0403185,0.9825428,"('unintelligent', 'intelligent')",1.1519743,1.185567,1.0961463,1.0840549,-0.0120914
49,-0.029532645,0.0070439633,"('unable', 'able')",-0.23469445,-0.11558471,-0.1321135,-0.0542704,0.0778431
50,-1.2307013,-1.1685919,"('clumsy', 'skillful')",-0.11169512,-0.0944003,-0.6711982,-0.6314961,0.0397021
51,0.38506544,0.3686359,"('uneducated', 'educated')",0.5250462,0.55055696,0.4550558,0.4595964,0.0045406
52,-1.2452899,-1.4807757,"('irrational', 'rational')",-0.39473933,-0.4614327,-0.8200146,-0.9711042,-0.1510896
53,-0.7706558,-0.8144757,"('uncreative', 'creative')",0.43856543,0.4055111,-0.1660452,-0.2044823,-0.0384371
54,-0.30216837,-0.3640406,"('incapable', 'capable')",0.983693,0.99210376,0.3407623,0.3140316,-0.0267307
55,1.0638723,1.2652891,"('incompetent', 'clever')",0.65799224,0.76347893,0.8609323,1.014384,0.1534517
56,2.188939,2.2683353,"('impractical', 'practical')",0.12555803,0.2628672,1.1572486,1.2656013,0.1083527
57,-0.32197928,-0.305422,"('unimaginative', 'imaginative')",-3.3602896,-3.297694,-1.8411344,-1.801558,0.0395764
58,0.17238583,0.23230192,"('undiscriminating', 'discriminating')",-0.025787925,-0.052992914,0.073299,0.0896545,0.0163555
59,-1.2793849,-1.3331223,"('foolish', 'wise')",0.3088428,0.37972474,-0.485271,-0.4766988,0.0085722
60,2.0678842,2.3435202,"('inefficient', 'efficient')",0.7524077,0.8893106,1.410146,1.6164154,0.2062694
61,0.21521543,0.14590175,"('illogical', 'logical')",0.8119961,0.7266054,0.5136058,0.4362536,-0.0773522
62,1.1368386,1.3837593,"('incompetent', 'brilliant')",1.0736759,1.2343144,1.1052573,1.3090369,0.2037796
63,0.40811104,0.5093676,"('unperceptive', 'insightful')",0.6533197,0.75992703,0.5307153,0.6346473,0.103932
64,-0.33260348,-0.3918552,"('shy', 'confident')",-6.5687184,-6.5297537,-3.4506609,-3.4608045,-0.0101436
65,1.045093,1.1924236,"('insecure', 'secure')",0.42972946,0.53183067,0.7374113,0.8621271,0.1247158
66,-1.658421,-1.6777153,"('inactive', 'active')",-0.05388189,-0.1708264,-0.8561515,-0.9242709,-0.0681194
67,-0.12751251,-0.13781098,"('doubtful', 'determined')",-0.26893505,-0.31669566,-0.1982238,-0.2272533,-0.0290295
68,-0.23950471,-0.19487269,"('dependent', 'independent')",-0.541714,-0.49911982,-0.3906094,-0.3469962,0.0436132
69,-1.4535245,-1.5075067,"('lazy', 'industrious')",-1.0332152,-1.1197768,-1.2433698,-1.3136418,-0.070272
70,1.1201556,1.3173344,"('lethargic', 'energetic')",0.5386657,0.61141366,0.8294107,0.9643741,0.1349634
71,0.48618117,0.38651365,"('diffident', 'self-confident')",0.42943364,0.4082023,0.4578074,0.397358,-0.0604494
72,1.5318822,1.5747213,"('unambitious', 'ambitious')",0.16883059,0.2581486,0.8503564,0.916435,0.0660786
73,-0.07148785,-0.08147758,"('helpless', 'self-reliant')",-3.6026838,-3.5347095,-1.8370858,-1.8080935,0.0289923
74,0.861781,0.8839491,"('undedicated', 'dedicated')",-0.5693905,-0.5821759,0.1461953,0.1508866,0.0046913
75,-1.4422222,-1.5511864,"('meek', 'impulsive')",-0.8178347,-0.86883706,-1.1300285,-1.2100117,-0.0799832
76,0.7780375,0.918949,"('anxious', 'daring')",0.15494137,0.19593191,0.4664894,0.5574405,0.0909511
77,0.29880857,0.36424002,"('unmotivated', 'motivated')",-0.8892987,-0.7597434,-0.2952451,-0.1977517,0.0974934
78,0.010447308,0.13300824,"('nonresilient', 'resilient')",-0.17991935,-0.085046835,-0.084736,0.0239807,0.1087167
79,-1.890388,-2.0921965,"('wavering', 'unwavering')",-0.5585577,-0.59114116,-1.2244729,-1.3416688,-0.1171959
80,0.025857694,0.25281343,"('dominated', 'dominating')",-0.63941604,-0.47908488,-0.3067792,-0.1131357,0.1936435
81,1.0927378,1.2402244,"('submissive', 'aggressive')",-0.062515914,0.07656519,0.515111,0.6583948,0.1432838
82,-0.21295992,-0.10081675,"('poor', 'rich')",6.7431564,6.812147,3.2650983,3.3556652,0.0905669
83,-0.18580484,-0.34213278,"('powerless', 'powerful')",-1.0098604,-1.037031,-0.5978326,-0.6895819,-0.0917493
84,0.6046699,0.5417111,"('inferior', 'superior')",0.44446072,0.34938213,0.5245653,0.4455466,-0.0790187
85,-0.43883026,-0.72432375,"('insignificant', 'prestigious')",-0.88532454,-1.095913,-0.6620774,-0.9101184,-0.248041
86,0.3351587,0.2785927,"('uninfluential', 'influential')",-0.08190678,-0.020337675,0.126626,0.1291275,0.0025015
87,-0.1485311,-0.021843016,"('unsuccessful', 'successful')",0.40641555,0.5679855,0.1289422,0.2730712,0.144129
88,0.122935295,-0.01839773,"('low', 'eminent')",-0.13355441,-0.14006144,-0.0053096,-0.0792296,-0.07392
