,schering_male,schering_female,tuple,plough_male,plough_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.90563184,-1.0318334,"('unsociable', 'sociable')",-0.9153704,-1.1043738,0.4766065,0.44113582,-0.4481319,-0.5650237,-0.1168918
1,-1.8121958,-1.8725971,"('unfriendly', 'friendly')",-1.4873251,-1.5997058,1.0941693,0.8460015,-0.7351173,-0.8754338,-0.1403165
2,-0.27773666,-0.24617177,"('unlikable', 'likable')",-0.51989096,-0.43200147,0.29268795,0.27395132,-0.1683132,-0.1347406,0.0335726
3,-1.7653359,-1.783681,"('repellent', 'pleasant')",-1.436632,-1.3633051,0.62463576,0.6703651,-0.8591108,-0.8255403,0.0335705
4,-0.032349326,-0.11007823,"('disliked', 'liked')",0.75374603,0.7198075,-8.008842,-8.111798,-2.4291487,-2.5006897,-0.071541
5,-0.20673475,-0.27343884,"('distant', 'outgoing')",0.09299627,0.029197432,-0.7930504,-0.8726798,-0.302263,-0.3723071,-0.0700441
6,-0.35854378,-0.3960774,"('distant', 'open')",-0.09787172,-0.11486369,-0.56473756,-0.70102465,-0.3403844,-0.4039886,-0.0636042
7,-0.69925445,-0.66627264,"('insensitive', 'sensitive')",-0.91057736,-0.8546608,0.8103536,0.8523635,-0.2664927,-0.2228566,0.0436361
8,-0.51245826,-0.6457514,"('unaffectionate', 'affectionate')",-0.37291583,-0.4954896,0.6649761,0.48363742,-0.073466,-0.2192012,-0.1457352
9,-0.56206393,-0.66978097,"('unaffectionate', 'caring')",-0.7343008,-0.89399856,1.3001596,1.2048811,0.0012649,-0.1196328,-0.1208977
10,-1.921044,-2.0481381,"('unsympathetic', 'sympathetic')",-2.3259337,-2.4321723,0.5663621,0.6510198,-1.2268719,-1.2764302,-0.0495583
11,-1.1654238,-1.1527846,"('unhelpful', 'helpful')",-1.43051,-1.3887581,2.1641157,2.3074477,-0.1439394,-0.0780316,0.0659078
12,-0.7798899,-0.8107043,"('unsupportive', 'supportive')",-0.702245,-0.69040585,-1.9603542,-1.9170523,-1.1474964,-1.1393874,0.008109
13,-0.35179758,-0.4268459,"('impolite', 'polite')",-0.18498318,-0.2921434,-0.11316474,0.016798798,-0.2166485,-0.2340635,-0.017415
14,-0.30419368,-0.27666155,"('antisocial', 'social')",-0.68879807,-0.6824644,0.06601596,0.102892555,-0.3089919,-0.2854111,0.0235808
15,0.58451575,0.57147497,"('boring', 'funny')",0.70597005,0.62282693,-0.14702733,-0.15272929,0.3811528,0.3471909,-0.0339619
16,-0.5714947,-0.5586784,"('unpopular', 'popular')",-0.6083101,-0.5702265,0.024670564,-0.017445184,-0.3850447,-0.3821167,0.002928
17,-1.2900054,-1.2396119,"('nasty', 'nice')",-0.2879828,-0.30478266,-0.49339056,-0.43795753,-0.6904596,-0.660784,0.0296756
