,speaking_male,speaking_female,tuple,average_male,average_female,female-male
0,0.1671038,0.060649943,"('unsociable', 'sociable')",0.1671038,0.0606499,-0.1064539
1,1.5791503,1.5720768,"('unfriendly', 'friendly')",1.5791503,1.5720768,-0.0070735
2,0.676531,0.77863526,"('unlikable', 'likable')",0.676531,0.7786353,0.1021043
3,1.1308124,1.2159373,"('repellent', 'pleasant')",1.1308124,1.2159373,0.0851249
4,-7.0430813,-6.943955,"('disliked', 'liked')",-7.0430813,-6.9439549,0.0991264
5,0.053367212,0.08479442,"('distant', 'outgoing')",0.0533672,0.0847944,0.0314272
6,0.26108524,0.2984712,"('distant', 'open')",0.2610852,0.2984712,0.037386
7,1.6269096,1.5738009,"('insensitive', 'sensitive')",1.6269096,1.5738009,-0.0531087
8,0.98953503,0.99087876,"('unaffectionate', 'affectionate')",0.989535,0.9908788,0.0013438
9,1.4500005,1.4772885,"('unaffectionate', 'caring')",1.4500005,1.4772885,0.027288
10,1.5044032,1.4691572,"('unsympathetic', 'sympathetic')",1.5044032,1.4691572,-0.035246
11,2.3472247,2.3226573,"('unhelpful', 'helpful')",2.3472247,2.3226573,-0.0245674
12,-0.8514584,-0.8335705,"('unsupportive', 'supportive')",-0.8514584,-0.8335705,0.0178879
13,0.48117003,0.3556754,"('impolite', 'polite')",0.48117,0.3556754,-0.1254946
14,0.29431048,0.18539608,"('antisocial', 'social')",0.2943105,0.1853961,-0.1089144
15,0.32946786,0.31685293,"('boring', 'funny')",0.3294679,0.3168529,-0.012615
16,-0.61926883,-0.51072204,"('unpopular', 'popular')",-0.6192688,-0.510722,0.1085468
17,-0.057075873,-0.017225275,"('nasty', 'nice')",-0.0570759,-0.0172253,0.0398506
18,-0.09882964,-0.12080725,"('disagreeable', 'welcoming')",-0.0988296,-0.1208073,-0.0219777
19,0.04814449,0.09805452,"('inhospitable', 'hospitable')",0.0481445,0.0980545,0.04991
20,0.7011151,0.5859071,"('rough', 'thoughtful')",0.7011151,0.5859071,-0.115208
21,0.4352283,0.42930755,"('immoral', 'moral')",0.4352283,0.4293076,-0.0059207
22,0.09544433,0.015653687,"('untrustworthy', 'trustworthy')",0.0954443,0.0156537,-0.0797906
23,6.9673805,6.912104,"('insincere', 'sincere')",6.9673805,6.9121041,-0.0552764
24,2.4569678,2.4046943,"('dishonest', 'honest')",2.4569678,2.4046943,-0.0522735
25,0.26054624,0.2344304,"('egoistic', 'altruistic')",0.2605462,0.2344304,-0.0261158
26,0.082696706,0.12027402,"('hardhearted', 'benevolent')",0.0826967,0.120274,0.0375773
27,1.7649711,1.6451132,"('hardhearted', 'softhearted')",1.7649711,1.6451132,-0.1198579
28,1.3100482,1.3086294,"('disloyal', 'loyal')",1.3100482,1.3086294,-0.0014188
29,0.001261903,-0.09529351,"('unfair', 'fair')",0.0012619,-0.0952935,-0.0965554
