,w_male,w_female,tuple,p_male,p_female,x_male,x_female,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,0.2414209,0.1387151,"('unsociable', 'sociable')",0.31779546,0.2149629,-0.21228084,-0.2539926,0.38153407,0.23348176,-0.38820073,-0.5176874,0.0680538,-0.036904,-0.1049578
1,-1.385332,-1.3123572,"('unfriendly', 'friendly')",-0.8291571,-0.78817546,-1.6157169,-1.4917449,0.200997,0.05400838,0.9269076,0.8569644,-0.5404603,-0.5362609,0.0041994
2,1.705638,1.7992408,"('unlikable', 'likable')",1.5266727,1.6476917,1.2996339,1.4916474,1.2694503,1.2034011,0.9506385,1.0493395,1.3504066,1.4382641,0.0878575
3,0.8501982,0.9207866,"('repellent', 'pleasant')",0.6580464,0.6313411,0.30249488,0.48822835,-0.092721745,-0.019504953,0.50145876,0.48743597,0.4438953,0.5016574,0.0577621
4,-0.42441365,-0.52147585,"('disliked', 'liked')",0.7844269,0.71855766,-1.8458813,-1.9135995,0.4381045,0.30958077,-5.0239916,-5.1918454,-1.2143511,-1.3197565,-0.1054054
5,-1.5005794,-1.3967296,"('distant', 'outgoing')",-0.51834714,-0.34684324,-1.350209,-1.1841217,-0.2112386,-0.18894239,-0.6863796,-0.6297972,-0.8533507,-0.7492868,0.1040639
6,-1.9149013,-1.7394928,"('distant', 'open')",-0.4823372,-0.28276068,-1.0896165,-0.858418,-0.8763509,-0.8917944,-0.6866885,-0.635024,-1.0099789,-0.881498,0.1284809
7,0.12135701,0.21206358,"('insensitive', 'sensitive')",-0.60651875,-0.581437,0.023325695,0.028668309,0.979699,0.9551011,0.7639579,0.78877115,0.2563642,0.2806334,0.0242692
8,-1.7720641,-1.730865,"('unaffectionate', 'affectionate')",-1.3908328,-1.3718015,-0.68021476,-0.55737907,-0.5704199,-0.6776903,-0.12335862,-0.13106835,-0.907378,-0.8937608,0.0136172
9,-0.59575844,-0.5553261,"('unaffectionate', 'caring')",-0.18632124,-0.14071153,-0.3915636,-0.26136765,0.40218967,0.3267756,0.45868638,0.46032137,-0.0625535,-0.0340617,0.0284918
