,fmc_male,fmc_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.19552341,-0.40566352,"('unsociable', 'sociable')",-0.055664815,-0.27864647,-0.1255941,-0.342155,-0.2165609
1,-1.558376,-1.7485248,"('unfriendly', 'friendly')",1.1193987,0.99049354,-0.2194886,-0.3790156,-0.159527
2,1.0304598,0.98057806,"('unlikable', 'likable')",0.81309575,0.8289786,0.9217777,0.9047784,-0.0169993
3,0.78009707,0.86332655,"('repellent', 'pleasant')",1.2811122,1.3326578,1.0306046,1.0979922,0.0673876
4,-0.27604806,-0.33248234,"('disliked', 'liked')",-6.44242,-6.5792265,-3.3592341,-3.4558544,-0.0966203
5,-1.4989618,-1.5188644,"('distant', 'outgoing')",-0.98953193,-0.9562709,-1.2442468,-1.2375677,0.0066791
6,-2.224904,-2.2376096,"('distant', 'open')",-1.0191586,-0.97295374,-1.6220313,-1.6052817,0.0167496
7,0.30315673,0.30845833,"('insensitive', 'sensitive')",0.71254617,0.6126626,0.5078515,0.4605605,-0.047291
8,-1.5881238,-1.6411233,"('unaffectionate', 'affectionate')",0.5799857,0.5873104,-0.5040691,-0.5269065,-0.0228374
9,-1.3395783,-1.421384,"('unaffectionate', 'caring')",0.96741545,0.9545257,-0.1860814,-0.2334291,-0.0473477
10,-0.12779544,-0.14790426,"('unsympathetic', 'sympathetic')",-0.61178654,-0.6566971,-0.369791,-0.4023007,-0.0325097
11,0.38445973,0.36058345,"('unhelpful', 'helpful')",1.2279241,1.2708185,0.8061919,0.8157009,0.009509
12,-0.19404246,-0.13511279,"('unsupportive', 'supportive')",-2.0786653,-2.1399572,-1.1363539,-1.137535,-0.0011811
13,0.20269614,0.20388871,"('impolite', 'polite')",-0.7634119,-0.73990977,-0.2803579,-0.2680105,0.0123474
14,1.7136904,1.6001786,"('antisocial', 'social')",0.80542654,0.61764383,1.2595584,1.1089113,-0.1506471
15,0.2652442,0.09424123,"('boring', 'funny')",0.33741683,0.25283152,0.3013305,0.1735364,-0.1277941
16,-0.80606025,-0.7180563,"('unpopular', 'popular')",0.123862356,0.14756827,-0.341099,-0.285244,0.055855
17,-0.63294494,-0.53213346,"('nasty', 'nice')",-0.6580447,-0.61870307,-0.6454948,-0.5754182,0.0700766
18,-0.7104988,-0.6938945,"('disagreeable', 'welcoming')",-0.67392325,-0.7104471,-0.692211,-0.7021708,-0.0099598
19,-1.0028468,-1.0014915,"('inhospitable', 'hospitable')",-0.8250771,-0.7632267,-0.913962,-0.8823591,0.0316029
20,0.573992,0.5589405,"('rough', 'thoughtful')",0.8273679,0.7977356,0.70068,0.6783381,-0.0223419
21,1.053628,1.0729301,"('immoral', 'moral')",-0.26528856,-0.27863094,0.3941697,0.3971496,0.0029799
22,0.6106548,0.5633517,"('untrustworthy', 'trustworthy')",-0.50474894,-0.66356397,0.0529529,-0.0501061,-0.103059
23,0.36397946,0.34929308,"('insincere', 'sincere')",5.5085497,5.506409,2.9362645,2.9278512,-0.0084133
24,0.14840862,0.10628897,"('dishonest', 'honest')",0.34324184,0.32779878,0.2458252,0.2170439,-0.0287813
25,-0.84394675,-0.91393954,"('egoistic', 'altruistic')",1.2220728,1.2392856,0.189063,0.162673,-0.02639
26,-0.20317838,-0.4271873,"('hardhearted', 'benevolent')",2.243871,2.1286247,1.0203463,0.8507187,-0.1696276
27,-0.78629524,-0.82750374,"('hardhearted', 'softhearted')",1.1442661,1.0736896,0.1789854,0.1230929,-0.0558925
28,-0.29514515,-0.39996797,"('disloyal', 'loyal')",1.0338641,0.9247043,0.3693595,0.2623682,-0.1069913
29,-0.008966066,-0.07351989,"('unfair', 'fair')",-0.3502,-0.5052373,-0.179583,-0.2893786,-0.1097956
30,1.559118,1.46435,"('intolerant', 'tolerant')",1.0383354,1.0150555,1.2987268,1.2397027,-0.0590241
31,-1.669326,-1.6554972,"('evil', 'good')",-0.7649088,-0.90635085,-1.2171173,-1.2809241,-0.0638068
32,0.001418991,-0.14771573,"('unkind', 'kind')",0.6345887,0.45963454,0.3180039,0.1559594,-0.1620445
33,-0.2707938,-0.33960658,"('wrong', 'right')",-0.5722111,-0.69952285,-0.4215024,-0.5195647,-0.0980623
34,-0.13488506,0.07998423,"('mean', 'honorable')",5.1013412,5.393987,2.4832282,2.7369857,0.2537575
35,-1.3801901,-1.560219,"('corrupt', 'incorrupt')",-0.52938807,-0.60497624,-0.9547891,-1.0825976,-0.1278085
36,-1.7445292,-1.8495915,"('hostile', 'amicable')",-0.15310834,-0.26505065,-0.9488188,-1.0573211,-0.1085023
37,0.053350866,-0.00093545765,"('fake', 'genuine')",-0.05308527,-0.082165815,0.0001328,-0.0415506,-0.0416834
38,-0.86497706,-0.861363,"('untruthful', 'truthful')",-0.6396367,-0.5702699,-0.7523069,-0.7158164,0.0364905
39,1.0999005,1.2207417,"('exploitative', 'cooperative')",0.19096972,0.22798745,0.6454351,0.7243646,0.0789295
