,wraparound_male,wraparound_female,tuple,average_male,average_female,female-male
0,0.23373061,0.2950592,"('unsociable', 'sociable')",0.2337306,0.2950592,0.0613286
1,-0.72900563,-1.0274261,"('unfriendly', 'friendly')",-0.7290056,-1.0274261,-0.2984205
2,0.32399356,0.46233046,"('unlikable', 'likable')",0.3239936,0.4623305,0.1383369
3,0.43325934,0.6432962,"('repellent', 'pleasant')",0.4332593,0.6432962,0.2100369
4,-3.258236,-3.3489597,"('disliked', 'liked')",-3.2582359,-3.3489597,-0.0907238
5,-0.74223953,-0.8045319,"('distant', 'outgoing')",-0.7422395,-0.8045319,-0.0622924
6,-0.90328854,-1.0127376,"('distant', 'open')",-0.9032885,-1.0127376,-0.1094491
7,0.76468164,1.0976356,"('insensitive', 'sensitive')",0.7646816,1.0976356,0.332954
8,-0.7131626,-0.9022448,"('unaffectionate', 'affectionate')",-0.7131626,-0.9022448,-0.1890822
9,0.00881383,0.07357357,"('unaffectionate', 'caring')",0.0088138,0.0735736,0.0647598
10,0.15983343,0.2900866,"('unsympathetic', 'sympathetic')",0.1598334,0.2900866,0.1302532
11,1.7229835,1.8840523,"('unhelpful', 'helpful')",1.7229835,1.8840523,0.1610688
12,-0.32194036,-0.17971306,"('unsupportive', 'supportive')",-0.3219404,-0.1797131,0.1422273
13,0.015144631,0.04911943,"('impolite', 'polite')",0.0151446,0.0491194,0.0339748
14,0.3674274,0.6522133,"('antisocial', 'social')",0.3674274,0.6522133,0.2847859
15,0.15896669,0.21430333,"('boring', 'funny')",0.1589667,0.2143033,0.0553366
16,-0.57627565,-0.63008034,"('unpopular', 'popular')",-0.5762756,-0.6300803,-0.0538047
17,-0.730993,-0.6917107,"('nasty', 'nice')",-0.730993,-0.6917107,0.0392823
18,-0.2563938,-0.18604891,"('disagreeable', 'welcoming')",-0.2563938,-0.1860489,0.0703449
19,-1.2099286,-1.1549169,"('inhospitable', 'hospitable')",-1.2099286,-1.1549169,0.0550117
20,0.33683312,0.24838042,"('rough', 'thoughtful')",0.3368331,0.2483804,-0.0884527
21,1.3932977,1.6864246,"('immoral', 'moral')",1.3932977,1.6864246,0.2931269
