,discovery_male,discovery_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.31595087,0.21957895,"('unsociable', 'sociable')",-0.5226493,-0.6682081,-0.1033492,-0.2243146,-0.1209654
1,0.33124876,0.19605672,"('unfriendly', 'friendly')",1.8815899,1.8038819,1.1064193,0.9999693,-0.10645
2,1.112982,1.1272979,"('unlikable', 'likable')",0.39674768,0.43914273,0.7548649,0.7832203,0.0283554
3,0.35448724,0.4169714,"('repellent', 'pleasant')",0.20409113,0.27090234,0.2792892,0.3439369,0.0646477
4,-1.6785444,-1.7845689,"('disliked', 'liked')",-6.095528,-6.2850857,-3.8870363,-4.0348272,-0.1477909
5,-0.13935141,-0.099923,"('distant', 'outgoing')",-0.050346255,-0.08668353,-0.0948488,-0.0933033,0.0015455
6,0.21225086,0.27802444,"('distant', 'open')",0.34900677,0.33591637,0.2806288,0.3069704,0.0263416
7,0.78119963,0.82546544,"('insensitive', 'sensitive')",0.9804692,1.0140804,0.8808345,0.9197729,0.0389384
8,0.45905095,0.39764866,"('unaffectionate', 'affectionate')",1.2498175,1.0906442,0.8544343,0.7441465,-0.1102878
9,1.5899081,1.5990167,"('unaffectionate', 'caring')",1.2196387,1.1498536,1.4047735,1.3744352,-0.0303383
10,1.0496167,1.1339557,"('unsympathetic', 'sympathetic')",-0.42911494,-0.42465183,0.3102509,0.3546519,0.044401
11,1.201769,1.2993612,"('unhelpful', 'helpful')",1.6242195,1.7448767,1.4129943,1.522119,0.1091247
12,1.0864875,1.1448532,"('unsupportive', 'supportive')",-1.3552738,-1.4326035,-0.1343932,-0.1438751,-0.0094819
13,0.4690994,0.4579629,"('impolite', 'polite')",-0.8961684,-0.8829319,-0.2135345,-0.2124845,0.00105
14,1.2711575,1.2453408,"('antisocial', 'social')",-0.44725615,-0.5055599,0.4119507,0.3698905,-0.0420602
15,0.7193694,0.65868187,"('boring', 'funny')",0.60694534,0.53371847,0.6631573,0.5962002,-0.0669571
16,-1.3861042,-1.4702247,"('unpopular', 'popular')",0.23625487,0.28522056,-0.5749247,-0.5925021,-0.0175774
17,-0.9450519,-0.9365686,"('nasty', 'nice')",-0.24866779,-0.1757902,-0.5968599,-0.5561794,0.0406805
18,-0.42327473,-0.56638765,"('disagreeable', 'welcoming')",-0.24541539,-0.37774178,-0.334345,-0.4720647,-0.1377197
19,-0.86567754,-0.85768086,"('inhospitable', 'hospitable')",0.42884287,0.49208084,-0.2184173,-0.1828,0.0356173
20,0.7563482,0.64530474,"('rough', 'thoughtful')",1.3313833,1.2819017,1.0438658,0.9636033,-0.0802625
21,1.5467068,1.544162,"('immoral', 'moral')",-0.5402431,-0.5393038,0.5032319,0.5024291,-0.0008028
22,1.097272,1.0426779,"('untrustworthy', 'trustworthy')",-0.49874502,-0.601166,0.2992635,0.2207559,-0.0785076
23,1.0601537,1.0570195,"('insincere', 'sincere')",5.5966845,5.662723,3.3284192,3.3598714,0.0314522
24,0.8859628,0.8999308,"('dishonest', 'honest')",0.7951725,0.71450865,0.8405676,0.8072197,-0.0333479
25,0.4059829,0.33570713,"('egoistic', 'altruistic')",2.1494398,2.0620186,1.2777114,1.1988629,-0.0788485
