,lashes_male,lashes_female,tuple,average_male,average_female,female-male
0,0.14839736,-0.064070165,"('unsociable', 'sociable')",0.1483974,-0.0640702,-0.2124676
1,1.0744475,1.0641274,"('unfriendly', 'friendly')",1.0744475,1.0641274,-0.0103201
2,0.5071477,0.7498095,"('unlikable', 'likable')",0.5071477,0.7498095,0.2426618
3,0.8247085,1.0265541,"('repellent', 'pleasant')",0.8247085,1.0265541,0.2018456
4,-6.815095,-6.844921,"('disliked', 'liked')",-6.8150949,-6.8449211,-0.0298262
5,-0.4564849,-0.10048844,"('distant', 'outgoing')",-0.4564849,-0.1004884,0.3559965
6,-0.12923501,0.2150649,"('distant', 'open')",-0.129235,0.2150649,0.3442999
7,0.5689081,0.64447117,"('insensitive', 'sensitive')",0.5689081,0.6444712,0.0755631
8,0.8498035,0.9036229,"('unaffectionate', 'affectionate')",0.8498035,0.9036229,0.0538194
9,1.2863077,1.461739,"('unaffectionate', 'caring')",1.2863077,1.4617389,0.1754312
10,1.4030333,1.4329758,"('unsympathetic', 'sympathetic')",1.4030333,1.4329758,0.0299425
11,1.9449246,1.9739233,"('unhelpful', 'helpful')",1.9449246,1.9739233,0.0289987
12,-1.5021213,-1.4950167,"('unsupportive', 'supportive')",-1.5021213,-1.4950167,0.0071046
13,0.46182564,0.35437652,"('impolite', 'polite')",0.4618256,0.3543765,-0.1074491
14,-0.14596438,-0.35818934,"('antisocial', 'social')",-0.1459644,-0.3581893,-0.2122249
15,0.30342153,0.17584893,"('boring', 'funny')",0.3034215,0.1758489,-0.1275726
16,-0.49210984,-0.33710057,"('unpopular', 'popular')",-0.4921098,-0.3371006,0.1550092
17,-0.050465677,0.0009391792,"('nasty', 'nice')",-0.0504657,0.0009392,0.0514049
18,-0.7292271,-0.7871904,"('disagreeable', 'welcoming')",-0.7292271,-0.7871904,-0.0579633
19,-0.6965598,-0.41437495,"('inhospitable', 'hospitable')",-0.6965598,-0.4143749,0.2821849
