,spokesman_male,spokesman_female,tuple,average_male,average_female,female-male
0,0.8484205,0.5992931,"('unsociable', 'sociable')",0.8484205,0.5992931,-0.2491274
1,0.17767742,0.30024183,"('unfriendly', 'friendly')",0.1776774,0.3002418,0.1225644
2,0.14124943,0.27026683,"('unlikable', 'likable')",0.1412494,0.2702668,0.1290174
3,0.98567146,0.98345894,"('repellent', 'pleasant')",0.9856715,0.9834589,-0.0022126
4,-7.745061,-7.812976,"('disliked', 'liked')",-7.7450609,-7.8129759,-0.067915
5,-1.6582737,-1.4837784,"('distant', 'outgoing')",-1.6582737,-1.4837784,0.1744953
6,-1.3685746,-1.2383521,"('distant', 'open')",-1.3685746,-1.2383521,0.1302225
7,1.9492221,1.8787789,"('insensitive', 'sensitive')",1.9492221,1.8787789,-0.0704432
8,0.31117207,0.39154473,"('unaffectionate', 'affectionate')",0.3111721,0.3915447,0.0803726
9,1.1958715,1.2091656,"('unaffectionate', 'caring')",1.1958715,1.2091656,0.0132941
10,2.4056025,2.2089646,"('unsympathetic', 'sympathetic')",2.4056025,2.2089646,-0.1966379
11,2.331856,2.2681634,"('unhelpful', 'helpful')",2.331856,2.2681634,-0.0636926
12,-1.147466,-1.1939108,"('unsupportive', 'supportive')",-1.1474659,-1.1939108,-0.0464449
13,1.072822,0.9741361,"('impolite', 'polite')",1.072822,0.9741361,-0.0986859
14,0.9296831,0.8161932,"('antisocial', 'social')",0.9296831,0.8161932,-0.1134899
15,-0.048338905,0.06349388,"('boring', 'funny')",-0.0483389,0.0634939,0.1118328
16,-0.977225,-0.9576083,"('unpopular', 'popular')",-0.977225,-0.9576083,0.0196167
17,-0.26086512,-0.18929124,"('nasty', 'nice')",-0.2608651,-0.1892912,0.0715739
18,-0.87622184,-0.75537795,"('disagreeable', 'welcoming')",-0.8762218,-0.7553779,0.1208439
19,-1.3692968,-1.2674347,"('inhospitable', 'hospitable')",-1.3692968,-1.2674347,0.1018621
20,1.0115594,0.9821218,"('rough', 'thoughtful')",1.0115594,0.9821218,-0.0294376
21,1.2006485,1.1268288,"('immoral', 'moral')",1.2006485,1.1268288,-0.0738197
22,0.53476703,0.40947926,"('untrustworthy', 'trustworthy')",0.534767,0.4094793,-0.1252877
23,6.5967536,6.559709,"('insincere', 'sincere')",6.5967536,6.5597091,-0.0370445
24,2.1507308,2.0248065,"('dishonest', 'honest')",2.1507308,2.0248065,-0.1259243
25,-0.19856411,-0.121587865,"('egoistic', 'altruistic')",-0.1985641,-0.1215879,0.0769762
26,0.3697462,0.32724842,"('hardhearted', 'benevolent')",0.3697462,0.3272484,-0.0424978
27,1.5137275,1.4343674,"('hardhearted', 'softhearted')",1.5137275,1.4343674,-0.0793601
