,lilly_male,lilly_female,tuple,eli_male,eli_female,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,-1.3806704,-1.5823977,"('unsociable', 'sociable')",-0.29439762,-0.43252438,0.1167873,0.09491036,-0.49064246,-0.57116014,-0.5122308,-0.622793,-0.1105622
1,1.7137158,1.6930431,"('unfriendly', 'friendly')",1.5030255,1.528956,0.70080864,0.72097003,1.2791253,1.0139061,1.2991688,1.2392188,-0.05995
2,0.6360614,0.6467602,"('unlikable', 'likable')",0.55221975,0.5646621,1.66943,1.7409295,0.92507136,1.0361328,0.9456956,0.9971212,0.0514256
3,-2.2715354,-2.2344806,"('repellent', 'pleasant')",-1.7263474,-1.6897757,-1.18459,-1.0970857,0.4158866,0.4155247,-1.1916466,-1.1514544,0.0401922
4,0.49636564,0.549346,"('disliked', 'liked')",0.40777504,0.38678485,0.75034887,0.7143859,-5.4014525,-5.0496755,-0.9367408,-0.8497897,0.0869511
5,3.2686832,3.4471262,"('distant', 'outgoing')",1.6272104,1.7604458,0.47371954,0.5656992,0.15591379,0.18186682,1.3813818,1.4887844,0.1074026
6,2.891518,3.1316218,"('distant', 'open')",2.0133371,2.169466,0.6698493,0.79455334,0.3065904,0.29165477,1.4703238,1.5968239,0.1265001
7,-0.41770014,-0.37619528,"('insensitive', 'sensitive')",-0.43038723,-0.3772415,-0.8179599,-0.7057727,-0.34741238,-0.34979725,-0.5033649,-0.4522517,0.0511132
8,1.0077807,1.0775753,"('unaffectionate', 'affectionate')",1.2021918,1.2570765,0.9554594,0.89145124,0.9012573,0.6941117,1.0166723,0.9800538,-0.0366185
9,1.8864781,2.017029,"('unaffectionate', 'caring')",1.8202077,1.8618453,0.8062597,0.82696456,1.3393209,1.1714041,1.4630666,1.4693108,0.0062442
10,-1.5673034,-1.6099453,"('unsympathetic', 'sympathetic')",-1.078294,-1.1506325,-0.95957184,-0.96986043,-0.39695492,-0.42256993,-1.0005311,-1.038252,-0.0377209
11,-0.39045691,-0.5162198,"('unhelpful', 'helpful')",-0.2246092,-0.27616405,-1.0809125,-1.0589743,1.7901115,1.7254633,0.0235332,-0.0314737,-0.0550069
12,0.7734115,0.86513716,"('unsupportive', 'supportive')",1.456083,1.5400453,0.9142009,1.0247169,-1.7222168,-1.6042967,0.3553696,0.4564006,0.101031
13,-1.0885006,-1.2492645,"('impolite', 'polite')",-0.75612915,-0.82448643,-0.93056375,-0.89777184,-0.769187,-0.723972,-0.8860951,-0.9238737,-0.0377786
