,legislation_male,legislation_female,tuple,average_male,average_female,female-male
0,1.0117253,0.9811833,"('unsociable', 'sociable')",1.0117253,0.9811833,-0.030542
1,0.24072996,0.12764701,"('unfriendly', 'friendly')",0.24073,0.127647,-0.113083
2,0.1274119,0.01177413,"('unlikable', 'likable')",0.1274119,0.0117741,-0.1156378
3,0.72738445,0.837232,"('repellent', 'pleasant')",0.7273844,0.837232,0.1098476
4,-6.828398,-6.9809833,"('disliked', 'liked')",-6.8283982,-6.9809833,-0.1525851
5,-1.824153,-1.9055195,"('distant', 'outgoing')",-1.8241529,-1.9055195,-0.0813666
6,-1.4039696,-1.4738189,"('distant', 'open')",-1.4039696,-1.4738189,-0.0698493
7,2.5312374,2.485247,"('insensitive', 'sensitive')",2.5312374,2.4852469,-0.0459905
8,0.28043061,0.19795322,"('unaffectionate', 'affectionate')",0.2804306,0.1979532,-0.0824774
9,1.1366967,1.1268888,"('unaffectionate', 'caring')",1.1366967,1.1268888,-0.0098079
10,1.5326636,1.6687865,"('unsympathetic', 'sympathetic')",1.5326636,1.6687865,0.1361229
11,2.3365574,2.3271275,"('unhelpful', 'helpful')",2.3365574,2.3271275,-0.0094299
12,-0.49809185,-0.6222282,"('unsupportive', 'supportive')",-0.4980918,-0.6222282,-0.1241364
13,0.50318545,0.5282688,"('impolite', 'polite')",0.5031855,0.5282688,0.0250833
14,1.6079524,1.6138443,"('antisocial', 'social')",1.6079524,1.6138443,0.0058919
15,0.12146378,-0.027162392,"('boring', 'funny')",0.1214638,-0.0271624,-0.1486262
16,-0.9985393,-0.97079104,"('unpopular', 'popular')",-0.9985393,-0.970791,0.0277483
17,-0.31896004,-0.332155,"('nasty', 'nice')",-0.31896,-0.332155,-0.013195
18,-1.0087388,-1.0582274,"('disagreeable', 'welcoming')",-1.0087388,-1.0582274,-0.0494886
19,-1.1091136,-1.184156,"('inhospitable', 'hospitable')",-1.1091136,-1.1841559,-0.0750423
20,1.1538825,1.1028244,"('rough', 'thoughtful')",1.1538825,1.1028244,-0.0510581
21,0.8796338,0.9374246,"('immoral', 'moral')",0.8796338,0.9374246,0.0577908
22,0.69566005,0.57356364,"('untrustworthy', 'trustworthy')",0.6956601,0.5735636,-0.1220965
23,6.394146,6.426631,"('insincere', 'sincere')",6.394146,6.426631,0.032485
24,1.4794681,1.4278351,"('dishonest', 'honest')",1.4794681,1.4278351,-0.051633
25,0.103098616,-0.0012013912,"('egoistic', 'altruistic')",0.1030986,-0.0012014,-0.1043
26,1.5288476,1.4136971,"('hardhearted', 'benevolent')",1.5288476,1.4136971,-0.1151505
27,0.79729706,0.7282977,"('hardhearted', 'softhearted')",0.7972971,0.7282977,-0.0689994
28,1.5486244,1.4407042,"('disloyal', 'loyal')",1.5486244,1.4407042,-0.1079202
29,-0.3409471,-0.46481955,"('unfair', 'fair')",-0.3409471,-0.4648196,-0.1238725
30,1.9804143,2.0018814,"('intolerant', 'tolerant')",1.9804143,2.0018814,0.0214671
31,-2.8065789,-2.808232,"('evil', 'good')",-2.8065789,-2.8082321,-0.0016532
32,1.5771589,1.5988462,"('unkind', 'kind')",1.5771589,1.5988462,0.0216873
33,-0.51363575,-0.6682943,"('wrong', 'right')",-0.5136358,-0.6682943,-0.1546585
34,4.3106723,4.4841385,"('mean', 'honorable')",4.3106723,4.4841385,0.1734662
35,-1.6055114,-1.7516375,"('corrupt', 'incorrupt')",-1.6055114,-1.7516375,-0.1461261
36,-2.1164198,-2.2364664,"('hostile', 'amicable')",-2.1164198,-2.2364664,-0.1200466
37,0.7407144,0.71400005,"('fake', 'genuine')",0.7407144,0.714,-0.0267144
38,0.23078331,0.09503414,"('untruthful', 'truthful')",0.2307833,0.0950341,-0.1357492
39,0.84475005,0.87197495,"('exploitative', 'cooperative')",0.84475,0.8719749,0.0272249
40,-1.6665459,-1.7255551,"('stingy', 'generous')",-1.6665459,-1.7255551,-0.0590092
41,-0.037243027,-0.067377575,"('unforgiving', 'forgiving')",-0.037243,-0.0673776,-0.0301346
42,-1.5009484,-1.5452064,"('unreliable', 'reliable')",-1.5009484,-1.5452064,-0.044258
43,2.1467786,2.0809598,"('irresponsible', 'responsible')",2.1467786,2.0809598,-0.0658188
44,-1.7934912,-1.7569872,"('prejudiced', 'unprejudiced')",-1.7934912,-1.7569872,0.036504
45,1.0058877,0.9521755,"('incompetent', 'competent')",1.0058877,0.9521755,-0.0537122
46,0.51829964,0.6257666,"('uncompetitive', 'competitive')",0.5182996,0.6257666,0.107467
47,5.308549,5.4453735,"('stupid', 'smart')",5.3085489,5.4453735,0.1368246
48,0.53942955,0.6301852,"('unintelligent', 'intelligent')",0.5394295,0.6301852,0.0907557
49,0.050257757,0.17030334,"('unable', 'able')",0.0502578,0.1703033,0.1200455
50,-1.0316031,-1.1536728,"('clumsy', 'skillful')",-1.0316031,-1.1536728,-0.1220697
51,1.1310716,1.179225,"('uneducated', 'educated')",1.1310716,1.179225,0.0481534
52,-1.8590355,-1.9875956,"('irrational', 'rational')",-1.8590355,-1.9875956,-0.1285601
53,0.1766873,0.12891923,"('uncreative', 'creative')",0.1766873,0.1289192,-0.0477681
54,1.1114503,1.1490967,"('incapable', 'capable')",1.1114503,1.1490967,0.0376464
55,1.7396728,1.7918909,"('incompetent', 'clever')",1.7396728,1.7918909,0.0522181
56,2.349998,2.3092768,"('impractical', 'practical')",2.349998,2.3092768,-0.0407212
57,-1.4085776,-1.4149395,"('unimaginative', 'imaginative')",-1.4085776,-1.4149395,-0.0063619
58,0.8689513,0.7674576,"('undiscriminating', 'discriminating')",0.8689513,0.7674576,-0.1014937
59,-0.5000811,-0.7151515,"('foolish', 'wise')",-0.5000811,-0.7151515,-0.2150704
60,1.8201729,1.9263593,"('inefficient', 'efficient')",1.8201729,1.9263593,0.1061864
61,0.57328284,0.49438182,"('illogical', 'logical')",0.5732828,0.4943818,-0.078901
62,1.581727,1.6325316,"('incompetent', 'brilliant')",1.581727,1.6325316,0.0508046
63,1.1745198,1.1596044,"('unperceptive', 'insightful')",1.1745198,1.1596044,-0.0149154
64,-4.9194803,-5.060745,"('shy', 'confident')",-4.9194803,-5.0607448,-0.1412645
65,1.0643206,1.0519898,"('insecure', 'secure')",1.0643206,1.0519898,-0.0123308
66,0.7448876,0.59847593,"('inactive', 'active')",0.7448876,0.5984759,-0.1464117
67,0.2097524,0.18442616,"('doubtful', 'determined')",0.2097524,0.1844262,-0.0253262
68,-0.43661177,-0.4408095,"('dependent', 'independent')",-0.4366118,-0.4408095,-0.0041977
69,-2.08783,-2.2426114,"('lazy', 'industrious')",-2.0878301,-2.2426114,-0.1547813
70,2.3800528,2.466569,"('lethargic', 'energetic')",2.3800528,2.4665689,0.0865161
71,0.29457766,0.30040526,"('diffident', 'self-confident')",0.2945777,0.3004053,0.0058276
72,0.97885925,0.9825623,"('unambitious', 'ambitious')",0.9788592,0.9825623,0.0037031
73,-3.3008983,-3.3432968,"('helpless', 'self-reliant')",-3.3008983,-3.3432968,-0.0423985
74,0.616251,0.56856394,"('undedicated', 'dedicated')",0.616251,0.5685639,-0.0476871
75,-0.8327423,-0.8603927,"('meek', 'impulsive')",-0.8327423,-0.8603927,-0.0276504
76,0.90514106,1.0311985,"('anxious', 'daring')",0.9051411,1.0311985,0.1260574
77,0.14499517,0.2302622,"('unmotivated', 'motivated')",0.1449952,0.2302622,0.085267
78,-0.40517718,-0.37850016,"('nonresilient', 'resilient')",-0.4051772,-0.3785002,0.026677
79,-0.74559087,-0.834008,"('wavering', 'unwavering')",-0.7455909,-0.834008,-0.0884171
80,1.3500615,1.3696458,"('dominated', 'dominating')",1.3500615,1.3696458,0.0195843
81,1.3748162,1.5119299,"('submissive', 'aggressive')",1.3748162,1.5119299,0.1371137
82,5.271587,5.4941707,"('poor', 'rich')",5.2715869,5.4941707,0.2225838
83,-0.07847108,-0.1057549,"('powerless', 'powerful')",-0.0784711,-0.1057549,-0.0272838
84,0.022822913,-0.028592713,"('inferior', 'superior')",0.0228229,-0.0285927,-0.0514156
85,-1.7509396,-1.8955684,"('insignificant', 'prestigious')",-1.7509396,-1.8955684,-0.1446288
86,1.6731876,1.643315,"('uninfluential', 'influential')",1.6731876,1.643315,-0.0298726
87,-0.11524506,-0.09309254,"('unsuccessful', 'successful')",-0.1152451,-0.0930925,0.0221526
88,0.81705225,0.78221476,"('low', 'eminent')",0.8170522,0.7822148,-0.0348374
