,alpha_male,alpha_female,tuple,natural_male,natural_female,resources_male,resources_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.5442717,-0.5633508,"('unsociable', 'sociable')",0.10036495,-0.00588011,0.37770334,0.23069626,-0.9375659,-1.0683872,-0.2509423,-0.3517305,-0.1007882
1,-0.84008443,-0.70675576,"('unfriendly', 'friendly')",-0.49958447,-0.54454905,0.45929733,0.21022959,2.0038216,1.9044957,0.2808625,0.2158551,-0.0650074
2,0.20843105,0.2937398,"('unlikable', 'likable')",0.46180043,0.5153739,1.0736654,1.0505457,0.6874868,0.7945293,0.6078459,0.6635472,0.0557013
3,0.39636514,0.51825434,"('repellent', 'pleasant')",-0.48250282,-0.5031905,1.020495,1.1313139,0.23341304,0.28160098,0.2919426,0.3569947,0.0650521
4,-1.5612316,-1.5519383,"('disliked', 'liked')",0.28533223,0.31070733,0.12270096,0.12956102,-5.931086,-5.9066305,-1.7710712,-1.7545751,0.0164961
5,-0.65237784,-0.54780406,"('distant', 'outgoing')",-0.034852833,0.08328159,-0.55135494,-0.5704355,0.099628516,0.1853781,-0.2847393,-0.212395,0.0723443
6,-0.4711322,-0.3174969,"('distant', 'open')",-0.38345668,-0.29686576,-1.0701175,-1.1241665,0.4466623,0.5332494,-0.369511,-0.30132,0.068191
7,0.72934544,0.7927786,"('insensitive', 'sensitive')",0.77055496,0.77119935,0.98183054,0.9752765,0.8536504,0.9005685,0.8338453,0.8599557,0.0261104
8,-0.2487657,-0.16875276,"('unaffectionate', 'affectionate')",-0.53428715,-0.54833823,-1.0587852,-1.160926,0.8933826,0.85967577,-0.2371139,-0.2545853,-0.0174714
9,0.23418233,0.33889264,"('unaffectionate', 'caring')",0.20105264,0.19856648,0.39827287,0.33449024,1.3084706,1.3370461,0.5354946,0.5522489,0.0167543
10,1.2591838,1.2880105,"('unsympathetic', 'sympathetic')",-0.6185643,-0.73221713,-0.117157236,-0.18665883,-0.62826365,-0.6552961,-0.0262004,-0.0715404,-0.04534
11,0.2817607,0.3938585,"('unhelpful', 'helpful')",0.75308716,0.77363414,0.9154025,0.94575524,1.6122675,1.731737,0.8906295,0.9612463,0.0706168
12,1.2207346,1.4272974,"('unsupportive', 'supportive')",0.6373856,0.69737124,0.9599967,0.99359685,-1.6457683,-1.5864642,0.2930872,0.3829503,0.0898631
13,-0.63515717,-0.74064183,"('impolite', 'polite')",-0.0826954,-0.14118226,0.23884466,0.1691486,-0.58025944,-0.67569363,-0.2648169,-0.3470923,-0.0822754
14,-0.5367375,-0.5489112,"('antisocial', 'social')",0.17256878,0.20558274,0.77318156,0.8261202,-0.8217332,-0.84235525,-0.1031801,-0.0898909,0.0132892
15,-0.34718338,-0.40962252,"('boring', 'funny')",0.9049554,0.89990705,-0.5560769,-0.5915799,0.6040515,0.61354107,0.1514367,0.1280614,-0.0233753
16,-1.9198215,-1.8386413,"('unpopular', 'popular')",0.6504501,0.64555746,0.4141936,0.4565711,0.4575548,0.49195877,-0.0994057,-0.0611385,0.0382672
17,-0.43054014,-0.32356304,"('nasty', 'nice')",-0.03152889,0.018937247,0.22868723,0.36557212,-0.27080056,-0.15717733,-0.1260456,-0.0240577,0.1019879
18,-0.3117748,-0.24757585,"('disagreeable', 'welcoming')",-0.13988413,-0.1156003,-0.26277423,-0.2743173,-0.2438753,-0.22068578,-0.2395771,-0.2145448,0.0250323
19,-1.1784681,-1.1151168,"('inhospitable', 'hospitable')",-1.019407,-0.8870462,-1.6287946,-1.6531117,0.23667677,0.31995013,-0.8974983,-0.8338311,0.0636672
20,0.2778004,0.261029,"('rough', 'thoughtful')",-0.3725093,-0.32122016,-0.3075899,-0.22727439,0.7197523,0.7113686,0.0793634,0.1059758,0.0266124
21,0.73739135,0.70307374,"('immoral', 'moral')",1.195106,1.161479,1.1972476,1.2211316,-0.5888336,-0.5208936,0.6352279,0.6411977,0.0059698
22,-0.67994964,-0.5592704,"('untrustworthy', 'trustworthy')",0.14665863,0.13112149,0.11886123,0.042923156,-0.88558507,-0.8391354,-0.3250037,-0.3060903,0.0189134
23,0.5845703,0.6415182,"('insincere', 'sincere')",0.8541646,0.7804803,1.3594121,1.2175151,5.6336803,5.6306386,2.1079569,2.067538,-0.0404189
24,1.3133005,1.4007032,"('dishonest', 'honest')",0.07667432,0.07131107,0.27509105,0.16442743,0.8212107,0.80309945,0.6215692,0.6098853,-0.0116839
25,-0.9473383,-0.9720614,"('egoistic', 'altruistic')",0.37582645,0.4141028,1.0950418,1.0784348,1.872531,1.8020487,0.5990152,0.5806313,-0.0183839
26,0.24526316,0.18838821,"('hardhearted', 'benevolent')",0.7423989,0.6936156,0.45552433,0.27732536,1.4381025,1.3238183,0.7203223,0.6207869,-0.0995354
27,1.2056918,1.321431,"('hardhearted', 'softhearted')",-1.1183237,-1.047844,-0.09111317,-0.10308334,1.8019445,1.6915543,0.4495499,0.4655145,0.0159646
28,0.20839539,0.15042932,"('disloyal', 'loyal')",0.45581356,0.35371894,0.29211804,0.14806789,0.7738816,0.7112492,0.4325522,0.3408663,-0.0916859
