,shopping_male,shopping_female,tuple,average_male,average_female,female-male
0,0.47645536,0.29013506,"('unsociable', 'sociable')",0.4764554,0.2901351,-0.1863203
1,1.8030499,1.8330404,"('unfriendly', 'friendly')",1.8030499,1.8330404,0.0299905
2,-0.1889469,-0.108761035,"('unlikable', 'likable')",-0.1889469,-0.108761,0.0801859
3,0.21882689,0.20531757,"('repellent', 'pleasant')",0.2188269,0.2053176,-0.0135093
4,-7.3860974,-7.350782,"('disliked', 'liked')",-7.3860974,-7.3507819,0.0353155
5,0.29835814,0.3444494,"('distant', 'outgoing')",0.2983581,0.3444494,0.0460913
6,0.6051825,0.64133,"('distant', 'open')",0.6051825,0.64133,0.0361475
7,1.1099414,1.0935705,"('insensitive', 'sensitive')",1.1099414,1.0935705,-0.0163709
8,1.2541752,1.24852,"('unaffectionate', 'affectionate')",1.2541752,1.24852,-0.0056552
9,2.433244,2.4221106,"('unaffectionate', 'caring')",2.433244,2.4221106,-0.0111334
10,0.7177288,0.6634016,"('unsympathetic', 'sympathetic')",0.7177288,0.6634016,-0.0543272
11,2.557271,2.5303774,"('unhelpful', 'helpful')",2.557271,2.5303774,-0.0268936
12,-1.2309211,-1.2484742,"('unsupportive', 'supportive')",-1.2309211,-1.2484742,-0.0175531
13,0.12800173,-0.036246732,"('impolite', 'polite')",0.1280017,-0.0362467,-0.1642484
14,0.21194501,0.11825393,"('antisocial', 'social')",0.211945,0.1182539,-0.0936911
15,0.23274766,0.19325155,"('boring', 'funny')",0.2327477,0.1932516,-0.0394961
16,-0.22192323,-0.16620362,"('unpopular', 'popular')",-0.2219232,-0.1662036,0.0557196
17,0.027545359,0.06457961,"('nasty', 'nice')",0.0275454,0.0645796,0.0370342
18,-0.61651903,-0.65178,"('disagreeable', 'welcoming')",-0.616519,-0.65178,-0.035261
19,-0.06385002,-0.030577168,"('inhospitable', 'hospitable')",-0.06385,-0.0305772,0.0332728
20,0.6884177,0.68437016,"('rough', 'thoughtful')",0.6884177,0.6843702,-0.0040475
21,-0.2777925,-0.24710232,"('immoral', 'moral')",-0.2777925,-0.2471023,0.0306902
22,-0.5485517,-0.5929966,"('untrustworthy', 'trustworthy')",-0.5485517,-0.5929966,-0.0444449
23,7.0427527,7.005961,"('insincere', 'sincere')",7.0427527,7.0059609,-0.0367918
24,1.7281741,1.635137,"('dishonest', 'honest')",1.7281741,1.635137,-0.0930371
25,0.55770236,0.5792079,"('egoistic', 'altruistic')",0.5577024,0.5792079,0.0215055
26,1.3036867,1.2970083,"('hardhearted', 'benevolent')",1.3036867,1.2970083,-0.0066784
27,1.780532,1.647021,"('hardhearted', 'softhearted')",1.780532,1.6470211,-0.1335109
28,1.6039151,1.5762746,"('disloyal', 'loyal')",1.6039151,1.5762746,-0.0276405
29,-0.31244156,-0.42509598,"('unfair', 'fair')",-0.3124416,-0.425096,-0.1126544
30,1.5023037,1.4460425,"('intolerant', 'tolerant')",1.5023037,1.4460425,-0.0562612
31,-1.3189528,-1.2258577,"('evil', 'good')",-1.3189528,-1.2258577,0.0930951
32,1.3538241,1.3136982,"('unkind', 'kind')",1.3538241,1.3136982,-0.0401259
33,0.007477168,-0.06486546,"('wrong', 'right')",0.0074772,-0.0648655,-0.0723427
34,5.1976576,5.298391,"('mean', 'honorable')",5.1976576,5.2983909,0.1007333
35,-0.6990352,-0.78901607,"('corrupt', 'incorrupt')",-0.6990352,-0.7890161,-0.0899809
36,-0.35038173,-0.34641013,"('hostile', 'amicable')",-0.3503817,-0.3464101,0.0039716
37,0.5425794,0.51714885,"('fake', 'genuine')",0.5425794,0.5171489,-0.0254305
38,0.82838684,0.8160148,"('untruthful', 'truthful')",0.8283868,0.8160148,-0.012372
39,0.79847336,0.728646,"('exploitative', 'cooperative')",0.7984734,0.728646,-0.0698274
40,-2.0498104,-2.1452513,"('stingy', 'generous')",-2.0498104,-2.1452513,-0.0954409
41,0.40064508,0.3670684,"('unforgiving', 'forgiving')",0.4006451,0.3670684,-0.0335767
42,-2.8072505,-2.7520814,"('unreliable', 'reliable')",-2.8072505,-2.7520814,0.0551691
43,1.6061755,1.5888866,"('irresponsible', 'responsible')",1.6061755,1.5888866,-0.0172889
44,-1.3354883,-1.3082865,"('prejudiced', 'unprejudiced')",-1.3354883,-1.3082865,0.0272018
45,0.09592125,0.08032713,"('incompetent', 'competent')",0.0959212,0.0803271,-0.0155941
46,-0.8716757,-0.93932575,"('uncompetitive', 'competitive')",-0.8716757,-0.9393257,-0.06765
47,5.9454355,6.011174,"('stupid', 'smart')",5.9454355,6.0111742,0.0657387
48,0.53184414,0.43855047,"('unintelligent', 'intelligent')",0.5318441,0.4385505,-0.0932936
49,0.011784419,0.025095806,"('unable', 'able')",0.0117844,0.0250958,0.0133114
50,-0.33929148,-0.3300117,"('clumsy', 'skillful')",-0.3392915,-0.3300117,0.0092798
51,0.38652152,0.24375321,"('uneducated', 'educated')",0.3865215,0.2437532,-0.1427683
52,-0.07869531,-0.11963278,"('irrational', 'rational')",-0.0786953,-0.1196328,-0.0409375
53,0.22157879,0.2572364,"('uncreative', 'creative')",0.2215788,0.2572364,0.0356576
54,1.4733013,1.5080421,"('incapable', 'capable')",1.4733013,1.5080421,0.0347408
55,0.2504481,0.21570168,"('incompetent', 'clever')",0.2504481,0.2157017,-0.0347464
56,1.0832635,1.0936687,"('impractical', 'practical')",1.0832635,1.0936687,0.0104052
57,-2.990478,-2.9930701,"('unimaginative', 'imaginative')",-2.990478,-2.9930701,-0.0025921
58,0.13741794,0.16717127,"('undiscriminating', 'discriminating')",0.1374179,0.1671713,0.0297534
59,0.3316849,0.2961234,"('foolish', 'wise')",0.3316849,0.2961234,-0.0355615
60,0.7266295,0.72888464,"('inefficient', 'efficient')",0.7266295,0.7288846,0.0022551
61,0.9806633,0.8298458,"('illogical', 'logical')",0.9806633,0.8298458,-0.1508175
62,0.4936442,0.5251193,"('incompetent', 'brilliant')",0.4936442,0.5251193,0.0314751
63,0.45847344,0.4797611,"('unperceptive', 'insightful')",0.4584734,0.4797611,0.0212877
64,-7.079257,-7.050506,"('shy', 'confident')",-7.079257,-7.0505061,0.0287509
65,-0.092636116,-0.14566508,"('insecure', 'secure')",-0.0926361,-0.1456651,-0.053029
66,-0.23841822,-0.3061748,"('inactive', 'active')",-0.2384182,-0.3061748,-0.0677566
67,-0.048965074,-0.014544578,"('doubtful', 'determined')",-0.0489651,-0.0145446,0.0344205
