,duke_male,duke_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.57366663,-0.6692086,"('unsociable', 'sociable')",-0.2946243,-0.4001954,-0.26395035,-0.35734802,-0.3774137,-0.475584,-0.0981703
1,0.5891028,0.5200835,"('unfriendly', 'friendly')",0.6052839,0.37368485,0.9936104,0.84434897,0.7293324,0.5793724,-0.14996
2,0.9333496,1.0046328,"('unlikable', 'likable')",1.0817091,1.0171901,0.6852757,0.6968744,0.9001115,0.9062324,0.0061209
3,-0.37661391,-0.2431186,"('repellent', 'pleasant')",-0.46452823,-0.4375373,0.8033714,0.83811164,-0.0125902,0.0524852,0.0650754
4,0.06839138,-0.008769872,"('disliked', 'liked')",0.70132947,0.51575196,-6.36635,-6.5422244,-1.865543,-2.0117474,-0.1462044
5,0.09241873,0.046319894,"('distant', 'outgoing')",0.4253431,0.29293266,-1.0598038,-1.1238773,-0.1806807,-0.2615416,-0.0808609
6,-0.31330675,-0.3677594,"('distant', 'open')",0.052304506,-0.16727881,-0.9389445,-1.0577283,-0.3999823,-0.5309222,-0.1309399
7,-0.072853,-0.09968421,"('insensitive', 'sensitive')",0.40470684,0.43275714,0.4166485,0.466913,0.2495008,0.266662,0.0171612
8,0.4292605,0.3399118,"('unaffectionate', 'affectionate')",-0.4196261,-0.6104694,0.12063486,0.026144898,0.0434231,-0.0814709,-0.124894
9,0.6490913,0.5604527,"('unaffectionate', 'caring')",0.13810939,-0.0024533616,0.68366593,0.6220896,0.4902889,0.393363,-0.0969259
10,-0.48801637,-0.57347363,"('unsympathetic', 'sympathetic')",-0.99952036,-1.0709668,-0.6558329,-0.64809424,-0.7144566,-0.7641782,-0.0497216
11,-0.53368556,-0.5356382,"('unhelpful', 'helpful')",-0.16550636,-0.07331296,1.7351415,1.8336242,0.3453165,0.4082243,0.0629078
12,1.7129722,1.7095379,"('unsupportive', 'supportive')",0.45449585,0.4337539,-1.8150092,-1.8140944,0.1174863,0.1097324,-0.0077539
13,-0.13414964,-0.12574056,"('impolite', 'polite')",-0.353293,-0.18816935,-0.76068217,-0.72969514,-0.4160416,-0.3478684,0.0681732
14,0.42260665,0.34285015,"('antisocial', 'social')",0.5071782,0.5210291,0.07246923,0.009524641,0.3340847,0.2911346,-0.0429501
15,0.1985755,0.10679701,"('boring', 'funny')",0.13768795,0.04272129,-0.31592986,-0.35117635,0.0067779,-0.0672194,-0.0739973
16,-1.3795474,-1.3721129,"('unpopular', 'popular')",0.03709785,-0.051634163,0.19745022,0.08980304,-0.3816664,-0.444648,-0.0629816
17,-0.5623455,-0.58364165,"('nasty', 'nice')",-0.84748715,-0.78165317,-0.93512654,-0.8775294,-0.7816531,-0.747608,0.0340451
18,0.17076619,0.19456273,"('disagreeable', 'welcoming')",-0.888968,-0.9793787,-0.8838557,-0.943736,-0.5340192,-0.576184,-0.0421648
19,0.18356729,0.16830072,"('inhospitable', 'hospitable')",-0.7537116,-0.8552089,-0.99038184,-0.95571893,-0.5201754,-0.5475423,-0.0273669
20,-0.26154965,-0.22853632,"('rough', 'thoughtful')",0.10205379,0.1761322,0.50498354,0.5496957,0.1151626,0.1657639,0.0506013
21,0.28851378,0.3369291,"('immoral', 'moral')",0.73372555,0.7017685,-0.5193875,-0.42156804,0.1676173,0.2057099,0.0380926
22,-0.044830423,-0.12232396,"('untrustworthy', 'trustworthy')",-0.8504164,-0.9385642,-0.718341,-0.72953296,-0.5378626,-0.596807,-0.0589444
23,-0.5169389,-0.566623,"('insincere', 'sincere')",-0.6468874,-0.68401366,5.245824,5.2380786,1.3606658,1.3291473,-0.0315185
