,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.08120621,-0.2508117,"('unsociable', 'sociable')",-0.13179463,-0.3263262,-0.0252942,-0.2885689,-0.2632747
1,-1.2307299,-0.9420611,"('unfriendly', 'friendly')",0.9989416,0.91988605,-0.1158942,-0.0110875,0.1048067
2,-0.0055731665,-0.028752651,"('unlikable', 'likable')",0.54395777,0.48880467,0.2691923,0.230026,-0.0391663
3,0.07596887,0.15959683,"('repellent', 'pleasant')",0.9688799,0.9354792,0.5224244,0.547538,0.0251136
4,0.23269561,0.4678678,"('disliked', 'liked')",-6.962533,-7.097384,-3.3649187,-3.3147581,0.0501606
5,-1.1832696,-0.5965042,"('distant', 'outgoing')",-0.8273643,-0.5837866,-1.005317,-0.5901454,0.4151716
6,-1.738318,-1.0466883,"('distant', 'open')",-0.88380677,-0.60654134,-1.3110623,-0.8266149,0.4844474
7,-0.21093616,-0.27342865,"('insensitive', 'sensitive')",0.069354594,0.21907756,-0.0707908,-0.0271755,0.0436153
8,-0.64867425,-0.52526224,"('unaffectionate', 'affectionate')",0.46715003,0.48935574,-0.0907621,-0.0179532,0.0728089
9,-0.6932024,-0.4734133,"('unaffectionate', 'caring')",1.0324875,1.2421097,0.1696426,0.3843482,0.2147056
10,-0.30714098,-0.6809394,"('unsympathetic', 'sympathetic')",0.029679127,0.053162254,-0.1387309,-0.3138885,-0.1751576
11,0.4115705,0.17642772,"('unhelpful', 'helpful')",2.021967,2.1157227,1.2167687,1.1460752,-0.0706935
12,0.0029734261,0.089347415,"('unsupportive', 'supportive')",-2.2270923,-2.107883,-1.1120595,-1.0092678,0.1027917
13,-0.28593022,-0.71209854,"('impolite', 'polite')",-0.6231779,-0.6536148,-0.4545541,-0.6828567,-0.2283026
14,0.8254658,0.46484667,"('antisocial', 'social')",-0.016111333,-0.3216262,0.4046772,0.0716102,-0.333067
15,-0.28922784,-0.3054968,"('boring', 'funny')",-0.043103322,-0.08644408,-0.1661656,-0.1959704,-0.0298048
16,-0.84464675,-0.72035605,"('unpopular', 'popular')",0.35595134,0.31432834,-0.2443477,-0.2030139,0.0413338
17,-0.057761937,-0.124589995,"('nasty', 'nice')",-0.4389912,-0.40155247,-0.2483766,-0.2630712,-0.0146946
18,-0.76463264,-0.7538036,"('disagreeable', 'welcoming')",-0.855649,-0.94683784,-0.8101408,-0.8503207,-0.0401799
19,-1.1252964,-0.81780684,"('inhospitable', 'hospitable')",-0.7023614,-0.45524505,-0.9138288,-0.6365259,0.2773029
20,0.36594155,0.18040533,"('rough', 'thoughtful')",0.9358995,0.84098935,0.6509205,0.5106974,-0.1402231
21,0.6845198,0.24659769,"('immoral', 'moral')",-0.10355535,-0.16455306,0.2904822,0.0410223,-0.2494599
22,0.06624181,-0.11605979,"('untrustworthy', 'trustworthy')",-1.0115209,-0.97784793,-0.4726395,-0.5469539,-0.0743144
23,-0.2676908,-0.55288947,"('insincere', 'sincere')",6.058487,6.1577187,2.8953981,2.8024147,-0.0929834
24,-0.27139342,-0.3760084,"('dishonest', 'honest')",0.59601533,0.7633705,0.162311,0.1936811,0.0313701
25,-0.35107496,-0.10861723,"('egoistic', 'altruistic')",0.74715847,0.6578788,0.1980418,0.2746308,0.076589
26,-0.68746924,-0.80162996,"('hardhearted', 'benevolent')",1.1634159,0.801224,0.2379733,-0.000203,-0.2381763
27,-0.76166093,-0.6784946,"('hardhearted', 'softhearted')",0.9777194,0.9518721,0.1080292,0.1366888,0.0286596
28,0.5363099,0.39832452,"('disloyal', 'loyal')",1.4496233,1.418834,0.9929667,0.9085792,-0.0843875
29,-0.54904276,-0.46747872,"('unfair', 'fair')",-0.52307373,-0.6244229,-0.5360582,-0.5459508,-0.0098926
30,1.1283227,0.8354064,"('intolerant', 'tolerant')",1.0534701,0.9508507,1.0908964,0.8931286,-0.1977678
31,-1.1028433,-0.5644848,"('evil', 'good')",-1.3389986,-1.2867175,-1.2209209,-0.9256011,0.2953198
32,-0.2726174,-0.6533334,"('unkind', 'kind')",0.7671988,0.48640823,0.2472907,-0.0834626,-0.3307533
33,-0.13114339,0.08807241,"('wrong', 'right')",-1.1467638,-1.0503367,-0.6389536,-0.4811321,0.1578215
34,-0.41764224,-0.33848327,"('mean', 'honorable')",5.950048,6.163398,2.7662029,2.9124572,0.1462543
35,-1.0823342,-0.81556845,"('corrupt', 'incorrupt')",-0.82380307,-0.7198725,-0.9530686,-0.7677205,0.1853481
36,-1.3248407,-0.9017644,"('hostile', 'amicable')",-0.3734877,-0.37787896,-0.8491642,-0.6398216,0.2093426
37,-0.1266271,-0.2498438,"('fake', 'genuine')",0.18182883,0.3271708,0.0276009,0.0386635,0.0110626
38,-0.15181088,-0.12825117,"('untruthful', 'truthful')",0.013042878,0.21723986,-0.069384,0.0444943,0.1138783
39,0.7153669,0.5991343,"('exploitative', 'cooperative')",-0.081077985,-0.1163945,0.3171445,0.2413699,-0.0757746
40,-0.14374839,-0.051515505,"('stingy', 'generous')",-2.2356942,-2.2038174,-1.1897212,-1.1276665,0.0620547
41,-0.0020095054,-0.124150075,"('unforgiving', 'forgiving')",-0.00040944293,-0.17551051,-0.0012095,-0.1498303,-0.1486208
42,0.18974398,0.09108129,"('unreliable', 'reliable')",-3.1568825,-3.1587772,-1.4835693,-1.5338479,-0.0502786
43,-0.6815952,-0.834723,"('irresponsible', 'responsible')",0.41629285,0.36776197,-0.1326512,-0.2334805,-0.1008293
44,0.01287247,-0.038722657,"('prejudiced', 'unprejudiced')",-1.5699486,-1.7030171,-0.778538,-0.8708699,-0.0923319
45,-0.15966415,-0.34082454,"('incompetent', 'competent')",0.3420501,0.24934614,0.091193,-0.0457392,-0.1369322
46,-0.012192808,-0.27074948,"('uncompetitive', 'competitive')",-0.3378085,-0.39665374,-0.1750007,-0.3337016,-0.1587009
47,-0.060191795,-0.06867538,"('stupid', 'smart')",5.5735364,5.824105,2.7566724,2.8777146,0.1210422
48,0.5852118,0.26648962,"('unintelligent', 'intelligent')",0.9630859,0.9511773,0.7741488,0.6088334,-0.1653154
49,1.0276618,1.0473382,"('unable', 'able')",0.23668167,0.38975492,0.6321718,0.7185466,0.0863748
50,-0.16216089,-0.16508518,"('clumsy', 'skillful')",0.33264846,0.3553783,0.0852438,0.0951466,0.0099028
51,0.041161776,-0.25819921,"('uneducated', 'educated')",0.43962467,0.34912616,0.2403932,0.0454635,-0.1949297
52,-0.24214783,0.040607374,"('irrational', 'rational')",-0.11217838,-0.08626504,-0.1771631,-0.0228288,0.1543343
53,-1.0262392,-0.7841035,"('uncreative', 'creative')",0.28381562,0.29640254,-0.3712118,-0.2438505,0.1273613
54,-0.79324013,-0.7210448,"('incapable', 'capable')",0.679071,0.90619415,-0.0570846,0.0925747,0.1496593
55,0.84613854,0.40573838,"('incompetent', 'clever')",0.5789566,0.48647028,0.7125475,0.4461043,-0.2664432
56,0.5777278,0.25500095,"('impractical', 'practical')",-0.019661091,-0.026417036,0.2790334,0.114292,-0.1647414
57,-0.53470004,-0.6575514,"('unimaginative', 'imaginative')",-3.2010367,-3.3362112,-1.8678684,-1.9968812,-0.1290128
58,-0.7173621,-0.66781455,"('undiscriminating', 'discriminating')",0.19600718,0.14180665,-0.2606775,-0.2630039,-0.0023264
59,0.4674194,0.7951986,"('foolish', 'wise')",0.025376018,0.2154289,0.2463977,0.5053138,0.2589161
60,0.48347774,-0.060571562,"('inefficient', 'efficient')",0.38564122,0.39796782,0.4345595,0.1686981,-0.2658614
61,-0.19199131,-0.19504385,"('illogical', 'logical')",0.28964296,0.13756189,0.0488258,-0.028741,-0.0775668
62,1.0770993,0.8875549,"('incompetent', 'brilliant')",0.917442,1.1209263,0.9972707,1.0042405,0.0069698
63,-0.394191,-0.47821864,"('unperceptive', 'insightful')",0.73477453,0.8280409,0.1702918,0.1749111,0.0046193
64,0.10918858,-0.03028448,"('shy', 'confident')",-6.3576584,-6.4036865,-3.1242349,-3.2169855,-0.0927506
65,0.19318411,-0.3347046,"('insecure', 'secure')",-0.08023526,-0.1078317,0.0564744,-0.2212681,-0.2777425
66,-1.6989552,-1.4607058,"('inactive', 'active')",0.041824866,0.19899297,-0.8285652,-0.6308564,0.1977088
67,0.15714619,-0.06838702,"('doubtful', 'determined')",-0.5158433,-0.696697,-0.1793485,-0.382542,-0.2031935
68,-0.16078106,-0.27553815,"('dependent', 'independent')",-0.58642155,-0.53173304,-0.3736013,-0.4036356,-0.0300343
69,-0.660214,-0.14904413,"('lazy', 'industrious')",-1.0527662,-0.95597076,-0.8564901,-0.5525075,0.3039826
70,-0.4606869,-0.5467519,"('lethargic', 'energetic')",0.3062782,0.40821677,-0.0772043,-0.0692676,0.0079367
