,netflix_male,netflix_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.90864795,0.7988491,"('unsociable', 'sociable')",-0.25000358,-0.41420197,0.3293222,0.1923236,-0.1369986
1,1.4452899,1.3995097,"('unfriendly', 'friendly')",1.7673849,1.6502476,1.6063373,1.5248786,-0.0814587
2,-0.15186724,-0.18790407,"('unlikable', 'likable')",0.51494306,0.57263935,0.1815379,0.1923676,0.0108297
3,-0.34963962,-0.3064728,"('repellent', 'pleasant')",-0.014451731,0.04202401,-0.1820457,-0.1322244,0.0498213
4,-0.8774292,-0.9011099,"('disliked', 'liked')",-6.543499,-6.6021156,-3.710464,-3.7516127,-0.0411487
5,0.8918699,0.8637962,"('distant', 'outgoing')",-0.2623983,-0.30753863,0.3147358,0.2781288,-0.036607
6,0.7397986,0.724466,"('distant', 'open')",0.28337255,0.2174652,0.5115856,0.4709656,-0.04062
7,0.5589765,0.57076484,"('insensitive', 'sensitive')",0.31581384,0.32407925,0.4373952,0.447422,0.0100268
8,0.23381953,0.18118094,"('unaffectionate', 'affectionate')",0.4948336,0.37829858,0.3643266,0.2797398,-0.0845868
9,1.65827,1.6132468,"('unaffectionate', 'caring')",0.82013243,0.75151163,1.2392012,1.1823792,-0.056822
10,-0.054970868,-0.12302916,"('unsympathetic', 'sympathetic')",-0.73100936,-0.7842107,-0.3929901,-0.4536199,-0.0606298
11,-0.11795258,-0.11547724,"('unhelpful', 'helpful')",1.5698442,1.5748752,0.7259458,0.729699,0.0037532
12,1.2598565,1.2977512,"('unsupportive', 'supportive')",-1.8928293,-1.8803738,-0.3164864,-0.2913113,0.0251751
13,0.18428728,0.12160303,"('impolite', 'polite')",-0.67192686,-0.68612957,-0.2438198,-0.2822633,-0.0384435
14,0.3535139,0.28847793,"('antisocial', 'social')",-0.63873845,-0.67649865,-0.1426123,-0.1940104,-0.0513981
15,1.1689335,1.1251292,"('boring', 'funny')",0.61795807,0.5698378,0.8934458,0.8474835,-0.0459623
16,-0.39227512,-0.41860548,"('unpopular', 'popular')",0.29653063,0.30446798,-0.0478722,-0.0570688,-0.0091966
17,-0.66239655,-0.63155633,"('nasty', 'nice')",-0.5340083,-0.5123048,-0.5982025,-0.5719305,0.026272
18,-0.14791036,-0.24049707,"('disagreeable', 'welcoming')",-0.35036528,-0.41775352,-0.2491378,-0.3291253,-0.0799875
19,-0.30363902,-0.26469824,"('inhospitable', 'hospitable')",-0.009028084,0.027562857,-0.1563336,-0.1185677,0.0377659
20,-0.009333026,-0.031116229,"('rough', 'thoughtful')",1.316677,1.2884253,0.653672,0.6286545,-0.0250175
21,0.8328345,0.79737216,"('immoral', 'moral')",-0.7325006,-0.7504075,0.0501669,0.0234823,-0.0266846
22,0.0480746,-0.010857355,"('untrustworthy', 'trustworthy')",-0.848957,-0.95499337,-0.4004412,-0.4829254,-0.0824842
23,1.2079773,1.1446033,"('insincere', 'sincere')",5.576234,5.4837623,3.3921056,3.3141828,-0.0779228
24,0.6658375,0.6003432,"('dishonest', 'honest')",0.735069,0.6686347,0.7004533,0.6344889,-0.0659644
25,0.58648133,0.52930003,"('egoistic', 'altruistic')",1.7596676,1.6938002,1.1730745,1.1115501,-0.0615244
26,1.1109346,1.0259494,"('hardhearted', 'benevolent')",1.7533813,1.7341175,1.432158,1.3800335,-0.0521245
27,0.9112098,0.8609536,"('hardhearted', 'softhearted')",1.3070873,1.1415758,1.1091485,1.0012647,-0.1078838
28,0.112726465,0.02781143,"('disloyal', 'loyal')",0.8087393,0.7135222,0.4607329,0.3706668,-0.0900661
29,-0.6757644,-0.69599175,"('unfair', 'fair')",-0.28350335,-0.416369,-0.4796339,-0.5561804,-0.0765465
30,1.0420027,0.98391914,"('intolerant', 'tolerant')",1.2600317,1.2071992,1.1510172,1.0955591,-0.0554581
31,-1.0235611,-0.9362138,"('evil', 'good')",-1.0714033,-1.102309,-1.0474823,-1.0192614,0.0282209
32,1.0258952,0.98819166,"('unkind', 'kind')",0.7840665,0.6579501,0.9049809,0.8230709,-0.08191
33,0.5437393,0.48226422,"('wrong', 'right')",-0.61004424,-0.6445076,-0.0331525,-0.0811217,-0.0479692
34,0.18938528,0.28719127,"('mean', 'honorable')",5.7894187,5.886831,2.9894021,3.0870111,0.097609
35,-0.6612729,-0.6843217,"('corrupt', 'incorrupt')",0.40965185,0.32446897,-0.1258105,-0.1799264,-0.0541159
36,-0.4686634,-0.46819544,"('hostile', 'amicable')",0.4546684,0.34358665,-0.0069975,-0.0623044,-0.0553069
