,charles_male,charles_female,tuple,river_male,river_female,labs_male,labs_female,intl_male,intl_female,inc_male,inc_female,average_male,average_female,female-male
0,0.12236096,-0.047353625,"('unsociable', 'sociable')",-0.39851964,-0.51905936,0.37337998,0.29023382,-1.1415292,-1.2379061,-0.23126586,-0.2832984,-0.2551148,-0.3594767,-0.1043619
1,0.37086684,0.23816423,"('unfriendly', 'friendly')",-0.7289585,-0.8124753,-0.09527654,-0.2910819,-1.6000654,-1.7220178,1.777445,1.6690542,-0.0551977,-0.1836713,-0.1284736
2,0.12460517,0.21703239,"('unlikable', 'likable')",0.84950024,0.89737105,0.28448236,0.33375686,0.3400302,0.42148277,0.33520356,0.41110995,0.3867643,0.4561506,0.0693863
3,-0.09888723,-0.10200721,"('repellent', 'pleasant')",-0.24831152,-0.18115225,-0.51061225,-0.4882717,-0.19039974,-0.17025888,0.23692675,0.2949496,-0.1622568,-0.1293481,0.0329087
4,-0.17814666,-0.2105096,"('disliked', 'liked')",-0.38663706,-0.46931544,-0.87320715,-0.9942538,-0.7344084,-0.7783732,-6.715471,-6.841164,-1.777574,-1.8587233,-0.0811493
5,0.3022123,0.27237034,"('distant', 'outgoing')",-0.19459745,-0.21132937,-0.85420233,-0.8963793,-0.8545734,-0.86006653,-0.5930875,-0.6302633,-0.4388497,-0.4651337,-0.026284
6,0.06642035,0.028436765,"('distant', 'open')",-0.34849566,-0.36136016,-0.8459998,-0.92154586,-0.61290544,-0.6316521,0.18088554,0.13678935,-0.312019,-0.3498664,-0.0378474
7,-0.13651653,-0.23192725,"('insensitive', 'sensitive')",-0.13092053,-0.08686557,0.01671771,0.07149366,-0.49502784,-0.430777,0.77051854,0.86385596,0.0049543,0.037156,0.0322017
8,0.5587401,0.5515004,"('unaffectionate', 'affectionate')",0.3129779,0.2391295,0.0580578,-0.02228808,-1.9261037,-2.001912,0.5421992,0.4512965,-0.0908257,-0.1564548,-0.0656291
9,0.44838372,0.3933094,"('unaffectionate', 'caring')",0.06687874,0.0033886004,0.08167,0.027827606,-2.1129212,-2.1562746,1.0825527,1.0485666,-0.0866872,-0.1366365,-0.0499493
10,0.30972216,0.18908577,"('unsympathetic', 'sympathetic')",-0.7430476,-0.8105758,-0.41257372,-0.43450972,-1.9002944,-1.8571107,-0.1545248,-0.12288553,-0.5801437,-0.6071992,-0.0270555
11,-0.59530455,-0.5773426,"('unhelpful', 'helpful')",-0.29056245,-0.2898072,0.4869147,0.5520643,-0.941748,-0.8796875,1.7009796,1.764799,0.0720558,0.1140052,0.0419494
12,0.9114418,0.7978173,"('unsupportive', 'supportive')",-0.15774302,-0.16124083,-0.08466373,-0.012971435,-2.3669574,-2.28009,-2.038124,-2.0050156,-0.7472093,-0.7323001,0.0149092
13,0.4363209,0.4121205,"('impolite', 'polite')",-0.31868052,-0.31534588,-0.27572682,-0.20766953,0.055162396,0.0880823,-0.20075595,-0.160038,-0.060736,-0.0365701,0.0241659
14,-0.19700336,-0.26015273,"('antisocial', 'social')",0.53759503,0.5637425,0.90220374,0.9599669,0.009777726,0.021716148,-0.48089275,-0.4412226,0.1543361,0.16881,0.0144739
