,cit_male,cit_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.4390605,-0.6287714,"('unsociable', 'sociable')",0.8330812,0.6607694,-0.4911012,-0.60003245,-0.0323602,-0.1893448,-0.1569846
1,-1.3622942,-1.3295563,"('unfriendly', 'friendly')",-0.4793383,-0.43238738,1.6296798,1.6082249,-0.0706509,-0.0512396,0.0194113
2,1.614723,1.5874125,"('unlikable', 'likable')",1.9761478,1.9764509,1.0003798,1.0644236,1.5304168,1.5427623,0.0123455
3,-0.07810655,-0.0453255,"('repellent', 'pleasant')",0.93332654,0.9631604,0.48744062,0.52141374,0.4475535,0.4797495,0.032196
4,-0.12047213,-0.14950778,"('disliked', 'liked')",-0.3482398,-0.42801133,-6.430352,-6.520239,-2.299688,-2.3659193,-0.0662313
5,-0.96341354,-0.7989715,"('distant', 'outgoing')",-1.9543215,-1.772538,-0.58279914,-0.45957267,-1.1668448,-1.0103607,0.1564841
6,-1.2637768,-1.014469,"('distant', 'open')",-2.3675506,-2.1490257,-0.21714944,-0.065397136,-1.2828256,-1.0762972,0.2065284
7,-0.26749724,-0.31750402,"('insensitive', 'sensitive')",0.5078552,0.5881426,0.9365727,1.0370126,0.3923102,0.4358837,0.0435735
8,-1.2853142,-1.2996299,"('unaffectionate', 'affectionate')",-0.49578446,-0.45915565,0.7423888,0.793973,-0.3462366,-0.3216042,0.0246324
9,-1.1024977,-1.1167537,"('unaffectionate', 'caring')",-0.22024283,-0.13034813,1.1648898,1.2655996,-0.0526169,0.0061659,0.0587828
10,-0.705979,-0.83991235,"('unsympathetic', 'sympathetic')",0.42244658,0.48899487,-0.31811753,-0.22476816,-0.20055,-0.1918952,0.0086548
11,0.28647906,0.09413807,"('unhelpful', 'helpful')",0.45591038,0.3827408,2.0700629,2.1542523,0.9374841,0.8770437,-0.0604404
12,-0.03927256,0.059089728,"('unsupportive', 'supportive')",0.8703698,1.0751865,-1.7491232,-1.6049343,-0.3060087,-0.156886,0.1491227
