,mailbox_male,mailbox_female,tuple,average_male,average_female,female-male
0,0.5773048,0.43542615,"('unsociable', 'sociable')",0.5773048,0.4354261,-0.1418787
1,0.60539025,0.6140011,"('unfriendly', 'friendly')",0.6053903,0.6140011,0.0086108
2,-0.1107613,0.008072201,"('unlikable', 'likable')",-0.1107613,0.0080722,0.1188335
3,-0.32143176,-0.21106306,"('repellent', 'pleasant')",-0.3214318,-0.2110631,0.1103687
4,-3.3495016,-3.1533978,"('disliked', 'liked')",-3.3495016,-3.1533978,0.1961038
5,-0.10683891,-0.01792968,"('distant', 'outgoing')",-0.1068389,-0.0179297,0.0889092
6,0.052150585,0.10779092,"('distant', 'open')",0.0521506,0.1077909,0.0556403
7,0.63214505,0.6603248,"('insensitive', 'sensitive')",0.632145,0.6603248,0.0281798
8,-0.33557627,-0.32997343,"('unaffectionate', 'affectionate')",-0.3355763,-0.3299734,0.0056029
9,0.41274863,0.44929814,"('unaffectionate', 'caring')",0.4127486,0.4492981,0.0365495
10,-0.13307291,-0.23489024,"('unsympathetic', 'sympathetic')",-0.1330729,-0.2348902,-0.1018173
11,1.3315425,1.3762825,"('unhelpful', 'helpful')",1.3315425,1.3762825,0.04474
12,-0.7386348,-0.6853795,"('unsupportive', 'supportive')",-0.7386348,-0.6853795,0.0532553
13,0.7089942,0.55143607,"('impolite', 'polite')",0.7089942,0.5514361,-0.1575581
14,0.13336873,0.082103595,"('antisocial', 'social')",0.1333687,0.0821036,-0.0512651
15,0.12321217,0.076226175,"('boring', 'funny')",0.1232122,0.0762262,-0.046986
16,-0.48951876,-0.36214787,"('unpopular', 'popular')",-0.4895188,-0.3621479,0.1273709
17,-0.39995605,-0.36129484,"('nasty', 'nice')",-0.399956,-0.3612948,0.0386612
18,-0.5896877,-0.57297045,"('disagreeable', 'welcoming')",-0.5896877,-0.5729704,0.0167173
19,-0.10489214,-0.03339002,"('inhospitable', 'hospitable')",-0.1048921,-0.03339,0.0715021
20,-0.37851298,-0.42383817,"('rough', 'thoughtful')",-0.378513,-0.4238382,-0.0453252
21,0.26565176,0.25617486,"('immoral', 'moral')",0.2656518,0.2561749,-0.0094769
22,-0.23785357,-0.27189347,"('untrustworthy', 'trustworthy')",-0.2378536,-0.2718935,-0.0340399
23,3.6440182,3.5621967,"('insincere', 'sincere')",3.6440182,3.5621967,-0.0818215
24,1.1755456,1.1459616,"('dishonest', 'honest')",1.1755456,1.1459616,-0.029584
25,0.5899567,0.5975131,"('egoistic', 'altruistic')",0.5899567,0.5975131,0.0075564
26,0.61560315,0.51707804,"('hardhearted', 'benevolent')",0.6156031,0.517078,-0.0985251
27,-0.19800875,-0.24369365,"('hardhearted', 'softhearted')",-0.1980087,-0.2436936,-0.0456849
28,0.44559693,0.4296942,"('disloyal', 'loyal')",0.4455969,0.4296942,-0.0159027
29,-0.13551727,-0.15302391,"('unfair', 'fair')",-0.1355173,-0.1530239,-0.0175066
30,0.47907948,0.40890443,"('intolerant', 'tolerant')",0.4790795,0.4089044,-0.0701751
31,-1.0408449,-0.9508203,"('evil', 'good')",-1.0408449,-0.9508203,0.0900246
32,0.6248763,0.54359835,"('unkind', 'kind')",0.6248763,0.5435984,-0.0812779
33,0.49391747,0.527854,"('wrong', 'right')",0.4939175,0.527854,0.0339365
34,2.308314,2.3107653,"('mean', 'honorable')",2.3083141,2.3107653,0.0024512
35,-0.85506344,-0.85045046,"('corrupt', 'incorrupt')",-0.8550634,-0.8504505,0.0046129
36,-0.8869388,-0.86387765,"('hostile', 'amicable')",-0.8869388,-0.8638777,0.0230611
37,-0.059116714,-0.10170672,"('fake', 'genuine')",-0.0591167,-0.1017067,-0.04259
38,0.33367565,0.3417213,"('untruthful', 'truthful')",0.3336757,0.3417213,0.0080456
39,0.46436197,0.45948368,"('exploitative', 'cooperative')",0.464362,0.4594837,-0.0048783
40,-0.6230693,-0.5781567,"('stingy', 'generous')",-0.6230693,-0.5781567,0.0449126
41,0.07768333,0.020832106,"('unforgiving', 'forgiving')",0.0776833,0.0208321,-0.0568512
42,-1.1190523,-1.0176388,"('unreliable', 'reliable')",-1.1190523,-1.0176388,0.1014135
43,-0.11939204,-0.21818331,"('irresponsible', 'responsible')",-0.119392,-0.2181833,-0.0987913
44,-1.2165828,-1.2927157,"('prejudiced', 'unprejudiced')",-1.2165828,-1.2927157,-0.0761329
45,0.33518332,0.31724912,"('incompetent', 'competent')",0.3351833,0.3172491,-0.0179342
46,-0.2037586,-0.2872326,"('uncompetitive', 'competitive')",-0.2037586,-0.2872326,-0.083474
47,2.9432614,2.9022315,"('stupid', 'smart')",2.9432614,2.9022315,-0.0410299
48,-0.26345047,-0.38636377,"('unintelligent', 'intelligent')",-0.2634505,-0.3863638,-0.1229133
49,-0.7447808,-0.656646,"('unable', 'able')",-0.7447808,-0.656646,0.0881348
50,-0.931167,-0.8506327,"('clumsy', 'skillful')",-0.931167,-0.8506327,0.0805343
51,0.0443466,0.011878713,"('uneducated', 'educated')",0.0443466,0.0118787,-0.0324679
52,-0.78180116,-0.7628195,"('irrational', 'rational')",-0.7818012,-0.7628195,0.0189817
53,0.18772273,0.19768997,"('uncreative', 'creative')",0.1877227,0.19769,0.0099673
54,0.24272761,0.31039107,"('incapable', 'capable')",0.2427276,0.3103911,0.0676635
55,0.5348632,0.4677035,"('incompetent', 'clever')",0.5348632,0.4677035,-0.0671597
56,1.5002344,1.5024195,"('impractical', 'practical')",1.5002344,1.5024195,0.0021851
57,-2.0517063,-1.9837519,"('unimaginative', 'imaginative')",-2.0517063,-1.9837519,0.0679544
58,0.07186474,0.021080304,"('undiscriminating', 'discriminating')",0.0718647,0.0210803,-0.0507844
59,-0.23522013,-0.1443311,"('foolish', 'wise')",-0.2352201,-0.1443311,0.090889
60,0.80937856,0.74520904,"('inefficient', 'efficient')",0.8093786,0.745209,-0.0641696
61,0.0191895,-0.066077635,"('illogical', 'logical')",0.0191895,-0.0660776,-0.0852671
62,1.1077775,1.2083136,"('incompetent', 'brilliant')",1.1077775,1.2083136,0.1005361
63,0.45948246,0.43359315,"('unperceptive', 'insightful')",0.4594825,0.4335932,-0.0258893
64,-3.279656,-3.1933587,"('shy', 'confident')",-3.2796559,-3.1933587,0.0862972
65,-0.2895335,-0.41329136,"('insecure', 'secure')",-0.2895335,-0.4132914,-0.1237579
66,-0.23683304,-0.29039088,"('inactive', 'active')",-0.236833,-0.2903909,-0.0535579
67,0.81940687,0.80377954,"('doubtful', 'determined')",0.8194069,0.8037795,-0.0156274
68,-1.1541803,-1.1442549,"('dependent', 'independent')",-1.1541803,-1.1442549,0.0099254
69,-1.0730165,-0.9495675,"('lazy', 'industrious')",-1.0730165,-0.9495675,0.123449
70,0.7104449,0.62990654,"('lethargic', 'energetic')",0.7104449,0.6299065,-0.0805384
71,0.1484172,0.20835434,"('diffident', 'self-confident')",0.1484172,0.2083543,0.0599371
72,-0.39633197,-0.3783021,"('unambitious', 'ambitious')",-0.396332,-0.3783021,0.0180299
73,-1.2510952,-1.0851429,"('helpless', 'self-reliant')",-1.2510952,-1.0851429,0.1659523
74,-0.215945,-0.21222574,"('undedicated', 'dedicated')",-0.215945,-0.2122257,0.0037193
75,-0.93132335,-0.79689926,"('meek', 'impulsive')",-0.9313233,-0.7968993,0.134424
76,-0.109114975,-0.29056758,"('anxious', 'daring')",-0.109115,-0.2905676,-0.1814526
77,-0.59782434,-0.553012,"('unmotivated', 'motivated')",-0.5978243,-0.553012,0.0448123
78,-0.96002316,-0.89350235,"('nonresilient', 'resilient')",-0.9600232,-0.8935024,0.0665208
79,-0.0055312803,0.049993895,"('wavering', 'unwavering')",-0.0055313,0.0499939,0.0555252
80,0.25012353,0.14022744,"('dominated', 'dominating')",0.2501235,0.1402274,-0.1098961
81,0.06267911,0.00862442,"('submissive', 'aggressive')",0.0626791,0.0086244,-0.0540547
82,2.9040751,2.917666,"('poor', 'rich')",2.9040751,2.917666,0.0135909
83,0.27900466,0.26051754,"('powerless', 'powerful')",0.2790047,0.2605175,-0.0184872
84,0.050091237,0.016481688,"('inferior', 'superior')",0.0500912,0.0164817,-0.0336095
85,-0.79022825,-0.79332334,"('insignificant', 'prestigious')",-0.7902282,-0.7933233,-0.0030951
86,-0.054548185,-0.07087244,"('uninfluential', 'influential')",-0.0545482,-0.0708724,-0.0163242
87,0.055997886,0.09190208,"('unsuccessful', 'successful')",0.0559979,0.0919021,0.0359042
88,-0.59813195,-0.5966969,"('low', 'eminent')",-0.598132,-0.5966969,0.0014351
