,paddock_male,paddock_female,tuple,average_male,average_female,female-male
0,0.72411424,0.69900745,"('unsociable', 'sociable')",0.7241142,0.6990075,-0.0251067
1,-0.25433105,-0.5027421,"('unfriendly', 'friendly')",-0.2543311,-0.5027421,-0.248411
2,-0.49028337,-0.4364769,"('unlikable', 'likable')",-0.4902834,-0.4364769,0.0538065
3,-0.8696811,-0.8247682,"('repellent', 'pleasant')",-0.8696811,-0.8247682,0.0449129
4,-1.9812074,-1.7541968,"('disliked', 'liked')",-1.9812074,-1.7541968,0.2270106
5,-0.61607224,-0.6128302,"('distant', 'outgoing')",-0.6160722,-0.6128302,0.003242
6,-0.48110592,-0.51664996,"('distant', 'open')",-0.4811059,-0.51665,-0.0355441
7,0.535034,0.4836919,"('insensitive', 'sensitive')",0.535034,0.4836919,-0.0513421
8,-0.15710646,-0.32603177,"('unaffectionate', 'affectionate')",-0.1571065,-0.3260318,-0.1689253
9,0.02250392,-0.17164454,"('unaffectionate', 'caring')",0.0225039,-0.1716445,-0.1941484
10,-0.37523696,-0.41527057,"('unsympathetic', 'sympathetic')",-0.375237,-0.4152706,-0.0400336
11,0.13001177,0.024514902,"('unhelpful', 'helpful')",0.1300118,0.0245149,-0.1054969
12,-0.8396934,-0.7448899,"('unsupportive', 'supportive')",-0.8396934,-0.7448899,0.0948035
13,0.07168582,0.10508047,"('impolite', 'polite')",0.0716858,0.1050805,0.0333947
14,0.31617162,0.34371242,"('antisocial', 'social')",0.3161716,0.3437124,0.0275408
15,0.5980982,0.5873642,"('boring', 'funny')",0.5980982,0.5873642,-0.010734
16,0.16370133,0.20371637,"('unpopular', 'popular')",0.1637013,0.2037164,0.0400151
17,-0.4766231,-0.42078716,"('nasty', 'nice')",-0.4766231,-0.4207872,0.0558359
18,-1.2189128,-1.266546,"('disagreeable', 'welcoming')",-1.2189128,-1.266546,-0.0476332
19,-0.8768692,-0.87865597,"('inhospitable', 'hospitable')",-0.8768692,-0.878656,-0.0017868
20,-0.638562,-0.74180776,"('rough', 'thoughtful')",-0.638562,-0.7418078,-0.1032458
21,-0.614903,-0.5230795,"('immoral', 'moral')",-0.614903,-0.5230795,0.0918235
22,-0.26064152,-0.3276967,"('untrustworthy', 'trustworthy')",-0.2606415,-0.3276967,-0.0670552
23,1.5491279,1.2795268,"('insincere', 'sincere')",1.5491279,1.2795268,-0.2696011
24,-0.1881554,-0.36328685,"('dishonest', 'honest')",-0.1881554,-0.3632869,-0.1751315
25,0.3164774,0.20962879,"('egoistic', 'altruistic')",0.3164774,0.2096288,-0.1068486
26,0.4320086,0.2463968,"('hardhearted', 'benevolent')",0.4320086,0.2463968,-0.1856118
27,-0.20364398,-0.42213994,"('hardhearted', 'softhearted')",-0.203644,-0.4221399,-0.2184959
28,0.2941574,0.11629233,"('disloyal', 'loyal')",0.2941574,0.1162923,-0.1778651
29,-0.16624087,-0.24944842,"('unfair', 'fair')",-0.1662409,-0.2494484,-0.0832075
30,0.07143778,0.035691507,"('intolerant', 'tolerant')",0.0714378,0.0356915,-0.0357463
31,-0.76121753,-0.656344,"('evil', 'good')",-0.7612175,-0.656344,0.1048735
32,-0.3633284,-0.5345172,"('unkind', 'kind')",-0.3633284,-0.5345172,-0.1711888
33,0.5125584,0.4762323,"('wrong', 'right')",0.5125584,0.4762323,-0.0363261
34,1.3735907,1.2975153,"('mean', 'honorable')",1.3735907,1.2975153,-0.0760754
35,0.18343723,0.042219672,"('corrupt', 'incorrupt')",0.1834372,0.0422197,-0.1412175
36,-0.56650794,-0.60448945,"('hostile', 'amicable')",-0.5665079,-0.6044894,-0.0379815
37,-0.0061054025,-0.051677026,"('fake', 'genuine')",-0.0061054,-0.051677,-0.0455716
38,0.21947034,0.067126475,"('untruthful', 'truthful')",0.2194703,0.0671265,-0.1523438
