,cheek_male,cheek_female,tuple,average_male,average_female,female-male
0,0.666307,0.5527225,"('unsociable', 'sociable')",0.666307,0.5527225,-0.1135845
1,0.7939586,0.7444923,"('unfriendly', 'friendly')",0.7939586,0.7444923,-0.0494663
2,-0.12131171,0.03702918,"('unlikable', 'likable')",-0.1213117,0.0370292,0.1583409
3,0.657008,0.87564397,"('repellent', 'pleasant')",0.657008,0.875644,0.218636
4,-7.1281023,-7.4479766,"('disliked', 'liked')",-7.1281023,-7.4479766,-0.3198743
5,-0.998627,-0.9872189,"('distant', 'outgoing')",-0.998627,-0.9872189,0.0114081
6,-0.48318437,-0.6110208,"('distant', 'open')",-0.4831844,-0.6110208,-0.1278364
7,1.6717188,1.6807411,"('insensitive', 'sensitive')",1.6717188,1.6807411,0.0090223
8,0.7630659,0.6447792,"('unaffectionate', 'affectionate')",0.7630659,0.6447792,-0.1182867
9,1.1806868,1.1727321,"('unaffectionate', 'caring')",1.1806868,1.1727321,-0.0079547
10,1.4867165,1.541808,"('unsympathetic', 'sympathetic')",1.4867165,1.541808,0.0550915
11,1.6495277,1.7940549,"('unhelpful', 'helpful')",1.6495277,1.7940549,0.1445272
12,-1.3613213,-1.4012263,"('unsupportive', 'supportive')",-1.3613213,-1.4012263,-0.039905
13,0.30083972,0.54986787,"('impolite', 'polite')",0.3008397,0.5498679,0.2490282
14,0.7862972,0.8546913,"('antisocial', 'social')",0.7862972,0.8546913,0.0683941
15,0.6122442,0.51400536,"('boring', 'funny')",0.6122442,0.5140054,-0.0982388
16,-0.9332336,-0.93239856,"('unpopular', 'popular')",-0.9332336,-0.9323986,0.000835
17,0.09398945,0.040832486,"('nasty', 'nice')",0.0939894,0.0408325,-0.0531569
18,-0.5583932,-0.4930541,"('disagreeable', 'welcoming')",-0.5583932,-0.4930541,0.0653391
19,-1.0411905,-1.0422674,"('inhospitable', 'hospitable')",-1.0411905,-1.0422674,-0.0010769
20,0.61441094,0.5912217,"('rough', 'thoughtful')",0.6144109,0.5912217,-0.0231892
21,0.09341018,0.34536982,"('immoral', 'moral')",0.0934102,0.3453698,0.2519596
22,0.13239634,0.1523964,"('untrustworthy', 'trustworthy')",0.1323963,0.1523964,0.0200001
23,5.9268575,6.2499557,"('insincere', 'sincere')",5.9268575,6.2499557,0.3230982
24,1.2650696,1.3358722,"('dishonest', 'honest')",1.2650696,1.3358722,0.0708026
25,0.57877797,0.55074716,"('egoistic', 'altruistic')",0.578778,0.5507472,-0.0280308
26,1.3457626,1.0634791,"('hardhearted', 'benevolent')",1.3457626,1.0634791,-0.2822835
27,1.682342,1.5177009,"('hardhearted', 'softhearted')",1.6823421,1.5177009,-0.1646412
28,1.4534514,1.3164791,"('disloyal', 'loyal')",1.4534514,1.3164791,-0.1369723
29,-0.3971524,-0.5749188,"('unfair', 'fair')",-0.3971524,-0.5749188,-0.1777664
