,conocophillips_male,conocophillips_female,tuple,average_male,average_female,female-male
0,-0.99287695,-1.0465174,"('unsociable', 'sociable')",-0.9928769,-1.0465174,-0.0536405
1,0.5391552,0.28186542,"('unfriendly', 'friendly')",0.5391552,0.2818654,-0.2572898
2,0.75195664,0.77727866,"('unlikable', 'likable')",0.7519566,0.7772787,0.0253221
3,-0.67000735,-0.61020005,"('repellent', 'pleasant')",-0.6700073,-0.6102,0.0598073
4,-0.7485561,-0.7496593,"('disliked', 'liked')",-0.7485561,-0.7496593,-0.0011032
5,1.2644267,1.1872324,"('distant', 'outgoing')",1.2644267,1.1872324,-0.0771943
6,1.0683486,0.97532594,"('distant', 'open')",1.0683486,0.9753259,-0.0930227
7,-1.074535,-1.0289799,"('insensitive', 'sensitive')",-1.074535,-1.0289799,0.0455551
8,-0.56012183,-0.7033801,"('unaffectionate', 'affectionate')",-0.5601218,-0.7033801,-0.1432583
9,-0.26483056,-0.4184733,"('unaffectionate', 'caring')",-0.2648306,-0.4184733,-0.1536427
10,-2.4030068,-2.3554618,"('unsympathetic', 'sympathetic')",-2.4030068,-2.3554618,0.047545
11,-0.9556563,-0.9374187,"('unhelpful', 'helpful')",-0.9556563,-0.9374187,0.0182376
12,-1.2525492,-1.20406,"('unsupportive', 'supportive')",-1.2525492,-1.20406,0.0484892
13,-1.1896207,-1.1500317,"('impolite', 'polite')",-1.1896207,-1.1500317,0.039589
14,-0.77421814,-0.76196027,"('antisocial', 'social')",-0.7742181,-0.7619603,0.0122578
15,0.30946943,0.18760341,"('boring', 'funny')",0.3094694,0.1876034,-0.121866
16,0.14882207,0.10358793,"('unpopular', 'popular')",0.1488221,0.1035879,-0.0452342
17,0.048663057,0.11998908,"('nasty', 'nice')",0.0486631,0.1199891,0.071326
18,-0.46594372,-0.50808394,"('disagreeable', 'welcoming')",-0.4659437,-0.5080839,-0.0421402
19,-0.54683053,-0.55018574,"('inhospitable', 'hospitable')",-0.5468305,-0.5501857,-0.0033552
20,-0.7408642,-0.74801373,"('rough', 'thoughtful')",-0.7408642,-0.7480137,-0.0071495
21,-1.0167121,-0.97780347,"('immoral', 'moral')",-1.0167121,-0.9778035,0.0389086
22,-0.52575547,-0.54724145,"('untrustworthy', 'trustworthy')",-0.5257555,-0.5472414,-0.0214859
23,0.56064475,0.46578443,"('insincere', 'sincere')",0.5606447,0.4657844,-0.0948603
24,-0.14300811,-0.20096916,"('dishonest', 'honest')",-0.1430081,-0.2009692,-0.0579611
25,0.39699787,0.27263093,"('egoistic', 'altruistic')",0.3969979,0.2726309,-0.124367
26,0.20985934,0.029823137,"('hardhearted', 'benevolent')",0.2098593,0.0298231,-0.1800362
27,0.15881827,0.15037563,"('hardhearted', 'softhearted')",0.1588183,0.1503756,-0.0084427
28,-0.49715304,-0.6432498,"('disloyal', 'loyal')",-0.497153,-0.6432498,-0.1460968
29,-0.21835105,-0.25834978,"('unfair', 'fair')",-0.2183511,-0.2583498,-0.0399987
30,-0.90391105,-0.8411736,"('intolerant', 'tolerant')",-0.9039111,-0.8411736,0.0627375
31,0.27450737,0.25138986,"('evil', 'good')",0.2745074,0.2513899,-0.0231175
32,0.48253214,0.3817882,"('unkind', 'kind')",0.4825321,0.3817882,-0.1007439
33,1.0061197,0.90981835,"('wrong', 'right')",1.0061197,0.9098184,-0.0963013
34,0.75181973,0.8620363,"('mean', 'honorable')",0.7518197,0.8620363,0.1102166
35,1.1483651,1.0112534,"('corrupt', 'incorrupt')",1.1483651,1.0112534,-0.1371117
36,0.42916027,0.29916435,"('hostile', 'amicable')",0.4291603,0.2991644,-0.1299959
37,-0.30588847,-0.28071448,"('fake', 'genuine')",-0.3058885,-0.2807145,0.025174
38,-0.044720206,-0.048075818,"('untruthful', 'truthful')",-0.0447202,-0.0480758,-0.0033556
39,0.4021263,0.45574164,"('exploitative', 'cooperative')",0.4021263,0.4557416,0.0536153
40,-0.2545661,-0.28280547,"('stingy', 'generous')",-0.2545661,-0.2828055,-0.0282394
41,-0.42222363,-0.43523788,"('unforgiving', 'forgiving')",-0.4222236,-0.4352379,-0.0130143
42,-0.50136065,-0.40808493,"('unreliable', 'reliable')",-0.5013607,-0.4080849,0.0932758
43,-1.1954638,-1.1397222,"('irresponsible', 'responsible')",-1.1954638,-1.1397222,0.0557416
44,0.3599396,0.4282845,"('prejudiced', 'unprejudiced')",0.3599396,0.4282845,0.0683449
45,-1.5769999,-1.5296903,"('incompetent', 'competent')",-1.5769999,-1.5296903,0.0473096
46,-1.9012073,-1.7935392,"('uncompetitive', 'competitive')",-1.9012073,-1.7935392,0.1076681
47,0.8766969,0.933588,"('stupid', 'smart')",0.8766969,0.933588,0.0568911
48,-1.0804297,-1.0836855,"('unintelligent', 'intelligent')",-1.0804297,-1.0836855,-0.0032558
49,-0.32856196,-0.23216622,"('unable', 'able')",-0.328562,-0.2321662,0.0963958
50,0.26250872,0.19193073,"('clumsy', 'skillful')",0.2625087,0.1919307,-0.070578
51,-1.0388166,-1.0219418,"('uneducated', 'educated')",-1.0388166,-1.0219418,0.0168748
52,0.2171129,0.014402207,"('irrational', 'rational')",0.2171129,0.0144022,-0.2027107
53,-0.2818081,-0.43006444,"('uncreative', 'creative')",-0.2818081,-0.4300644,-0.1482563
54,0.050670013,-0.015684094,"('incapable', 'capable')",0.05067,-0.0156841,-0.0663541
55,-1.6992577,-1.5875292,"('incompetent', 'clever')",-1.6992577,-1.5875292,0.1117285
56,-0.41848096,-0.41883993,"('impractical', 'practical')",-0.418481,-0.4188399,-0.0003589
57,-1.8218942,-1.8416681,"('unimaginative', 'imaginative')",-1.8218942,-1.8416681,-0.0197739
58,-0.72855717,-0.7696101,"('undiscriminating', 'discriminating')",-0.7285572,-0.7696101,-0.0410529
59,0.5225623,0.45282376,"('foolish', 'wise')",0.5225623,0.4528238,-0.0697385
60,-0.66166896,-0.53522736,"('inefficient', 'efficient')",-0.661669,-0.5352274,0.1264416
61,-0.34876564,-0.44233745,"('illogical', 'logical')",-0.3487656,-0.4423375,-0.0935719
