,singer_male,singer_female,tuple,average_male,average_female,female-male
0,0.020281982,-0.096697405,"('unsociable', 'sociable')",0.020282,-0.0966974,-0.1169794
1,1.0947112,0.90936524,"('unfriendly', 'friendly')",1.0947112,0.9093652,-0.185346
2,0.35049108,0.53345597,"('unlikable', 'likable')",0.3504911,0.533456,0.1829649
3,0.65509516,0.713788,"('repellent', 'pleasant')",0.6550952,0.713788,0.0586928
4,-7.6917024,-7.678801,"('disliked', 'liked')",-7.6917024,-7.6788011,0.0129013
5,-0.8053082,-0.97524494,"('distant', 'outgoing')",-0.8053082,-0.9752449,-0.1699367
6,-0.6585891,-0.8596186,"('distant', 'open')",-0.6585891,-0.8596186,-0.2010295
7,1.1455148,1.1713231,"('insensitive', 'sensitive')",1.1455148,1.1713231,0.0258083
8,0.5741961,0.4440024,"('unaffectionate', 'affectionate')",0.5741961,0.4440024,-0.1301937
9,1.6251798,1.6172874,"('unaffectionate', 'caring')",1.6251798,1.6172874,-0.0078924
10,1.0838504,1.1472195,"('unsympathetic', 'sympathetic')",1.0838504,1.1472195,0.0633691
11,2.2003207,2.3353732,"('unhelpful', 'helpful')",2.2003207,2.3353732,0.1350525
12,-1.1983695,-1.2888848,"('unsupportive', 'supportive')",-1.1983695,-1.2888848,-0.0905153
13,0.768701,0.78770715,"('impolite', 'polite')",0.768701,0.7877071,0.0190061
14,-0.21287087,-0.3333104,"('antisocial', 'social')",-0.2128709,-0.3333104,-0.1204395
15,0.43182564,0.44724,"('boring', 'funny')",0.4318256,0.44724,0.0154144
16,-0.40673128,-0.32310748,"('unpopular', 'popular')",-0.4067313,-0.3231075,0.0836238
17,-0.34494507,-0.20859087,"('nasty', 'nice')",-0.3449451,-0.2085909,0.1363542
18,-0.72001886,-0.76351,"('disagreeable', 'welcoming')",-0.7200189,-0.76351,-0.0434911
19,-0.45820972,-0.48654765,"('inhospitable', 'hospitable')",-0.4582097,-0.4865476,-0.0283379
20,0.9901167,0.85850704,"('rough', 'thoughtful')",0.9901167,0.858507,-0.1316097
21,0.48274505,0.63301414,"('immoral', 'moral')",0.4827451,0.6330141,0.150269
22,-0.13122253,-0.18797232,"('untrustworthy', 'trustworthy')",-0.1312225,-0.1879723,-0.0567498
23,6.842756,6.832773,"('insincere', 'sincere')",6.8427558,6.8327732,-0.0099826
24,1.907214,1.8226684,"('dishonest', 'honest')",1.907214,1.8226684,-0.0845456
25,0.28817824,0.21067862,"('egoistic', 'altruistic')",0.2881782,0.2106786,-0.0774996
26,0.17162621,0.079433545,"('hardhearted', 'benevolent')",0.1716262,0.0794335,-0.0921927
27,1.3900036,1.2295604,"('hardhearted', 'softhearted')",1.3900036,1.2295604,-0.1604432
28,0.8241191,0.7876816,"('disloyal', 'loyal')",0.8241191,0.7876816,-0.0364375
29,-0.76801145,-0.9496804,"('unfair', 'fair')",-0.7680115,-0.9496804,-0.1816689
30,1.2476321,1.2288015,"('intolerant', 'tolerant')",1.2476321,1.2288015,-0.0188306
31,-1.9581412,-2.131741,"('evil', 'good')",-1.9581412,-2.131741,-0.1735998
32,1.570179,1.6124002,"('unkind', 'kind')",1.570179,1.6124002,0.0422212
33,-0.3150014,-0.30864823,"('wrong', 'right')",-0.3150014,-0.3086482,0.0063532
34,4.3127065,4.5121145,"('mean', 'honorable')",4.3127065,4.5121145,0.199408
35,-1.173661,-1.4231808,"('corrupt', 'incorrupt')",-1.173661,-1.4231808,-0.2495198
36,-0.9175092,-1.1471345,"('hostile', 'amicable')",-0.9175092,-1.1471345,-0.2296253
37,0.92844933,0.9034099,"('fake', 'genuine')",0.9284493,0.9034099,-0.0250394
38,0.52255434,0.5988306,"('untruthful', 'truthful')",0.5225543,0.5988306,0.0762763
39,0.22738573,0.2038082,"('exploitative', 'cooperative')",0.2273857,0.2038082,-0.0235775
40,-1.9109114,-2.1852837,"('stingy', 'generous')",-1.9109114,-2.1852837,-0.2743723
41,0.4471125,0.44406056,"('unforgiving', 'forgiving')",0.4471125,0.4440606,-0.0030519
42,-2.5807023,-2.573972,"('unreliable', 'reliable')",-2.5807023,-2.573972,0.0067303
43,1.3827742,1.3831277,"('irresponsible', 'responsible')",1.3827742,1.3831277,0.0003535
44,-0.9703475,-1.0464233,"('prejudiced', 'unprejudiced')",-0.9703475,-1.0464233,-0.0760758
45,0.012732824,0.04858245,"('incompetent', 'competent')",0.0127328,0.0485824,0.0358496
46,-0.33496088,-0.19960317,"('uncompetitive', 'competitive')",-0.3349609,-0.1996032,0.1353577
47,5.1324725,5.2032967,"('stupid', 'smart')",5.1324725,5.2032967,0.0708242
48,1.0663209,0.98636055,"('unintelligent', 'intelligent')",1.0663209,0.9863605,-0.0799604
49,-0.20521604,-0.17382427,"('unable', 'able')",-0.205216,-0.1738243,0.0313917
50,-0.2600236,-0.094687134,"('clumsy', 'skillful')",-0.2600236,-0.0946871,0.1653365
51,0.66926605,0.62069196,"('uneducated', 'educated')",0.669266,0.620692,-0.048574
52,-0.79247105,-0.9515333,"('irrational', 'rational')",-0.7924711,-0.9515333,-0.1590622
53,0.41340157,0.34556237,"('uncreative', 'creative')",0.4134016,0.3455624,-0.0678392
54,0.99921,1.0072438,"('incapable', 'capable')",0.99921,1.0072438,0.0080338
55,0.9447599,0.99394447,"('incompetent', 'clever')",0.9447599,0.9939445,0.0491846
56,0.9017534,1.0476787,"('impractical', 'practical')",0.9017534,1.0476787,0.1459253
57,-2.9176521,-2.9069483,"('unimaginative', 'imaginative')",-2.9176521,-2.9069483,0.0107038
58,-0.27783728,-0.28335866,"('undiscriminating', 'discriminating')",-0.2778373,-0.2833587,-0.0055214
59,-0.24341026,-0.24509141,"('foolish', 'wise')",-0.2434103,-0.2450914,-0.0016811
60,1.1757501,1.3722531,"('inefficient', 'efficient')",1.1757501,1.3722531,0.196503
61,0.0316884,-0.20857345,"('illogical', 'logical')",0.0316884,-0.2085734,-0.2402618
62,1.2419443,1.2806861,"('incompetent', 'brilliant')",1.2419443,1.2806861,0.0387418
63,0.578895,0.5937606,"('unperceptive', 'insightful')",0.578895,0.5937606,0.0148656
64,-5.9947567,-5.8460193,"('shy', 'confident')",-5.9947567,-5.8460193,0.1487374
65,0.5435841,0.5778647,"('insecure', 'secure')",0.5435841,0.5778647,0.0342806
66,-0.75443816,-0.9543541,"('inactive', 'active')",-0.7544382,-0.9543541,-0.1999159
67,-0.5232427,-0.40495613,"('doubtful', 'determined')",-0.5232427,-0.4049561,0.1182866
68,-0.5700913,-0.567806,"('dependent', 'independent')",-0.5700913,-0.567806,0.0022853
69,-1.7008407,-1.8292061,"('lazy', 'industrious')",-1.7008407,-1.8292061,-0.1283654
70,0.9542623,0.9388669,"('lethargic', 'energetic')",0.9542623,0.9388669,-0.0153954
71,0.40136212,0.4150737,"('diffident', 'self-confident')",0.4013621,0.4150737,0.0137116
72,0.638028,0.71466297,"('unambitious', 'ambitious')",0.638028,0.714663,0.076635
73,-3.4215543,-3.3825161,"('helpless', 'self-reliant')",-3.4215543,-3.3825161,0.0390382
74,-0.06466198,-0.096192464,"('undedicated', 'dedicated')",-0.064662,-0.0961925,-0.0315305
75,-1.1145355,-0.9844047,"('meek', 'impulsive')",-1.1145355,-0.9844047,0.1301308
76,0.9226073,0.802224,"('anxious', 'daring')",0.9226073,0.802224,-0.1203833
77,-0.63857436,-0.5289954,"('unmotivated', 'motivated')",-0.6385744,-0.5289954,0.109579
78,-0.34592935,-0.3584408,"('nonresilient', 'resilient')",-0.3459294,-0.3584408,-0.0125114
79,-0.6175808,-0.6096852,"('wavering', 'unwavering')",-0.6175808,-0.6096852,0.0078956
80,-0.005918253,-0.1388833,"('dominated', 'dominating')",-0.0059183,-0.1388833,-0.132965
81,0.11387459,0.15201406,"('submissive', 'aggressive')",0.1138746,0.1520141,0.0381395
82,5.8433175,5.9093704,"('poor', 'rich')",5.8433175,5.9093704,0.0660529
83,-0.3059587,-0.3246292,"('powerless', 'powerful')",-0.3059587,-0.3246292,-0.0186705
84,0.06588739,-0.041470304,"('inferior', 'superior')",0.0658874,-0.0414703,-0.1073577
85,-1.1851944,-1.1866232,"('insignificant', 'prestigious')",-1.1851944,-1.1866232,-0.0014288
86,0.7092522,0.58996797,"('uninfluential', 'influential')",0.7092522,0.589968,-0.1192842
87,-0.3317264,-0.37649778,"('unsuccessful', 'successful')",-0.3317264,-0.3764978,-0.0447714
88,0.033334073,0.116681844,"('low', 'eminent')",0.0333341,0.1166818,0.0833477
