,swine_male,swine_female,tuple,average_male,average_female,female-male
0,-0.45270684,-0.5446526,"('unsociable', 'sociable')",-0.4527068,-0.5446526,-0.0919458
1,-0.67283416,-0.94444793,"('unfriendly', 'friendly')",-0.6728342,-0.9444479,-0.2716137
2,0.3600359,0.21053419,"('unlikable', 'likable')",0.3600359,0.2105342,-0.1495017
3,-0.30648825,-0.119730935,"('repellent', 'pleasant')",-0.3064882,-0.1197309,0.1867573
4,-4.1314106,-4.1858907,"('disliked', 'liked')",-4.1314106,-4.1858907,-0.0544801
5,-1.0772154,-1.0364445,"('distant', 'outgoing')",-1.0772154,-1.0364445,0.0407709
6,-0.86270654,-0.8887049,"('distant', 'open')",-0.8627065,-0.8887049,-0.0259984
7,0.17337893,0.18665342,"('insensitive', 'sensitive')",0.1733789,0.1866534,0.0132745
8,-0.42654997,-0.6740752,"('unaffectionate', 'affectionate')",-0.42655,-0.6740752,-0.2475252
9,-0.2716418,-0.49515733,"('unaffectionate', 'caring')",-0.2716418,-0.4951573,-0.2235155
10,-0.043650135,-0.096895956,"('unsympathetic', 'sympathetic')",-0.0436501,-0.096896,-0.0532459
11,0.34209356,0.36580983,"('unhelpful', 'helpful')",0.3420936,0.3658098,0.0237162
12,-1.2219151,-1.2214837,"('unsupportive', 'supportive')",-1.2219151,-1.2214837,0.0004314
13,-0.27154,-0.32453492,"('impolite', 'polite')",-0.27154,-0.3245349,-0.0529949
14,-0.06716956,-0.1295249,"('antisocial', 'social')",-0.0671696,-0.1295249,-0.0623553
15,0.6522994,0.45526955,"('boring', 'funny')",0.6522994,0.4552695,-0.1970299
16,-1.0616078,-1.0755632,"('unpopular', 'popular')",-1.0616078,-1.0755632,-0.0139554
17,-0.64892834,-0.546737,"('nasty', 'nice')",-0.6489283,-0.546737,0.1021913
18,-0.9855639,-1.0161273,"('disagreeable', 'welcoming')",-0.9855639,-1.0161273,-0.0305634
19,-0.66764575,-0.68211776,"('inhospitable', 'hospitable')",-0.6676458,-0.6821178,-0.014472
20,0.24683872,0.32184097,"('rough', 'thoughtful')",0.2468387,0.321841,0.0750023
21,0.021604043,0.08441177,"('immoral', 'moral')",0.021604,0.0844118,0.0628078
22,-0.49028102,-0.48287022,"('untrustworthy', 'trustworthy')",-0.490281,-0.4828702,0.0074108
23,3.4970922,3.4122505,"('insincere', 'sincere')",3.4970922,3.4122505,-0.0848417
24,0.18249826,0.0001007691,"('dishonest', 'honest')",0.1824983,0.0001008,-0.1823975
25,0.033227343,-0.020685982,"('egoistic', 'altruistic')",0.0332273,-0.020686,-0.0539133
26,0.7986226,0.43761542,"('hardhearted', 'benevolent')",0.7986226,0.4376154,-0.3610072
27,0.7402298,0.66871995,"('hardhearted', 'softhearted')",0.7402298,0.6687199,-0.0715099
28,0.3368629,0.07008383,"('disloyal', 'loyal')",0.3368629,0.0700838,-0.2667791
29,-0.80197746,-0.8026058,"('unfair', 'fair')",-0.8019775,-0.8026058,-0.0006283
30,0.09164681,-0.064586766,"('intolerant', 'tolerant')",0.0916468,-0.0645868,-0.1562336
31,-1.9275936,-1.9342821,"('evil', 'good')",-1.9275936,-1.9342821,-0.0066885
32,1.0519221,0.7771156,"('unkind', 'kind')",1.0519221,0.7771156,-0.2748065
33,-0.06113556,-0.17028847,"('wrong', 'right')",-0.0611356,-0.1702885,-0.1091529
34,2.342858,2.4991038,"('mean', 'honorable')",2.3428581,2.4991038,0.1562457
35,-0.87540025,-0.9507147,"('corrupt', 'incorrupt')",-0.8754002,-0.9507147,-0.0753145
36,-1.5446801,-1.6479865,"('hostile', 'amicable')",-1.5446801,-1.6479865,-0.1033064
37,0.40495366,0.3559347,"('fake', 'genuine')",0.4049537,0.3559347,-0.049019
38,-0.13036014,-0.14688335,"('untruthful', 'truthful')",-0.1303601,-0.1468834,-0.0165233
39,0.38493457,0.28188175,"('exploitative', 'cooperative')",0.3849346,0.2818817,-0.1030529
40,-1.4244123,-1.5010154,"('stingy', 'generous')",-1.4244123,-1.5010154,-0.0766031
41,0.1073474,-0.06571584,"('unforgiving', 'forgiving')",0.1073474,-0.0657158,-0.1730632
42,-1.2597475,-1.2632993,"('unreliable', 'reliable')",-1.2597475,-1.2632993,-0.0035518
43,-0.037064515,-0.12923248,"('irresponsible', 'responsible')",-0.0370645,-0.1292325,-0.092168
44,-0.73233956,-0.7262273,"('prejudiced', 'unprejudiced')",-0.7323396,-0.7262273,0.0061123
45,-0.2390183,-0.36063114,"('incompetent', 'competent')",-0.2390183,-0.3606311,-0.1216128
46,-0.47090897,-0.39168042,"('uncompetitive', 'competitive')",-0.470909,-0.3916804,0.0792286
47,2.645874,2.6696289,"('stupid', 'smart')",2.645874,2.6696289,0.0237549
48,-0.0638175,-0.0907235,"('unintelligent', 'intelligent')",-0.0638175,-0.0907235,-0.026906
49,-0.41359264,-0.28240797,"('unable', 'able')",-0.4135926,-0.282408,0.1311846
50,-0.09246595,-0.131286,"('clumsy', 'skillful')",-0.092466,-0.131286,-0.03882
51,-0.31987968,-0.3640681,"('uneducated', 'educated')",-0.3198797,-0.3640681,-0.0441884
52,-0.94533896,-1.181669,"('irrational', 'rational')",-0.945339,-1.181669,-0.23633
53,-1.4355341,-1.5822942,"('uncreative', 'creative')",-1.4355341,-1.5822942,-0.1467601
54,-0.01514082,-0.14872941,"('incapable', 'capable')",-0.0151408,-0.1487294,-0.1335886
55,-0.25146207,-0.21722504,"('incompetent', 'clever')",-0.2514621,-0.217225,0.0342371
56,0.9133092,0.92918587,"('impractical', 'practical')",0.9133092,0.9291859,0.0158767
57,-1.9052564,-2.039197,"('unimaginative', 'imaginative')",-1.9052564,-2.039197,-0.1339406
58,-0.41537082,-0.39693508,"('undiscriminating', 'discriminating')",-0.4153708,-0.3969351,0.0184357
59,-0.55869436,-0.7033152,"('foolish', 'wise')",-0.5586944,-0.7033152,-0.1446208
60,0.28362873,0.45680258,"('inefficient', 'efficient')",0.2836287,0.4568026,0.1731739
61,-0.7117964,-0.848689,"('illogical', 'logical')",-0.7117964,-0.848689,-0.1368926
62,-0.08568011,-0.043476272,"('incompetent', 'brilliant')",-0.0856801,-0.0434763,0.0422038
63,-0.037277948,-0.009281451,"('unperceptive', 'insightful')",-0.0372779,-0.0092815,0.0279964
64,-3.578786,-3.5330002,"('shy', 'confident')",-3.5787859,-3.5330002,0.0457857
65,0.21008961,0.23418781,"('insecure', 'secure')",0.2100896,0.2341878,0.0240982
66,-0.8900772,-0.96890765,"('inactive', 'active')",-0.8900772,-0.9689077,-0.0788305
67,0.36277205,0.22609046,"('doubtful', 'determined')",0.362772,0.2260905,-0.1366815
68,-1.151949,-1.0259715,"('dependent', 'independent')",-1.151949,-1.0259715,0.1259775
69,-0.87383145,-0.9204884,"('lazy', 'industrious')",-0.8738315,-0.9204884,-0.0466569
70,0.36215553,0.4094642,"('lethargic', 'energetic')",0.3621555,0.4094642,0.0473087
71,-0.23429787,-0.290182,"('diffident', 'self-confident')",-0.2342979,-0.290182,-0.0558841
72,-1.1217903,-1.2036834,"('unambitious', 'ambitious')",-1.1217903,-1.2036834,-0.0818931
73,-1.815441,-1.8034549,"('helpless', 'self-reliant')",-1.815441,-1.8034549,0.0119861
74,0.54970795,0.42718923,"('undedicated', 'dedicated')",0.5497079,0.4271892,-0.1225187
75,-0.55612195,-0.49096486,"('meek', 'impulsive')",-0.5561219,-0.4909649,0.065157
76,0.19015917,0.24577884,"('anxious', 'daring')",0.1901592,0.2457788,0.0556196
77,-0.94372386,-0.7401687,"('unmotivated', 'motivated')",-0.9437239,-0.7401687,0.2035552
78,-0.28024435,-0.1814821,"('nonresilient', 'resilient')",-0.2802444,-0.1814821,0.0987623
79,-0.14861757,-0.1792114,"('wavering', 'unwavering')",-0.1486176,-0.1792114,-0.0305938
80,0.5582045,0.557624,"('dominated', 'dominating')",0.5582045,0.557624,-0.0005805
81,-0.11252205,-0.16242355,"('submissive', 'aggressive')",-0.1125221,-0.1624236,-0.0499015
82,2.3151946,2.2674348,"('poor', 'rich')",2.3151946,2.2674348,-0.0477598
83,-0.31805536,-0.35972473,"('powerless', 'powerful')",-0.3180554,-0.3597247,-0.0416693
84,-0.7199102,-0.7491867,"('inferior', 'superior')",-0.7199102,-0.7491867,-0.0292765
85,-0.8383478,-1.036379,"('insignificant', 'prestigious')",-0.8383478,-1.036379,-0.1980312
86,-0.58186275,-0.70611423,"('uninfluential', 'influential')",-0.5818627,-0.7061142,-0.1242515
87,-0.014173945,-0.069684446,"('unsuccessful', 'successful')",-0.0141739,-0.0696844,-0.0555105
88,-0.5427714,-0.7206117,"('low', 'eminent')",-0.5427714,-0.7206117,-0.1778403
