,procurement_male,procurement_female,tuple,average_male,average_female,female-male
0,0.33382487,0.12733825,"('unsociable', 'sociable')",0.3338249,0.1273382,-0.2064867
1,1.3158664,1.250861,"('unfriendly', 'friendly')",1.3158664,1.250861,-0.0650054
2,0.45360726,0.5841196,"('unlikable', 'likable')",0.4536073,0.5841196,0.1305123
3,0.47972515,0.6569553,"('repellent', 'pleasant')",0.4797252,0.6569553,0.1772301
4,-7.1770554,-7.2693644,"('disliked', 'liked')",-7.1770554,-7.2693644,-0.092309
5,-0.6427909,-0.4581249,"('distant', 'outgoing')",-0.6427909,-0.4581249,0.184666
6,-0.29323387,-0.15414622,"('distant', 'open')",-0.2932339,-0.1541462,0.1390877
7,0.7470814,0.75557154,"('insensitive', 'sensitive')",0.7470814,0.7555715,0.0084901
8,1.0172071,1.0215347,"('unaffectionate', 'affectionate')",1.0172071,1.0215347,0.0043276
9,1.7554433,1.8164766,"('unaffectionate', 'caring')",1.7554433,1.8164766,0.0610333
10,0.7990346,0.9050776,"('unsympathetic', 'sympathetic')",0.7990346,0.9050776,0.106043
11,2.1051793,2.0929115,"('unhelpful', 'helpful')",2.1051793,2.0929115,-0.0122678
12,-1.6530515,-1.6227695,"('unsupportive', 'supportive')",-1.6530515,-1.6227695,0.030282
13,0.1297657,0.100468695,"('impolite', 'polite')",0.1297657,0.1004687,-0.029297
14,0.4888072,0.27033326,"('antisocial', 'social')",0.4888072,0.2703333,-0.2184739
15,0.45661134,0.39359158,"('boring', 'funny')",0.4566113,0.3935916,-0.0630197
16,-0.1381228,-0.114119,"('unpopular', 'popular')",-0.1381228,-0.114119,0.0240038
17,-0.15191308,-0.16108821,"('nasty', 'nice')",-0.1519131,-0.1610882,-0.0091751
18,-0.8480551,-0.8690729,"('disagreeable', 'welcoming')",-0.8480551,-0.8690729,-0.0210178
19,-0.91946906,-0.78466713,"('inhospitable', 'hospitable')",-0.9194691,-0.7846671,0.134802
20,1.2032971,1.0131999,"('rough', 'thoughtful')",1.2032971,1.0131999,-0.1900972
21,0.016301915,0.06337159,"('immoral', 'moral')",0.0163019,0.0633716,0.0470697
22,-0.6014036,-0.58350414,"('untrustworthy', 'trustworthy')",-0.6014036,-0.5835041,0.0178995
23,6.6549706,6.656444,"('insincere', 'sincere')",6.6549706,6.6564441,0.0014735
24,1.3492404,1.4425453,"('dishonest', 'honest')",1.3492404,1.4425453,0.0933049
25,1.1440382,0.97714776,"('egoistic', 'altruistic')",1.1440382,0.9771478,-0.1668904
26,1.4638399,1.0887583,"('hardhearted', 'benevolent')",1.4638399,1.0887583,-0.3750816
27,1.2100832,1.1063161,"('hardhearted', 'softhearted')",1.2100832,1.1063161,-0.1037671
28,1.2416068,1.1222607,"('disloyal', 'loyal')",1.2416068,1.1222607,-0.1193461
29,-0.76666147,-0.8453766,"('unfair', 'fair')",-0.7666615,-0.8453766,-0.0787151
30,1.3530498,1.2486557,"('intolerant', 'tolerant')",1.3530498,1.2486557,-0.1043941
31,-1.8887975,-1.8289363,"('evil', 'good')",-1.8887975,-1.8289363,0.0598612
32,1.2666031,1.2220886,"('unkind', 'kind')",1.2666031,1.2220886,-0.0445145
33,-0.23841947,-0.29227367,"('wrong', 'right')",-0.2384195,-0.2922737,-0.0538542
34,4.8575916,5.0096354,"('mean', 'honorable')",4.8575916,5.0096354,0.1520438
35,-1.2378225,-1.3496464,"('corrupt', 'incorrupt')",-1.2378225,-1.3496464,-0.1118239
36,-0.65433174,-0.819462,"('hostile', 'amicable')",-0.6543317,-0.819462,-0.1651303
37,0.2771948,0.3164244,"('fake', 'genuine')",0.2771948,0.3164244,0.0392296
38,0.23701608,0.16727152,"('untruthful', 'truthful')",0.2370161,0.1672715,-0.0697446
39,-0.012189365,-0.05679307,"('exploitative', 'cooperative')",-0.0121894,-0.0567931,-0.0446037
40,-2.1721036,-2.1152565,"('stingy', 'generous')",-2.1721036,-2.1152565,0.0568471
41,0.027573606,-0.115278356,"('unforgiving', 'forgiving')",0.0275736,-0.1152784,-0.142852
42,-2.825879,-2.6037076,"('unreliable', 'reliable')",-2.8258791,-2.6037076,0.2221715
43,1.0697769,1.1529189,"('irresponsible', 'responsible')",1.0697769,1.1529189,0.083142
44,-1.2831672,-1.2704265,"('prejudiced', 'unprejudiced')",-1.2831672,-1.2704265,0.0127407
45,0.22447428,0.22581916,"('incompetent', 'competent')",0.2244743,0.2258192,0.0013449
46,-0.74897057,-0.681955,"('uncompetitive', 'competitive')",-0.7489706,-0.681955,0.0670156
47,5.7569375,5.890481,"('stupid', 'smart')",5.7569375,5.890481,0.1335435
48,0.89879495,0.8630252,"('unintelligent', 'intelligent')",0.8987949,0.8630252,-0.0357697
49,0.3778289,0.4454771,"('unable', 'able')",0.3778289,0.4454771,0.0676482
50,-0.3153443,-0.21343303,"('clumsy', 'skillful')",-0.3153443,-0.213433,0.1019113
51,-0.048180915,-0.009270571,"('uneducated', 'educated')",-0.0481809,-0.0092706,0.0389103
52,-0.5244127,-0.6721916,"('irrational', 'rational')",-0.5244127,-0.6721916,-0.1477789
53,0.6404619,0.6188531,"('uncreative', 'creative')",0.6404619,0.6188531,-0.0216088
54,1.0602368,1.1829889,"('incapable', 'capable')",1.0602368,1.1829889,0.1227521
55,0.9315499,0.96884924,"('incompetent', 'clever')",0.9315499,0.9688492,0.0372993
56,1.0361181,1.0495903,"('impractical', 'practical')",1.0361181,1.0495903,0.0134722
57,-2.7540486,-2.6481187,"('unimaginative', 'imaginative')",-2.7540486,-2.6481187,0.1059299
58,0.08375402,0.050821852,"('undiscriminating', 'discriminating')",0.083754,0.0508219,-0.0329321
59,-0.029191598,-0.03865013,"('foolish', 'wise')",-0.0291916,-0.0386501,-0.0094585
60,1.0893244,1.193874,"('inefficient', 'efficient')",1.0893244,1.193874,0.1045496
61,0.28287327,0.039276496,"('illogical', 'logical')",0.2828733,0.0392765,-0.2435968
62,1.024966,1.2411997,"('incompetent', 'brilliant')",1.024966,1.2411997,0.2162337
63,0.045755982,0.17181571,"('unperceptive', 'insightful')",0.045756,0.1718157,0.1260597
64,-6.4368916,-6.3911443,"('shy', 'confident')",-6.4368916,-6.3911443,0.0457473
65,0.07630861,0.22857529,"('insecure', 'secure')",0.0763086,0.2285753,0.1522667
66,-0.4188969,-0.41115767,"('inactive', 'active')",-0.4188969,-0.4111577,0.0077392
67,-0.20680591,-0.243645,"('doubtful', 'determined')",-0.2068059,-0.243645,-0.0368391
68,-1.065365,-0.92275214,"('dependent', 'independent')",-1.065365,-0.9227521,0.1426129
69,-1.3203919,-1.4550402,"('lazy', 'industrious')",-1.3203919,-1.4550402,-0.1346483
70,0.9240196,1.0602636,"('lethargic', 'energetic')",0.9240196,1.0602636,0.136244
71,0.48587677,0.48017156,"('diffident', 'self-confident')",0.4858768,0.4801716,-0.0057052
72,0.58339,0.82837987,"('unambitious', 'ambitious')",0.58339,0.8283799,0.2449899
73,-3.5892432,-3.4525619,"('helpless', 'self-reliant')",-3.5892432,-3.4525619,0.1366813
74,-0.25913107,-0.23297332,"('undedicated', 'dedicated')",-0.2591311,-0.2329733,0.0261578
75,-1.084409,-0.9040041,"('meek', 'impulsive')",-1.084409,-0.9040041,0.1804049
76,0.046617694,0.20318231,"('anxious', 'daring')",0.0466177,0.2031823,0.1565646
77,-0.73027647,-0.70294464,"('unmotivated', 'motivated')",-0.7302765,-0.7029446,0.0273319
78,-0.7842512,-0.7508712,"('nonresilient', 'resilient')",-0.7842512,-0.7508712,0.03338
79,-0.5050281,-0.45004752,"('wavering', 'unwavering')",-0.5050281,-0.4500475,0.0549806
80,-0.49007502,-0.5197577,"('dominated', 'dominating')",-0.490075,-0.5197577,-0.0296827
81,-0.2517778,-0.1074842,"('submissive', 'aggressive')",-0.2517778,-0.1074842,0.1442936
82,6.789415,7.113295,"('poor', 'rich')",6.7894149,7.1132951,0.3238802
83,-0.52021813,-0.57845914,"('powerless', 'powerful')",-0.5202181,-0.5784591,-0.058241
84,0.4894767,0.4125485,"('inferior', 'superior')",0.4894767,0.4125485,-0.0769282
85,-0.23424329,-0.54977036,"('insignificant', 'prestigious')",-0.2342433,-0.5497704,-0.3155271
86,0.322287,0.36097345,"('uninfluential', 'influential')",0.322287,0.3609734,0.0386864
87,-0.08138648,-0.012748681,"('unsuccessful', 'successful')",-0.0813865,-0.0127487,0.0686378
88,0.46324915,0.3417292,"('low', 'eminent')",0.4632491,0.3417292,-0.1215199
