,webpage_male,webpage_female,tuple,average_male,average_female,female-male
0,0.22812206,-0.061478503,"('unsociable', 'sociable')",0.2281221,-0.0614785,-0.2896006
1,0.2730932,0.31734478,"('unfriendly', 'friendly')",0.2730932,0.3173448,0.0442516
2,-0.27427846,-0.28311244,"('unlikable', 'likable')",-0.2742785,-0.2831124,-0.0088339
3,-0.091747686,-0.071129456,"('repellent', 'pleasant')",-0.0917477,-0.0711295,0.0206182
4,-3.322572,-3.3983982,"('disliked', 'liked')",-3.322572,-3.3983982,-0.0758262
5,-0.046626523,0.12452392,"('distant', 'outgoing')",-0.0466265,0.1245239,0.1711504
6,0.33854872,0.5640121,"('distant', 'open')",0.3385487,0.5640121,0.2254634
7,0.7171924,0.63833994,"('insensitive', 'sensitive')",0.7171924,0.6383399,-0.0788525
8,-0.4803761,-0.48695067,"('unaffectionate', 'affectionate')",-0.4803761,-0.4869507,-0.0065746
9,-0.09571529,-0.16726014,"('unaffectionate', 'caring')",-0.0957153,-0.1672601,-0.0715448
10,-0.40118,-0.6185746,"('unsympathetic', 'sympathetic')",-0.40118,-0.6185746,-0.2173946
11,1.4354703,1.232509,"('unhelpful', 'helpful')",1.4354703,1.232509,-0.2029613
12,-0.65407896,-0.6590726,"('unsupportive', 'supportive')",-0.654079,-0.6590726,-0.0049936
13,0.24598785,-0.0077539477,"('impolite', 'polite')",0.2459878,-0.0077539,-0.2537417
14,0.86136514,0.6196349,"('antisocial', 'social')",0.8613651,0.6196349,-0.2417302
15,0.06497798,-0.08108279,"('boring', 'funny')",0.064978,-0.0810828,-0.1460608
16,0.24643038,0.36959115,"('unpopular', 'popular')",0.2464304,0.3695911,0.1231607
17,0.05288642,0.14519185,"('nasty', 'nice')",0.0528864,0.1451918,0.0923054
18,-0.21467434,-0.1248182,"('disagreeable', 'welcoming')",-0.2146743,-0.1248182,0.0898561
19,-0.16430914,-0.080103695,"('inhospitable', 'hospitable')",-0.1643091,-0.0801037,0.0842054
20,0.5708446,0.5075711,"('rough', 'thoughtful')",0.5708446,0.5075711,-0.0632735
21,0.013090499,-0.25596806,"('immoral', 'moral')",0.0130905,-0.2559681,-0.2690586
22,0.83358306,0.6669952,"('untrustworthy', 'trustworthy')",0.8335831,0.6669952,-0.1665879
23,3.0745459,3.0269895,"('insincere', 'sincere')",3.0745459,3.0269895,-0.0475564
24,-0.006663073,-0.120759204,"('dishonest', 'honest')",-0.0066631,-0.1207592,-0.1140961
25,-0.0068602264,-0.040186014,"('egoistic', 'altruistic')",-0.0068602,-0.040186,-0.0333258
26,-0.27219835,-0.3273671,"('hardhearted', 'benevolent')",-0.2721983,-0.3273671,-0.0551688
27,-0.7082338,-0.7673248,"('hardhearted', 'softhearted')",-0.7082338,-0.7673248,-0.059091
28,-0.6209476,-0.7862391,"('disloyal', 'loyal')",-0.6209476,-0.7862391,-0.1652915
29,-0.67014855,-0.72463083,"('unfair', 'fair')",-0.6701486,-0.7246308,-0.0544822
30,0.9462106,0.69683915,"('intolerant', 'tolerant')",0.9462106,0.6968392,-0.2493714
31,-1.5852468,-1.3330497,"('evil', 'good')",-1.5852468,-1.3330497,0.2521971
32,0.2618654,0.088740624,"('unkind', 'kind')",0.2618654,0.0887406,-0.1731248
33,-0.40353137,-0.36047354,"('wrong', 'right')",-0.4035314,-0.3604735,0.0430579
34,2.328241,2.4626462,"('mean', 'honorable')",2.3282411,2.4626462,0.1344051
35,-0.38337553,-0.32022828,"('corrupt', 'incorrupt')",-0.3833755,-0.3202283,0.0631472
36,-1.1934904,-1.0684577,"('hostile', 'amicable')",-1.1934904,-1.0684577,0.1250327
37,-0.45984134,-0.46288583,"('fake', 'genuine')",-0.4598413,-0.4628858,-0.0030445
38,0.07073078,-0.009611037,"('untruthful', 'truthful')",0.0707308,-0.009611,-0.0803418
39,1.133347,0.9989758,"('exploitative', 'cooperative')",1.133347,0.9989758,-0.1343712
40,-1.2232919,-1.0933788,"('stingy', 'generous')",-1.2232919,-1.0933788,0.1299131
41,-0.35546875,-0.44029057,"('unforgiving', 'forgiving')",-0.3554688,-0.4402906,-0.0848218
42,-0.61529464,-0.6525883,"('unreliable', 'reliable')",-0.6152946,-0.6525883,-0.0372937
43,0.5978726,0.5063349,"('irresponsible', 'responsible')",0.5978726,0.5063349,-0.0915377
44,-0.63209397,-0.5713634,"('prejudiced', 'unprejudiced')",-0.632094,-0.5713634,0.0607306
45,-0.49935058,-0.56579804,"('incompetent', 'competent')",-0.4993506,-0.565798,-0.0664474
46,0.44689092,0.28471076,"('uncompetitive', 'competitive')",0.4468909,0.2847108,-0.1621801
47,2.5364745,2.6516802,"('stupid', 'smart')",2.5364745,2.6516802,0.1152057
48,-0.7205103,-0.8901733,"('unintelligent', 'intelligent')",-0.7205103,-0.8901733,-0.169663
49,0.029441327,0.05516959,"('unable', 'able')",0.0294413,0.0551696,0.0257283
50,0.23002422,0.26927453,"('clumsy', 'skillful')",0.2300242,0.2692745,0.0392503
51,0.604191,0.40566635,"('uneducated', 'educated')",0.604191,0.4056664,-0.1985246
52,-0.8831374,-0.8871323,"('irrational', 'rational')",-0.8831374,-0.8871323,-0.0039949
53,0.035613865,-0.008327635,"('uncreative', 'creative')",0.0356139,-0.0083276,-0.0439415
54,1.2101982,1.2652661,"('incapable', 'capable')",1.2101982,1.2652661,0.0550679
55,0.7976042,0.57521534,"('incompetent', 'clever')",0.7976042,0.5752153,-0.2223889
56,1.67052,1.456119,"('impractical', 'practical')",1.6705199,1.4561189,-0.214401
57,-1.1359811,-1.2366526,"('unimaginative', 'imaginative')",-1.1359811,-1.2366526,-0.1006715
58,0.76923394,0.6872121,"('undiscriminating', 'discriminating')",0.7692339,0.6872121,-0.0820218
59,-0.20553488,-0.13622086,"('foolish', 'wise')",-0.2055349,-0.1362209,0.069314
60,0.9766694,0.7489488,"('inefficient', 'efficient')",0.9766694,0.7489488,-0.2277206
61,0.23677191,-0.016339988,"('illogical', 'logical')",0.2367719,-0.01634,-0.2531119
62,0.098446384,0.027072262,"('incompetent', 'brilliant')",0.0984464,0.0270723,-0.0713741
63,1.2199233,1.1696548,"('unperceptive', 'insightful')",1.2199233,1.1696548,-0.0502685
64,-1.7735276,-1.8962626,"('shy', 'confident')",-1.7735276,-1.8962626,-0.122735
65,0.42114025,0.18582319,"('insecure', 'secure')",0.4211403,0.1858232,-0.2353171
66,0.34527507,0.44279557,"('inactive', 'active')",0.3452751,0.4427956,0.0975205
67,0.49796933,0.42834517,"('doubtful', 'determined')",0.4979693,0.4283452,-0.0696241
