,rollins_male,rollins_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.7846357,0.74059016,"('unsociable', 'sociable')",-0.3061593,-0.5550704,0.2392382,0.0927599,-0.1464783
1,1.1166351,1.121392,"('unfriendly', 'friendly')",1.6969182,1.7147017,1.4067767,1.4180468,0.0112701
2,0.57802343,0.6245364,"('unlikable', 'likable')",0.095325805,0.21822149,0.3366746,0.4213789,0.0847043
3,0.27444848,0.4336402,"('repellent', 'pleasant')",-0.14789224,-0.119071074,0.0632781,0.1572846,0.0940065
4,-1.2902855,-1.3969052,"('disliked', 'liked')",-6.3886147,-6.40544,-3.8394501,-3.9011726,-0.0617225
5,-0.47468418,-0.52356005,"('distant', 'outgoing')",-0.17596526,-0.025061693,-0.3253247,-0.2743109,0.0510138
6,-0.5721864,-0.5954453,"('distant', 'open')",0.23018073,0.33971304,-0.1710028,-0.1278661,0.0431367
7,1.5184,1.6300302,"('insensitive', 'sensitive')",0.39221737,0.41078323,0.9553087,1.0204067,0.065098
8,-0.21755968,-0.20200554,"('unaffectionate', 'affectionate')",0.74739784,0.8207771,0.2649191,0.3093858,0.0444667
9,1.1532748,1.2436523,"('unaffectionate', 'caring')",1.0729316,1.196741,1.1131032,1.2201967,0.1070935
10,1.3257889,1.495533,"('unsympathetic', 'sympathetic')",-0.28210187,-0.41041926,0.5218435,0.5425569,0.0207134
11,0.5656884,0.7052741,"('unhelpful', 'helpful')",2.2438755,2.3029113,1.4047819,1.5040927,0.0993108
12,0.7765504,0.91397285,"('unsupportive', 'supportive')",-1.8335009,-1.8016059,-0.5284752,-0.4438165,0.0846587
13,0.7415756,0.70886374,"('impolite', 'polite')",-0.6001425,-0.70734394,0.0707166,0.0007599,-0.0699567
14,1.4292918,1.3989474,"('antisocial', 'social')",-1.0582695,-1.1590519,0.1855112,0.1199477,-0.0655635
15,0.07118034,0.02040381,"('boring', 'funny')",0.17240153,0.21350417,0.1217909,0.116954,-0.0048369
16,-1.7033631,-1.7493516,"('unpopular', 'popular')",0.59531957,0.5755819,-0.5540217,-0.5868849,-0.0328632
17,-1.5079089,-1.5060514,"('nasty', 'nice')",-0.51865274,-0.3998512,-1.0132809,-0.9529513,0.0603296
18,-0.61998844,-0.6543781,"('disagreeable', 'welcoming')",-0.5409692,-0.5714651,-0.5804788,-0.6129216,-0.0324428
19,-0.9090215,-0.9194094,"('inhospitable', 'hospitable')",-0.29295513,-0.11625676,-0.6009883,-0.5178331,0.0831552
20,0.69861007,0.7669052,"('rough', 'thoughtful')",1.411559,1.3945571,1.0550845,1.0807312,0.0256467
21,2.5136094,2.55856,"('immoral', 'moral')",-0.4360762,-0.52419245,1.0387666,1.0171838,-0.0215828
22,0.4604732,0.44194072,"('untrustworthy', 'trustworthy')",-0.9132738,-0.9666399,-0.2264003,-0.2623496,-0.0359493
23,1.5307763,1.6416271,"('insincere', 'sincere')",5.802363,5.8572593,3.6665697,3.7494431,0.0828734
24,1.7122395,1.6986896,"('dishonest', 'honest')",0.60714644,0.61505705,1.159693,1.1568733,-0.0028197
25,0.36546516,0.29731613,"('egoistic', 'altruistic')",1.1810766,1.1220751,0.7732709,0.7096956,-0.0635753
26,0.56163466,0.43337175,"('hardhearted', 'benevolent')",1.6208144,1.5579181,1.0912246,0.9956449,-0.0955797
27,0.9030863,0.90946287,"('hardhearted', 'softhearted')",1.368874,1.308869,1.1359801,1.1091659,-0.0268142
28,0.7754549,0.7671962,"('disloyal', 'loyal')",1.0932887,1.0237802,0.9343718,0.8954882,-0.0388836
29,0.24572495,0.2375481,"('unfair', 'fair')",-0.33400047,-0.414271,-0.0441378,-0.0883614,-0.0442236
30,1.491569,1.5748253,"('intolerant', 'tolerant')",1.2788523,1.2395967,1.3852108,1.4072111,0.0220003
31,-1.6468168,-1.745478,"('evil', 'good')",-1.0340556,-0.99558,-1.3404362,-1.3705291,-0.0300929
