,debtor_male,debtor_female,tuple,average_male,average_female,female-male
0,0.42612106,0.2363044,"('unsociable', 'sociable')",0.4261211,0.2363044,-0.1898167
1,-0.17245032,-0.28391162,"('unfriendly', 'friendly')",-0.1724503,-0.2839116,-0.1114613
2,0.6752405,0.6689686,"('unlikable', 'likable')",0.6752405,0.6689686,-0.0062719
3,0.09048595,0.042823322,"('repellent', 'pleasant')",0.090486,0.0428233,-0.0476627
4,-3.1188445,-2.9718344,"('disliked', 'liked')",-3.1188445,-2.9718344,0.1470101
5,-1.1221687,-1.0094639,"('distant', 'outgoing')",-1.1221687,-1.0094639,0.1127048
6,-1.3234959,-1.2536521,"('distant', 'open')",-1.3234959,-1.2536521,0.0698438
7,0.28109288,0.2902837,"('insensitive', 'sensitive')",0.2810929,0.2902837,0.0091908
8,0.13480552,0.0848916,"('unaffectionate', 'affectionate')",0.1348055,0.0848916,-0.0499139
9,0.5939127,0.5199826,"('unaffectionate', 'caring')",0.5939127,0.5199826,-0.0739301
10,0.14692166,-0.009070266,"('unsympathetic', 'sympathetic')",0.1469217,-0.0090703,-0.155992
11,1.6269724,1.5534987,"('unhelpful', 'helpful')",1.6269724,1.5534987,-0.0734737
12,-0.90017223,-0.86663085,"('unsupportive', 'supportive')",-0.9001722,-0.8666309,0.0335413
13,0.59366643,0.49293438,"('impolite', 'polite')",0.5936664,0.4929344,-0.100732
14,0.5149135,0.40865898,"('antisocial', 'social')",0.5149135,0.408659,-0.1062545
15,0.0640858,0.043953367,"('boring', 'funny')",0.0640858,0.0439534,-0.0201324
16,-0.6920947,-0.6738231,"('unpopular', 'popular')",-0.6920947,-0.6738231,0.0182716
17,-0.123631984,-0.10139614,"('nasty', 'nice')",-0.123632,-0.1013961,0.0222359
18,-1.1989334,-1.1559752,"('disagreeable', 'welcoming')",-1.1989334,-1.1559752,0.0429582
19,-0.8706826,-0.8159033,"('inhospitable', 'hospitable')",-0.8706826,-0.8159033,0.0547793
20,0.06055776,-0.035250902,"('rough', 'thoughtful')",0.0605578,-0.0352509,-0.0958087
21,0.48344913,0.5096891,"('immoral', 'moral')",0.4834491,0.5096891,0.02624
22,-1.1766362,-1.1954415,"('untrustworthy', 'trustworthy')",-1.1766362,-1.1954415,-0.0188053
23,3.5275927,3.2675133,"('insincere', 'sincere')",3.5275927,3.2675133,-0.2600794
24,0.32782054,0.26422256,"('dishonest', 'honest')",0.3278205,0.2642226,-0.0635979
25,0.31936586,0.2670905,"('egoistic', 'altruistic')",0.3193659,0.2670905,-0.0522754
26,0.92351913,0.7191125,"('hardhearted', 'benevolent')",0.9235191,0.7191125,-0.2044066
27,-0.1052542,-0.25268814,"('hardhearted', 'softhearted')",-0.1052542,-0.2526881,-0.1474339
28,0.73955905,0.5725129,"('disloyal', 'loyal')",0.7395591,0.5725129,-0.1670462
29,-1.3139225,-1.3639503,"('unfair', 'fair')",-1.3139225,-1.3639503,-0.0500278
30,0.5819635,0.5768094,"('intolerant', 'tolerant')",0.5819635,0.5768094,-0.0051541
