,paint_male,paint_female,tuple,average_male,average_female,female-male
0,-0.18672435,-0.15193477,"('unsociable', 'sociable')",-0.1867243,-0.1519348,0.0347895
1,1.6624265,1.6838244,"('unfriendly', 'friendly')",1.6624265,1.6838244,0.0213979
2,0.17529261,0.28787813,"('unlikable', 'likable')",0.1752926,0.2878781,0.1125855
3,0.25552753,0.3606173,"('repellent', 'pleasant')",0.2555275,0.3606173,0.1050898
4,-7.3822703,-7.492067,"('disliked', 'liked')",-7.3822703,-7.4920669,-0.1097966
5,-0.06682173,-0.11798891,"('distant', 'outgoing')",-0.0668217,-0.1179889,-0.0511672
6,0.3647362,0.23690851,"('distant', 'open')",0.3647362,0.2369085,-0.1278277
7,1.0530249,1.1521012,"('insensitive', 'sensitive')",1.0530249,1.1521012,0.0990763
8,1.5521935,1.4873987,"('unaffectionate', 'affectionate')",1.5521935,1.4873987,-0.0647948
9,1.7054803,1.7293936,"('unaffectionate', 'caring')",1.7054803,1.7293936,0.0239133
10,0.6253454,0.81251514,"('unsympathetic', 'sympathetic')",0.6253454,0.8125151,0.1871697
11,1.6345154,1.7845153,"('unhelpful', 'helpful')",1.6345154,1.7845153,0.1499999
12,-1.3000484,-1.1873274,"('unsupportive', 'supportive')",-1.3000484,-1.1873274,0.112721
13,-0.45866442,-0.18600574,"('impolite', 'polite')",-0.4586644,-0.1860057,0.2726587
14,0.08822705,0.24421601,"('antisocial', 'social')",0.088227,0.244216,0.155989
15,0.80937034,0.70491326,"('boring', 'funny')",0.8093703,0.7049133,-0.104457
16,-0.44743252,-0.44038072,"('unpopular', 'popular')",-0.4474325,-0.4403807,0.0070518
17,-0.11002595,-0.06888877,"('nasty', 'nice')",-0.1100259,-0.0688888,0.0411371
18,-0.7540151,-0.59411365,"('disagreeable', 'welcoming')",-0.7540151,-0.5941136,0.1599015
19,-0.10179754,-0.10017881,"('inhospitable', 'hospitable')",-0.1017975,-0.1001788,0.0016187
20,0.41442993,0.29612178,"('rough', 'thoughtful')",0.4144299,0.2961218,-0.1183081
21,-0.6796198,-0.3251816,"('immoral', 'moral')",-0.6796198,-0.3251816,0.3544382
22,-0.95133954,-0.9733118,"('untrustworthy', 'trustworthy')",-0.9513395,-0.9733118,-0.0219723
23,6.428868,6.677652,"('insincere', 'sincere')",6.4288678,6.6776519,0.2487841
24,1.4477932,1.3848144,"('dishonest', 'honest')",1.4477932,1.3848144,-0.0629788
25,0.905092,0.89734524,"('egoistic', 'altruistic')",0.905092,0.8973452,-0.0077468
26,1.7162359,1.6921484,"('hardhearted', 'benevolent')",1.7162359,1.6921484,-0.0240875
27,1.6715437,1.5042275,"('hardhearted', 'softhearted')",1.6715437,1.5042275,-0.1673162
28,1.5241412,1.3731349,"('disloyal', 'loyal')",1.5241412,1.3731349,-0.1510063
29,-0.37324098,-0.6317096,"('unfair', 'fair')",-0.373241,-0.6317096,-0.2584686
30,0.67330885,0.843941,"('intolerant', 'tolerant')",0.6733088,0.843941,0.1706322
31,-0.72516686,-0.90861225,"('evil', 'good')",-0.7251669,-0.9086123,-0.1834454
32,1.226405,1.2242323,"('unkind', 'kind')",1.226405,1.2242323,-0.0021727
33,-0.14461994,-0.22754323,"('wrong', 'right')",-0.1446199,-0.2275432,-0.0829233
34,4.51795,4.6839747,"('mean', 'honorable')",4.5179501,4.6839747,0.1660246
35,-0.51308715,-0.9793844,"('corrupt', 'incorrupt')",-0.5130872,-0.9793844,-0.4662972
36,-0.33447295,-0.6636058,"('hostile', 'amicable')",-0.334473,-0.6636058,-0.3291328
37,0.72001725,0.7043904,"('fake', 'genuine')",0.7200173,0.7043904,-0.0156269
38,-0.3229823,-0.22223483,"('untruthful', 'truthful')",-0.3229823,-0.2222348,0.1007475
39,-0.18458638,-0.11110955,"('exploitative', 'cooperative')",-0.1845864,-0.1111095,0.0734769
40,-1.4715155,-1.5799541,"('stingy', 'generous')",-1.4715155,-1.5799541,-0.1084386
41,0.4472578,0.4278481,"('unforgiving', 'forgiving')",0.4472578,0.4278481,-0.0194097
42,-2.7366555,-2.6881814,"('unreliable', 'reliable')",-2.7366555,-2.6881814,0.0484741
43,0.9129888,1.0650029,"('irresponsible', 'responsible')",0.9129888,1.0650029,0.1520141
44,-1.6428428,-1.6613986,"('prejudiced', 'unprejudiced')",-1.6428428,-1.6613986,-0.0185558
45,0.39545676,0.29193702,"('incompetent', 'competent')",0.3954568,0.291937,-0.1035198
46,-1.0859807,-1.0095836,"('uncompetitive', 'competitive')",-1.0859807,-1.0095836,0.0763971
47,5.073797,5.2082725,"('stupid', 'smart')",5.0737972,5.2082725,0.1344753
48,0.18108563,0.35546383,"('unintelligent', 'intelligent')",0.1810856,0.3554638,0.1743782
49,-0.5331713,-0.3494627,"('unable', 'able')",-0.5331713,-0.3494627,0.1837086
50,-0.3327887,-0.34830293,"('clumsy', 'skillful')",-0.3327887,-0.3483029,-0.0155142
51,0.03388568,0.16658413,"('uneducated', 'educated')",0.0338857,0.1665841,0.1326984
52,0.05459003,-0.210793,"('irrational', 'rational')",0.05459,-0.210793,-0.265383
53,0.6216592,0.5533892,"('uncreative', 'creative')",0.6216592,0.5533892,-0.06827
54,1.1035682,1.1949259,"('incapable', 'capable')",1.1035682,1.1949259,0.0913577
55,0.48593724,0.6881595,"('incompetent', 'clever')",0.4859372,0.6881595,0.2022223
56,-0.01633633,0.15743507,"('impractical', 'practical')",-0.0163363,0.1574351,0.1737714
57,-1.9842385,-2.074993,"('unimaginative', 'imaginative')",-1.9842385,-2.0749929,-0.0907544
58,0.62001604,0.65487134,"('undiscriminating', 'discriminating')",0.620016,0.6548713,0.0348553
59,0.051351085,0.013456254,"('foolish', 'wise')",0.0513511,0.0134563,-0.0378948
60,-0.31141713,0.10210083,"('inefficient', 'efficient')",-0.3114171,0.1021008,0.4135179
61,0.26908094,0.13514397,"('illogical', 'logical')",0.2690809,0.135144,-0.1339369
62,0.2081956,0.50734186,"('incompetent', 'brilliant')",0.2081956,0.5073419,0.2991463
63,0.027265806,0.23159035,"('unperceptive', 'insightful')",0.0272658,0.2315903,0.2043245
64,-7.139516,-7.023655,"('shy', 'confident')",-7.1395159,-7.0236549,0.115861
65,-0.3532679,-0.23018822,"('insecure', 'secure')",-0.3532679,-0.2301882,0.1230797
66,0.25434276,0.057611987,"('inactive', 'active')",0.2543428,0.057612,-0.1967308
67,-0.5183038,-0.42839646,"('doubtful', 'determined')",-0.5183038,-0.4283965,0.0899073
68,-1.5592878,-1.4259961,"('dependent', 'independent')",-1.5592878,-1.4259961,0.1332917
69,-1.4750233,-1.6667339,"('lazy', 'industrious')",-1.4750233,-1.6667339,-0.1917106
70,1.0190197,1.0637615,"('lethargic', 'energetic')",1.0190197,1.0637615,0.0447418
71,0.78018194,0.7693384,"('diffident', 'self-confident')",0.7801819,0.7693384,-0.0108435
72,0.6480943,0.82739973,"('unambitious', 'ambitious')",0.6480943,0.8273997,0.1793054
73,-3.0444753,-3.0037613,"('helpless', 'self-reliant')",-3.0444753,-3.0037613,0.040714
74,0.22256114,0.16827497,"('undedicated', 'dedicated')",0.2225611,0.168275,-0.0542861
75,-0.6224773,-0.7248424,"('meek', 'impulsive')",-0.6224773,-0.7248424,-0.1023651
76,0.004891094,0.21004364,"('anxious', 'daring')",0.0048911,0.2100436,0.2051525
77,-1.6410965,-1.4210296,"('unmotivated', 'motivated')",-1.6410965,-1.4210296,0.2200669
78,-0.5487193,-0.53542924,"('nonresilient', 'resilient')",-0.5487193,-0.5354292,0.0132901
79,0.28789508,0.1561974,"('wavering', 'unwavering')",0.2878951,0.1561974,-0.1316977
80,-0.1962815,-0.22995672,"('dominated', 'dominating')",-0.1962815,-0.2299567,-0.0336752
81,-0.58324575,-0.34750712,"('submissive', 'aggressive')",-0.5832458,-0.3475071,0.2357387
82,6.3327184,6.4106603,"('poor', 'rich')",6.3327184,6.4106603,0.0779419
83,-0.44380262,-0.38234338,"('powerless', 'powerful')",-0.4438026,-0.3823434,0.0614592
84,0.50710154,0.40129355,"('inferior', 'superior')",0.5071015,0.4012935,-0.105808
85,-0.20758826,-0.31761894,"('insignificant', 'prestigious')",-0.2075883,-0.3176189,-0.1100306
86,0.65664375,0.658911,"('uninfluential', 'influential')",0.6566437,0.658911,0.0022673
87,0.15284617,0.19775599,"('unsuccessful', 'successful')",0.1528462,0.197756,0.0449098
88,0.0002254059,0.06880365,"('low', 'eminent')",0.0002254,0.0688037,0.0685783
