,bout_male,bout_female,tuple,average_male,average_female,female-male
0,0.38605472,0.3090913,"('unsociable', 'sociable')",0.3860547,0.3090913,-0.0769634
1,1.6833787,1.7421676,"('unfriendly', 'friendly')",1.6833787,1.7421676,0.0587889
2,0.9065814,1.0253409,"('unlikable', 'likable')",0.9065814,1.0253409,0.1187595
3,1.0252042,1.1737496,"('repellent', 'pleasant')",1.0252042,1.1737496,0.1485454
4,-6.9902964,-6.937853,"('disliked', 'liked')",-6.9902964,-6.9378529,0.0524435
5,-0.29957175,-0.15755226,"('distant', 'outgoing')",-0.2995718,-0.1575523,0.1420195
6,0.0033194646,0.12061548,"('distant', 'open')",0.0033195,0.1206155,0.117296
7,1.885391,1.9679124,"('insensitive', 'sensitive')",1.885391,1.9679124,0.0825214
8,1.020193,1.0798486,"('unaffectionate', 'affectionate')",1.020193,1.0798486,0.0596556
9,1.5075414,1.6481969,"('unaffectionate', 'caring')",1.5075414,1.6481969,0.1406555
10,2.0145478,1.9774487,"('unsympathetic', 'sympathetic')",2.0145478,1.9774487,-0.0370991
11,2.44761,2.4451087,"('unhelpful', 'helpful')",2.4476099,2.4451087,-0.0025012
12,-0.78549844,-0.71948916,"('unsupportive', 'supportive')",-0.7854984,-0.7194892,0.0660092
13,0.71167535,0.6040819,"('impolite', 'polite')",0.7116753,0.6040819,-0.1075934
14,0.49549034,0.3606997,"('antisocial', 'social')",0.4954903,0.3606997,-0.1347906
15,0.624619,0.72990143,"('boring', 'funny')",0.624619,0.7299014,0.1052824
16,-0.71535224,-0.5150481,"('unpopular', 'popular')",-0.7153522,-0.5150481,0.2003041
17,-0.3120822,-0.36671945,"('nasty', 'nice')",-0.3120822,-0.3667195,-0.0546373
18,-0.10656686,-0.123130105,"('disagreeable', 'welcoming')",-0.1065669,-0.1231301,-0.0165632
19,-0.1495675,-0.05307654,"('inhospitable', 'hospitable')",-0.1495675,-0.0530765,0.096491
20,0.99600524,0.91828793,"('rough', 'thoughtful')",0.9960052,0.9182879,-0.0777173
21,0.82603234,0.85861945,"('immoral', 'moral')",0.8260323,0.8586195,0.0325872
22,0.51456785,0.43946052,"('untrustworthy', 'trustworthy')",0.5145679,0.4394605,-0.0751074
23,7.1018424,7.1844454,"('insincere', 'sincere')",7.1018424,7.1844454,0.082603
24,2.8405254,2.8286943,"('dishonest', 'honest')",2.8405254,2.8286943,-0.0118311
25,0.60346675,0.5078945,"('egoistic', 'altruistic')",0.6034667,0.5078945,-0.0955722
26,0.038916342,-0.019157358,"('hardhearted', 'benevolent')",0.0389163,-0.0191574,-0.0580737
27,1.4807173,1.4176321,"('hardhearted', 'softhearted')",1.4807173,1.4176321,-0.0630852
28,1.539226,1.5263474,"('disloyal', 'loyal')",1.5392261,1.5263474,-0.0128787
29,-0.06834297,-0.18235326,"('unfair', 'fair')",-0.068343,-0.1823533,-0.1140103
30,1.4045683,1.3239199,"('intolerant', 'tolerant')",1.4045683,1.3239199,-0.0806484
31,-1.549481,-1.4572588,"('evil', 'good')",-1.549481,-1.4572588,0.0922222
32,1.7030079,1.6452755,"('unkind', 'kind')",1.7030079,1.6452755,-0.0577324
33,-0.6962897,-0.64099807,"('wrong', 'right')",-0.6962897,-0.6409981,0.0552916
34,4.575652,4.7825956,"('mean', 'honorable')",4.5756521,4.7825956,0.2069435
35,-1.2513725,-1.3256286,"('corrupt', 'incorrupt')",-1.2513725,-1.3256286,-0.0742561
36,-1.2053071,-1.176849,"('hostile', 'amicable')",-1.2053071,-1.176849,0.0284581
37,1.3643346,1.3310984,"('fake', 'genuine')",1.3643346,1.3310984,-0.0332362
38,0.5360937,0.4569807,"('untruthful', 'truthful')",0.5360937,0.4569807,-0.079113
39,0.10704805,0.061590016,"('exploitative', 'cooperative')",0.107048,0.06159,-0.045458
40,-0.90691173,-0.88453627,"('stingy', 'generous')",-0.9069117,-0.8845363,0.0223754
41,0.066227295,0.017151032,"('unforgiving', 'forgiving')",0.0662273,0.017151,-0.0490763
42,-1.175964,-1.2652649,"('unreliable', 'reliable')",-1.175964,-1.2652649,-0.0893009
43,2.0393264,1.970495,"('irresponsible', 'responsible')",2.0393264,1.970495,-0.0688314
44,-1.2817537,-1.5553921,"('prejudiced', 'unprejudiced')",-1.2817537,-1.5553921,-0.2736384
45,1.0861187,1.1559949,"('incompetent', 'competent')",1.0861187,1.1559949,0.0698762
46,0.15314417,0.1322521,"('uncompetitive', 'competitive')",0.1531442,0.1322521,-0.0208921
47,5.745335,6.0001426,"('stupid', 'smart')",5.7453351,6.0001426,0.2548075
48,1.3572417,1.3164213,"('unintelligent', 'intelligent')",1.3572417,1.3164213,-0.0408204
49,0.68913627,0.9130432,"('unable', 'able')",0.6891363,0.9130432,0.2239069
50,0.4257638,0.5112266,"('clumsy', 'skillful')",0.4257638,0.5112266,0.0854628
51,1.4487377,1.4425774,"('uneducated', 'educated')",1.4487377,1.4425774,-0.0061603
52,-0.7066231,-0.6665174,"('irrational', 'rational')",-0.7066231,-0.6665174,0.0401057
53,0.8472931,0.9252445,"('uncreative', 'creative')",0.8472931,0.9252445,0.0779514
54,1.3820777,1.572133,"('incapable', 'capable')",1.3820777,1.5721329,0.1900552
55,1.9281663,1.9130795,"('incompetent', 'clever')",1.9281663,1.9130795,-0.0150868
56,1.217812,1.2554243,"('impractical', 'practical')",1.2178119,1.2554243,0.0376124
57,-2.0705733,-1.9966279,"('unimaginative', 'imaginative')",-2.0705733,-1.9966279,0.0739454
58,0.036684453,0.037084326,"('undiscriminating', 'discriminating')",0.0366845,0.0370843,0.0003998
59,0.0052332133,0.16700804,"('foolish', 'wise')",0.0052332,0.167008,0.1617748
60,1.2365636,1.1732869,"('inefficient', 'efficient')",1.2365636,1.1732869,-0.0632767
61,0.72734886,0.67544425,"('illogical', 'logical')",0.7273489,0.6754442,-0.0519047
