,cdw_male,cdw_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.45175633,-0.6189164,"('unsociable', 'sociable')",-0.1938296,-0.44073522,-0.3227929,-0.5298258,-0.2070329
1,-1.1053975,-1.2516913,"('unfriendly', 'friendly')",1.2725228,1.127641,0.0835627,-0.0620252,-0.1455879
2,0.90183663,0.8279549,"('unlikable', 'likable')",0.9240037,0.83981466,0.9129202,0.8338848,-0.0790354
3,0.14171563,0.23973681,"('repellent', 'pleasant')",1.0330106,1.1002196,0.5873631,0.6699782,0.0826151
4,-0.35466543,-0.409676,"('disliked', 'liked')",-6.022468,-6.099257,-3.1885667,-3.2544665,-0.0658998
5,-1.1627125,-1.124832,"('distant', 'outgoing')",-0.90970355,-0.7300987,-1.036208,-0.9274654,0.1087426
6,-1.5798931,-1.4857478,"('distant', 'open')",-1.1346837,-0.9452919,-1.3572884,-1.2155199,0.1417685
7,0.18047763,0.226448,"('insensitive', 'sensitive')",0.56817913,0.5222642,0.3743284,0.3743561,2.77e-05
8,-1.0606788,-1.1838837,"('unaffectionate', 'affectionate')",0.5590327,0.5150685,-0.2508231,-0.3344076,-0.0835845
9,-0.83965194,-0.93903756,"('unaffectionate', 'caring')",0.9365982,0.9232874,0.0484731,-0.0078751,-0.0563482
10,-0.5753132,-0.65859085,"('unsympathetic', 'sympathetic')",-0.5316319,-0.6381564,-0.5534725,-0.6483736,-0.0949011
11,-0.18657868,-0.26839373,"('unhelpful', 'helpful')",1.7342069,1.7863461,0.7738141,0.7589762,-0.0148379
12,-0.11892933,-0.055102807,"('unsupportive', 'supportive')",-1.873596,-1.8529555,-0.9962627,-0.9540291,0.0422336
13,-0.4889776,-0.5657298,"('impolite', 'polite')",-0.6899994,-0.7649054,-0.5894885,-0.6653176,-0.0758291
14,0.48977503,0.5028219,"('antisocial', 'social')",0.48145282,0.3034242,0.4856139,0.4031231,-0.0824908
15,0.38584504,0.20707236,"('boring', 'funny')",0.3140847,0.2964813,0.3499649,0.2517768,-0.0981881
16,-0.054520406,-0.11631912,"('unpopular', 'popular')",0.36049178,0.31706703,0.1529857,0.100374,-0.0526117
17,-0.24111061,-0.14847255,"('nasty', 'nice')",-0.48273906,-0.41502136,-0.3619248,-0.281747,0.0801778
18,-0.97851044,-0.9763243,"('disagreeable', 'welcoming')",-0.7112436,-0.739828,-0.844877,-0.8580762,-0.0131992
19,-0.18429878,-0.21599749,"('inhospitable', 'hospitable')",-0.5795602,-0.50126827,-0.3819295,-0.3586329,0.0232966
20,0.17955925,0.27666777,"('rough', 'thoughtful')",0.82283455,0.813871,0.5011969,0.5452694,0.0440725
21,0.80969733,0.73226666,"('immoral', 'moral')",-0.047241192,-0.17317644,0.3812281,0.2795451,-0.101683
22,0.05498009,0.037655193,"('untrustworthy', 'trustworthy')",-0.6965205,-0.7920391,-0.3207702,-0.377192,-0.0564218
23,0.41433948,0.36484882,"('insincere', 'sincere')",5.6532288,5.650503,3.0337842,3.0076759,-0.0261083
24,0.18261872,0.19363606,"('dishonest', 'honest')",0.51859367,0.52013576,0.3506062,0.3568859,0.0062797
