,synopsys_male,synopsys_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.007756477,-0.17655534,"('unsociable', 'sociable')",-0.3404358,-0.51458836,-0.1663397,-0.3455718,-0.1792321
1,-0.23279166,-0.64063096,"('unfriendly', 'friendly')",1.88593,1.7159851,0.8265691,0.537677,-0.2888921
2,0.11733913,0.07930699,"('unlikable', 'likable')",0.80337954,0.93631804,0.4603593,0.5078125,0.0474532
3,-0.37507385,-0.3262381,"('repellent', 'pleasant')",-0.074971646,-0.08237402,-0.2250227,-0.2043061,0.0207166
4,-0.18264286,-0.21860404,"('disliked', 'liked')",-5.9167004,-6.0700674,-3.0496716,-3.1443357,-0.0946641
5,-0.20075075,-0.34982976,"('distant', 'outgoing')",0.17075223,0.21866152,-0.0149993,-0.0655841,-0.0505848
6,-0.0662494,-0.26631987,"('distant', 'open')",0.66567487,0.69039303,0.2997127,0.2120366,-0.0876761
7,-0.47298813,-0.48961425,"('insensitive', 'sensitive')",0.013585158,0.053778138,-0.2297015,-0.2179181,0.0117834
8,-0.40297657,-0.6323275,"('unaffectionate', 'affectionate')",0.8899496,0.8514953,0.2434865,0.1095839,-0.1339026
9,-0.49968526,-0.7460232,"('unaffectionate', 'caring')",1.4048635,1.4077446,0.4525891,0.3308607,-0.1217284
10,-1.462189,-1.5116572,"('unsympathetic', 'sympathetic')",-0.7790311,-0.76369745,-1.12061,-1.1376773,-0.0170673
11,0.093759365,0.047259245,"('unhelpful', 'helpful')",1.5127112,1.6704816,0.8032353,0.8588704,0.0556351
12,-0.37407148,-0.42070735,"('unsupportive', 'supportive')",-1.8704165,-1.8235012,-1.122244,-1.1221043,0.0001397
13,-0.71530485,-0.78451496,"('impolite', 'polite')",-0.5486227,-0.49213544,-0.6319638,-0.6383252,-0.0063614
14,0.39309984,0.43442252,"('antisocial', 'social')",-0.8858791,-0.9563838,-0.2463896,-0.2609807,-0.0145911
15,0.47217205,0.41874483,"('boring', 'funny')",0.7106928,0.5996388,0.5914325,0.5091918,-0.0822407
16,-0.6612207,-0.7228493,"('unpopular', 'popular')",0.7417559,0.7001208,0.0402676,-0.0113643,-0.0516319
17,0.06307207,0.037815128,"('nasty', 'nice')",-0.26569977,-0.25826427,-0.1013139,-0.1102246,-0.0089107
18,0.17968318,0.0829736,"('disagreeable', 'welcoming')",-0.34609222,-0.4076785,-0.0832045,-0.1623525,-0.079148
19,-1.5072124,-1.5978838,"('inhospitable', 'hospitable')",-0.030977493,0.03653344,-0.7690949,-0.7806752,-0.0115803
20,0.60001683,0.5415901,"('rough', 'thoughtful')",1.1493901,1.1016489,0.8747035,0.8216195,-0.053084
21,0.33313063,0.25568926,"('immoral', 'moral')",-0.92998934,-0.9486627,-0.2984294,-0.3464867,-0.0480573
22,0.5159695,0.3895133,"('untrustworthy', 'trustworthy')",-0.80949247,-0.9015665,-0.1467615,-0.2560266,-0.1092651
23,-0.17818505,-0.39082292,"('insincere', 'sincere')",5.477818,5.5176854,2.6498165,2.5634313,-0.0863852
24,-0.9838778,-1.0735865,"('dishonest', 'honest')",0.93917453,0.93589836,-0.0223516,-0.0688441,-0.0464925
25,0.2447431,0.14366703,"('egoistic', 'altruistic')",1.6696122,1.5295362,0.9571776,0.8366016,-0.120576
26,0.3223829,0.028459162,"('hardhearted', 'benevolent')",1.8430657,1.6321666,1.0827243,0.8303129,-0.2524114
27,0.08227116,0.052572194,"('hardhearted', 'softhearted')",1.2884513,1.2373966,0.6853613,0.6449844,-0.0403769
