,realty_male,realty_female,tuple,income_male,income_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.9064499,-1.1015388,"('unsociable', 'sociable')",0.74780965,0.6348136,0.14526422,0.017775144,-0.0044587,-0.14965,-0.1451913
1,-1.1159425,-0.9993152,"('unfriendly', 'friendly')",-0.1972899,-0.1626996,1.2985207,1.3018867,-0.0049039,0.0466239,0.0515278
2,0.7742577,0.8126831,"('unlikable', 'likable')",1.1366596,1.1629031,1.0592618,1.0623854,0.9900597,1.0126572,0.0225975
3,-0.67499274,-0.6369053,"('repellent', 'pleasant')",0.110025644,0.20520489,0.8689048,0.89355564,0.1013126,0.1539517,0.0526391
4,0.3427729,0.3416006,"('disliked', 'liked')",-0.060795635,-0.048806056,-6.6082997,-6.645102,-2.1087742,-2.1174358,-0.0086616
5,-0.18087333,0.018196555,"('distant', 'outgoing')",-0.44380608,-0.34627613,-0.9517691,-0.8844559,-0.5254829,-0.4041785,0.1213044
6,-0.4331761,-0.15389833,"('distant', 'open')",-1.0873955,-0.9498541,-1.0283312,-0.94270015,-0.8496343,-0.6821508,0.1674835
7,-0.35028255,-0.36427224,"('insensitive', 'sensitive')",1.1614561,1.1917479,0.85593885,0.8938596,0.5557041,0.5737784,0.0180743
8,-0.4459899,-0.37811682,"('unaffectionate', 'affectionate')",-0.2075345,-0.14306438,0.62718177,0.63050413,-0.0087809,0.036441,0.0452219
9,-0.46495074,-0.4041827,"('unaffectionate', 'caring')",0.83238804,0.9133644,1.3507754,1.4109045,0.5727375,0.6400288,0.0672913
10,-1.5158422,-1.6234485,"('unsympathetic', 'sympathetic')",0.8193572,0.8114439,0.17563276,0.20766865,-0.1736174,-0.2014453,-0.0278279
11,0.0055481503,-0.13089405,"('unhelpful', 'helpful')",1.433958,1.4150523,2.6609604,2.68631,1.3668222,1.3234894,-0.0433328
12,0.16815516,0.3221228,"('unsupportive', 'supportive')",1.7506372,1.9254469,-1.6202744,-1.5091827,0.099506,0.246129,0.146623
13,-0.11430919,-0.28474727,"('impolite', 'polite')",0.86944383,0.78014797,-0.23067786,-0.2646953,0.1748189,0.0769018,-0.0979171
14,0.23300117,0.09220986,"('antisocial', 'social')",1.7204621,1.6550688,0.24017839,0.12165497,0.7312139,0.6229779,-0.108236
15,1.0390043,0.9250597,"('boring', 'funny')",0.6220359,0.50836587,0.02450841,-0.05299498,0.5618496,0.4601435,-0.1017061
