,tsunami_male,tsunami_female,tuple,average_male,average_female,female-male
0,0.14805114,-0.19759111,"('unsociable', 'sociable')",0.1480511,-0.1975911,-0.3456422
1,1.0324148,1.0175343,"('unfriendly', 'friendly')",1.0324148,1.0175343,-0.0148805
2,0.58014834,0.6983474,"('unlikable', 'likable')",0.5801483,0.6983474,0.1181991
3,0.9111858,0.97487277,"('repellent', 'pleasant')",0.9111858,0.9748728,0.063687
4,-6.919968,-7.0200834,"('disliked', 'liked')",-6.9199681,-7.0200834,-0.1001153
5,-0.5428883,-0.23174512,"('distant', 'outgoing')",-0.5428883,-0.2317451,0.3111432
6,-0.28825235,0.031507634,"('distant', 'open')",-0.2882524,0.0315076,0.31976
7,0.4695103,0.4187796,"('insensitive', 'sensitive')",0.4695103,0.4187796,-0.0507307
8,0.8849782,0.92539966,"('unaffectionate', 'affectionate')",0.8849782,0.9253997,0.0404215
9,1.3189393,1.4349315,"('unaffectionate', 'caring')",1.3189393,1.4349315,0.1159922
10,1.4232038,1.3513489,"('unsympathetic', 'sympathetic')",1.4232038,1.3513489,-0.0718549
11,2.180593,2.0762246,"('unhelpful', 'helpful')",2.180593,2.0762246,-0.1043684
12,-1.5986978,-1.680704,"('unsupportive', 'supportive')",-1.5986978,-1.680704,-0.0820062
13,0.46879113,0.2536124,"('impolite', 'polite')",0.4687911,0.2536124,-0.2151787
14,-0.12631926,-0.47079083,"('antisocial', 'social')",-0.1263193,-0.4707908,-0.3444715
15,0.34305376,0.17303252,"('boring', 'funny')",0.3430538,0.1730325,-0.1700213
16,-0.35309482,-0.32172978,"('unpopular', 'popular')",-0.3530948,-0.3217298,0.031365
17,0.038844448,0.13043728,"('nasty', 'nice')",0.0388444,0.1304373,0.0915929
18,-0.7165085,-0.8527047,"('disagreeable', 'welcoming')",-0.7165085,-0.8527047,-0.1361962
19,-0.65401816,-0.43492264,"('inhospitable', 'hospitable')",-0.6540182,-0.4349226,0.2190956
20,0.6057053,0.45449966,"('rough', 'thoughtful')",0.6057053,0.4544997,-0.1512056
21,0.17101794,0.17724758,"('immoral', 'moral')",0.1710179,0.1772476,0.0062297
22,-0.3097269,-0.44408593,"('untrustworthy', 'trustworthy')",-0.3097269,-0.4440859,-0.134359
23,5.9984727,5.934653,"('insincere', 'sincere')",5.9984727,5.9346528,-0.0638199
24,1.5413097,1.5069281,"('dishonest', 'honest')",1.5413097,1.5069281,-0.0343816
25,0.3710673,0.32443875,"('egoistic', 'altruistic')",0.3710673,0.3244388,-0.0466285
26,0.17873755,0.047229685,"('hardhearted', 'benevolent')",0.1787376,0.0472297,-0.1315079
27,1.5039219,1.4462439,"('hardhearted', 'softhearted')",1.5039219,1.4462439,-0.057678
28,1.168294,1.1926157,"('disloyal', 'loyal')",1.168294,1.1926157,0.0243217
