,swivel_male,swivel_female,tuple,average_male,average_female,female-male
0,-0.47815716,-0.5198964,"('unsociable', 'sociable')",-0.4781572,-0.5198964,-0.0417392
1,-1.1908762,-1.3154895,"('unfriendly', 'friendly')",-1.1908762,-1.3154895,-0.1246133
2,-0.11272246,-0.14973119,"('unlikable', 'likable')",-0.1127225,-0.1497312,-0.0370087
3,-0.5380075,-0.42679235,"('repellent', 'pleasant')",-0.5380075,-0.4267924,0.1112151
4,-2.7229118,-2.8544543,"('disliked', 'liked')",-2.7229118,-2.8544543,-0.1315425
5,-0.40021086,-0.39952826,"('distant', 'outgoing')",-0.4002109,-0.3995283,0.0006826
6,-0.6218662,-0.6304882,"('distant', 'open')",-0.6218662,-0.6304882,-0.008622
7,-0.2985317,-0.23273751,"('insensitive', 'sensitive')",-0.2985317,-0.2327375,0.0657942
8,-1.4184699,-1.50039,"('unaffectionate', 'affectionate')",-1.4184699,-1.5003901,-0.0819202
9,-1.403902,-1.4755917,"('unaffectionate', 'caring')",-1.4039021,-1.4755917,-0.0716896
10,-0.8244542,-0.7742851,"('unsympathetic', 'sympathetic')",-0.8244542,-0.7742851,0.0501691
11,0.31137493,0.34793487,"('unhelpful', 'helpful')",0.3113749,0.3479349,0.03656
12,-2.0778925,-2.0517585,"('unsupportive', 'supportive')",-2.0778925,-2.0517585,0.026134
13,-0.77983004,-0.75612396,"('impolite', 'polite')",-0.77983,-0.756124,0.023706
14,0.64057297,0.6312198,"('antisocial', 'social')",0.640573,0.6312198,-0.0093532
15,0.5677364,0.45441952,"('boring', 'funny')",0.5677364,0.4544195,-0.1133169
16,-0.28204343,-0.3243389,"('unpopular', 'popular')",-0.2820434,-0.3243389,-0.0422955
17,-0.5741833,-0.567521,"('nasty', 'nice')",-0.5741833,-0.567521,0.0066623
18,-1.0533582,-1.100824,"('disagreeable', 'welcoming')",-1.0533582,-1.100824,-0.0474658
19,-1.4137609,-1.369233,"('inhospitable', 'hospitable')",-1.4137609,-1.369233,0.0445279
20,0.66575223,0.66508496,"('rough', 'thoughtful')",0.6657522,0.665085,-0.0006672
21,-0.3307231,-0.23489466,"('immoral', 'moral')",-0.3307231,-0.2348947,0.0958284
22,-0.11595317,-0.14202344,"('untrustworthy', 'trustworthy')",-0.1159532,-0.1420234,-0.0260702
23,1.4385728,1.5053902,"('insincere', 'sincere')",1.4385728,1.5053902,0.0668174
24,-0.67673045,-0.7144948,"('dishonest', 'honest')",-0.6767305,-0.7144948,-0.0377643
25,-0.41824797,-0.4767911,"('egoistic', 'altruistic')",-0.418248,-0.4767911,-0.0585431
26,-0.20047602,-0.339485,"('hardhearted', 'benevolent')",-0.200476,-0.339485,-0.139009
27,0.24250937,0.16468664,"('hardhearted', 'softhearted')",0.2425094,0.1646866,-0.0778228
28,-0.43066534,-0.5122649,"('disloyal', 'loyal')",-0.4306653,-0.5122649,-0.0815996
29,0.14383866,0.10083865,"('unfair', 'fair')",0.1438387,0.1008386,-0.0430001
30,-0.23001377,-0.23229274,"('intolerant', 'tolerant')",-0.2300138,-0.2322927,-0.0022789
31,-0.88374907,-0.90332633,"('evil', 'good')",-0.8837491,-0.9033263,-0.0195772
32,-0.43899098,-0.4965265,"('unkind', 'kind')",-0.438991,-0.4965265,-0.0575355
33,-0.46885094,-0.5105058,"('wrong', 'right')",-0.4688509,-0.5105058,-0.0416549
34,1.2170002,1.3879275,"('mean', 'honorable')",1.2170002,1.3879275,0.1709273
35,0.0106771905,-0.055400696,"('corrupt', 'incorrupt')",0.0106772,-0.0554007,-0.0660779
36,-1.1603063,-1.2368983,"('hostile', 'amicable')",-1.1603063,-1.2368983,-0.076592
37,-0.19719867,-0.19344972,"('fake', 'genuine')",-0.1971987,-0.1934497,0.003749
38,-0.6167183,-0.66895884,"('untruthful', 'truthful')",-0.6167183,-0.6689588,-0.0522405
39,0.40290898,0.42559734,"('exploitative', 'cooperative')",0.402909,0.4255973,0.0226883
