,twitter_male,twitter_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.8551469,0.6482806,"('unsociable', 'sociable')",-0.087776616,-0.2003279,0.3836851,0.2239764,-0.1597087
1,2.216575,2.1411624,"('unfriendly', 'friendly')",1.3175056,1.0326766,1.7670403,1.5869195,-0.1801208
2,0.47745353,0.51063883,"('unlikable', 'likable')",0.5295937,0.55247694,0.5035236,0.5315579,0.0280343
3,-0.5972333,-0.48279852,"('repellent', 'pleasant')",-0.032558043,0.13219032,-0.3148957,-0.1753041,0.1395916
4,-1.4987702,-1.5669758,"('disliked', 'liked')",-6.091615,-6.0780377,-3.7951927,-3.8225069,-0.0273142
5,1.8808593,1.809589,"('distant', 'outgoing')",-0.49490568,-0.60764426,0.6929768,0.6009724,-0.0920044
6,1.2201928,1.169032,"('distant', 'open')",-0.09770733,-0.26846725,0.5612427,0.4502824,-0.1109603
7,0.53617024,0.6557098,"('insensitive', 'sensitive')",0.34968328,0.44445682,0.4429268,0.5500833,0.1071565
8,0.24895212,0.25373226,"('unaffectionate', 'affectionate')",-0.10431016,-0.21383686,0.072321,0.0199477,-0.0523733
9,1.7123315,1.7700666,"('unaffectionate', 'caring')",0.5763129,0.5451727,1.1443222,1.1576197,0.0132975
10,0.20744179,0.22580457,"('unsympathetic', 'sympathetic')",0.110500656,0.12824768,0.1589712,0.1770261,0.0180549
11,1.5248903,1.6520121,"('unhelpful', 'helpful')",2.8094194,2.8974354,2.1671548,2.2747238,0.107569
12,1.362745,1.3949807,"('unsupportive', 'supportive')",-1.6146824,-1.5741858,-0.1259687,-0.0896026,0.0363661
13,0.79774314,0.7324765,"('impolite', 'polite')",-0.03691886,-0.0031285137,0.3804121,0.364674,-0.0157381
14,0.40888664,0.37888652,"('antisocial', 'social')",-0.72470564,-0.6124887,-0.1579095,-0.1168011,0.0411084
15,1.0918167,1.043983,"('boring', 'funny')",0.23615146,0.18307723,0.6639841,0.6135301,-0.050454
16,-1.402099,-1.3825045,"('unpopular', 'popular')",0.31072804,0.36699963,-0.5456855,-0.5077524,0.0379331
17,-0.79934597,-0.7285273,"('nasty', 'nice')",-0.3684439,-0.253446,-0.583895,-0.4909866,0.0929084
18,-1.0263577,-1.1741478,"('disagreeable', 'welcoming')",-0.4048994,-0.4872153,-0.7156285,-0.8306816,-0.1150531
19,1.1324439,1.1030203,"('inhospitable', 'hospitable')",-0.012912429,-0.13487402,0.5597658,0.4840732,-0.0756926
20,0.7554123,0.80789053,"('rough', 'thoughtful')",0.88955104,0.8360647,0.8224816,0.8219776,-0.000504
21,1.1797382,1.1922423,"('immoral', 'moral')",-0.29826874,-0.27593616,0.4407347,0.4581531,0.0174184
22,0.8594164,0.775935,"('untrustworthy', 'trustworthy')",-1.0109947,-1.0127219,-0.0757891,-0.1183935,-0.0426044
23,1.9249909,1.9423116,"('insincere', 'sincere')",6.1658087,6.187024,4.0453997,4.0646677,0.019268
24,1.7616036,1.7769347,"('dishonest', 'honest')",1.2547271,1.2077563,1.5081654,1.4923456,-0.0158198
25,-0.6368998,-0.70803785,"('egoistic', 'altruistic')",1.2274942,1.154243,0.2952972,0.2231026,-0.0721946
26,1.0383377,0.9306512,"('hardhearted', 'benevolent')",1.078738,0.91828007,1.0585378,0.9244657,-0.1340721
27,1.0744437,1.0584648,"('hardhearted', 'softhearted')",1.0023147,0.88090867,1.0383792,0.9696867,-0.0686925
28,0.03691024,-0.00647711,"('disloyal', 'loyal')",0.9897668,0.9203365,0.5133385,0.4569297,-0.0564088
29,0.2265644,0.24227005,"('unfair', 'fair')",-0.6498319,-0.8639207,-0.2116337,-0.3108253,-0.0991916
30,2.1864965,2.2267473,"('intolerant', 'tolerant')",1.708641,1.7006278,1.9475688,1.9636875,0.0161187
31,-1.1250491,-1.1766478,"('evil', 'good')",-1.8833133,-2.047741,-1.5041811,-1.6121943,-0.1080132
32,1.3318846,1.3720781,"('unkind', 'kind')",1.4028798,1.3327333,1.3673823,1.3524057,-0.0149766
33,0.5978186,0.47691715,"('wrong', 'right')",-1.1511512,-1.2202656,-0.2766663,-0.3716742,-0.0950079
34,1.4073656,1.5386662,"('mean', 'honorable')",6.4090047,6.528165,3.908185,4.0334158,0.1252308
35,-0.92060393,-1.020558,"('corrupt', 'incorrupt')",-0.4550697,-0.63879985,-0.6878368,-0.8296789,-0.1418421
36,-0.41399658,-0.45641923,"('hostile', 'amicable')",-0.44949567,-0.6488785,-0.4317461,-0.5526489,-0.1209028
