,dominion_male,dominion_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1216842,-1.1174866,"('unsociable', 'sociable')",-0.20616879,-0.28933296,-0.70343757,-0.80676556,-0.6770968,-0.7378617,-0.0607649
1,-0.25489116,-0.35440686,"('unfriendly', 'friendly')",0.6298796,0.43971738,1.7426196,1.6712242,0.7058694,0.5855116,-0.1203578
2,-0.4634241,-0.46418744,"('unlikable', 'likable')",0.98077476,0.95400536,0.34858984,0.39801687,0.2886468,0.2959449,0.0072981
3,-0.8835533,-0.753028,"('repellent', 'pleasant')",-0.1032196,-0.088496044,0.30083263,0.31393412,-0.2286468,-0.1758633,0.0527835
4,0.48039946,0.40309542,"('disliked', 'liked')",0.46606272,0.33460316,-6.043544,-6.096957,-1.6990272,-1.7864196,-0.0873924
5,0.5244885,0.3857835,"('distant', 'outgoing')",-0.35439005,-0.47965625,-0.16353294,-0.16836943,0.0021885,-0.0874141,-0.0896026
6,0.0141265765,-0.12833089,"('distant', 'open')",-0.68311435,-0.8756554,0.31635407,0.27528876,-0.1175446,-0.2428992,-0.1253546
7,0.5311966,0.617645,"('insensitive', 'sensitive')",0.9369985,0.99755126,0.9142864,0.89346707,0.7941605,0.8362211,0.0420606
8,0.43702826,0.347768,"('unaffectionate', 'affectionate')",-0.7988074,-0.96468943,0.80114776,0.71580887,0.1464562,0.0329625,-0.1134937
9,0.9738918,0.91991514,"('unaffectionate', 'caring')",0.15054893,0.050926447,1.0510293,0.99578685,0.7251566,0.6555428,-0.0696138
10,-0.72048193,-0.6109615,"('unsympathetic', 'sympathetic')",-0.5420274,-0.58256906,-0.6395843,-0.70035815,-0.6340312,-0.6312962,0.002735
11,-0.9113843,-0.8252114,"('unhelpful', 'helpful')",-0.029425208,0.041073486,1.5287529,1.586857,0.1959811,0.267573,0.0715919
12,0.61300194,0.66169095,"('unsupportive', 'supportive')",0.47053513,0.45991102,-1.8240663,-1.8317223,-0.2468431,-0.2367068,0.0101363
13,-0.72324294,-0.6516664,"('impolite', 'polite')",0.16868699,0.3061362,-0.5640923,-0.5719564,-0.3728828,-0.3058289,0.0670539
14,-0.40728053,-0.33084372,"('antisocial', 'social')",0.63207966,0.698336,-0.47361523,-0.5033317,-0.0829387,-0.0452798,0.0376589
