,trane_male,trane_female,tuple,technologies_male,technologies_female,plc_male,plc_female,average_male,average_female,female-male
0,-0.34614703,-0.3461682,"('unsociable', 'sociable')",-0.4438208,-0.5324538,-0.9430433,-1.0193645,-0.5776704,-0.6326621,-0.0549917
1,-1.5577866,-1.6648481,"('unfriendly', 'friendly')",0.09239447,-0.09674963,2.267809,2.0306315,0.2674723,0.0896779,-0.1777944
2,0.6463416,0.6843082,"('unlikable', 'likable')",0.32738766,0.37953427,0.3415675,0.39224666,0.4384323,0.485363,0.0469307
3,-0.6061142,-0.52327985,"('repellent', 'pleasant')",-0.06712619,-0.01944863,-0.7530288,-0.68275464,-0.4754231,-0.4084944,0.0669287
4,-0.51624656,-0.56994706,"('disliked', 'liked')",-0.14719029,-0.19600867,-2.1881258,-2.2159202,-0.9505209,-0.9939586,-0.0434377
5,-1.5570973,-1.5433028,"('distant', 'outgoing')",-0.62328404,-0.5891877,0.87475896,0.770722,-0.4352074,-0.4539228,-0.0187154
6,-1.7667862,-1.7307006,"('distant', 'open')",-1.0738672,-1.0714144,0.84634453,0.7078857,-0.6647696,-0.6980764,-0.0333068
7,0.3914047,0.37344664,"('insensitive', 'sensitive')",0.5086669,0.54702973,0.020836223,0.018951796,0.3069693,0.3131427,0.0061734
8,-0.963776,-1.013495,"('unaffectionate', 'affectionate')",0.08202699,-0.0030069984,1.0785764,0.8903667,0.0656091,-0.0420451,-0.1076542
9,-1.457759,-1.4862505,"('unaffectionate', 'caring')",0.11169901,-0.0020460486,1.1268877,0.9648168,-0.0730575,-0.1744932,-0.1014357
10,-0.65406364,-0.6230494,"('unsympathetic', 'sympathetic')",-0.7403403,-0.806112,-1.3263066,-1.2641677,-0.9069035,-0.8977763,0.0091272
11,-0.5196974,-0.46377993,"('unhelpful', 'helpful')",0.76340526,0.7838748,0.0045214742,0.0003925711,0.0827431,0.1068291,0.024086
12,-0.21888721,-0.15258484,"('unsupportive', 'supportive')",0.96849877,1.0218408,-0.7722093,-0.7405858,-0.0075326,0.0428901,0.0504227
13,0.19576123,0.30003738,"('impolite', 'polite')",-0.25788018,-0.19837952,-1.2707647,-1.1840284,-0.4442945,-0.3607902,0.0835043
14,0.78962934,0.86998844,"('antisocial', 'social')",1.1848917,1.2516742,0.27935863,0.40888095,0.7512932,0.8435145,0.0922213
15,0.67611206,0.5594096,"('boring', 'funny')",0.17632443,0.062138192,0.38756192,0.28274113,0.4133328,0.3014296,-0.1119032
16,-0.9034019,-0.8929424,"('unpopular', 'popular')",-0.4677531,-0.4399078,-0.005963497,-0.11236533,-0.4590395,-0.4817385,-0.022699
17,-0.07877615,-0.06307085,"('nasty', 'nice')",-0.71029073,-0.6622551,-0.9512176,-0.9827857,-0.5800948,-0.5693705,0.0107243
18,-0.55706435,-0.5022687,"('disagreeable', 'welcoming')",0.19788045,0.29504418,-0.8007784,-0.82649016,-0.3866541,-0.3445716,0.0420825
19,-1.4290497,-1.4512674,"('inhospitable', 'hospitable')",-1.0952283,-1.1321727,-0.027095415,-0.118454635,-0.8504578,-0.9006316,-0.0501738
20,0.15506183,0.19194229,"('rough', 'thoughtful')",0.4386819,0.5470536,0.9048092,0.8268702,0.4995176,0.5219553,0.0224377
21,0.4088135,0.41813046,"('immoral', 'moral')",0.279487,0.26941544,-1.7822757,-1.6852802,-0.3646584,-0.3325781,0.0320803
22,0.35666662,0.45716053,"('untrustworthy', 'trustworthy')",-0.3511213,-0.3807971,-0.28074887,-0.28480124,-0.0917345,-0.0694793,0.0222552
23,-0.9336446,-0.9620246,"('insincere', 'sincere')",-0.46012342,-0.53031033,2.4595928,2.3072026,0.3552749,0.2716225,-0.0836524
24,-0.5472004,-0.49409294,"('dishonest', 'honest')",-1.2341241,-1.2884141,0.13883194,0.063531816,-0.5474975,-0.5729918,-0.0254943
25,-0.86210823,-0.8530933,"('egoistic', 'altruistic')",0.590411,0.5262047,1.7668638,1.6368023,0.4983888,0.4366379,-0.0617509
26,-0.034360517,-0.08941614,"('hardhearted', 'benevolent')",0.84066904,0.83855766,3.1379473,3.0257893,1.3147519,1.2583102,-0.0564417
27,-0.8224685,-0.77279454,"('hardhearted', 'softhearted')",-0.012040727,-0.01743831,0.40683943,0.102114744,-0.1425566,-0.2293727,-0.0868161
28,-0.7652053,-0.81978375,"('disloyal', 'loyal')",0.13991031,0.03952431,0.73461,0.5845989,0.0364383,-0.0652202,-0.1016585
29,-0.0396653,-0.0814942,"('unfair', 'fair')",-0.72825885,-0.763414,-0.32160082,-0.5156484,-0.363175,-0.4535189,-0.0903439
30,0.5399956,0.5476308,"('intolerant', 'tolerant')",1.5011972,1.4551829,-0.10884267,-0.07258689,0.6441167,0.643409,-0.0007077
