,brook_male,brook_female,tuple,average_male,average_female,female-male
0,0.8063671,0.58286864,"('unsociable', 'sociable')",0.8063671,0.5828686,-0.2234985
1,0.72902554,0.8437151,"('unfriendly', 'friendly')",0.7290255,0.8437151,0.1146896
2,0.26547006,0.4432165,"('unlikable', 'likable')",0.2654701,0.4432165,0.1777464
3,0.6468545,0.81691915,"('repellent', 'pleasant')",0.6468545,0.8169191,0.1700646
4,-7.1507797,-7.2898498,"('disliked', 'liked')",-7.1507797,-7.2898498,-0.1390701
5,-1.0484695,-0.69438815,"('distant', 'outgoing')",-1.0484695,-0.6943882,0.3540813
6,-0.6209451,-0.4395056,"('distant', 'open')",-0.6209451,-0.4395056,0.1814395
7,1.702568,1.638042,"('insensitive', 'sensitive')",1.7025681,1.638042,-0.0645261
8,0.5580964,0.498764,"('unaffectionate', 'affectionate')",0.5580964,0.498764,-0.0593324
9,1.4490726,1.5023054,"('unaffectionate', 'caring')",1.4490726,1.5023054,0.0532328
10,1.7186649,1.7975378,"('unsympathetic', 'sympathetic')",1.7186649,1.7975378,0.0788729
11,2.5193758,2.6397836,"('unhelpful', 'helpful')",2.5193758,2.6397836,0.1204078
12,-1.1866213,-1.1101793,"('unsupportive', 'supportive')",-1.1866213,-1.1101793,0.076442
13,0.773546,0.8195908,"('impolite', 'polite')",0.773546,0.8195908,0.0460448
14,0.7469737,0.6947197,"('antisocial', 'social')",0.7469737,0.6947197,-0.052254
15,0.78221047,0.6919123,"('boring', 'funny')",0.7822105,0.6919123,-0.0902982
16,-0.9914148,-0.9222762,"('unpopular', 'popular')",-0.9914148,-0.9222762,0.0691386
17,-0.38555038,-0.22714484,"('nasty', 'nice')",-0.3855504,-0.2271448,0.1584056
18,-0.9153899,-0.6655422,"('disagreeable', 'welcoming')",-0.9153899,-0.6655422,0.2498477
19,-0.9213397,-0.71179783,"('inhospitable', 'hospitable')",-0.9213397,-0.7117978,0.2095419
20,0.6930461,0.4431516,"('rough', 'thoughtful')",0.6930461,0.4431516,-0.2498945
21,0.5931393,0.69694316,"('immoral', 'moral')",0.5931393,0.6969432,0.1038039
22,0.07581909,0.06863539,"('untrustworthy', 'trustworthy')",0.0758191,0.0686354,-0.0071837
23,6.4456916,6.778565,"('insincere', 'sincere')",6.4456916,6.7785649,0.3328733
24,2.1789808,2.3447664,"('dishonest', 'honest')",2.1789808,2.3447664,0.1657856
25,0.06160133,-0.08155,"('egoistic', 'altruistic')",0.0616013,-0.08155,-0.1431513
26,0.43206018,0.103581406,"('hardhearted', 'benevolent')",0.4320602,0.1035814,-0.3284788
27,1.368537,1.3670267,"('hardhearted', 'softhearted')",1.3685369,1.3670267,-0.0015102
28,0.8876213,1.005479,"('disloyal', 'loyal')",0.8876213,1.005479,0.1178577
29,-0.23965693,-0.25258508,"('unfair', 'fair')",-0.2396569,-0.2525851,-0.0129282
30,1.6369402,1.6324018,"('intolerant', 'tolerant')",1.6369402,1.6324018,-0.0045384
31,-2.5352573,-2.317692,"('evil', 'good')",-2.5352573,-2.317692,0.2175653
32,1.226393,1.1209098,"('unkind', 'kind')",1.226393,1.1209098,-0.1054832
33,-0.5135767,-0.43629375,"('wrong', 'right')",-0.5135767,-0.4362938,0.0772829
34,4.2972746,4.6110373,"('mean', 'honorable')",4.2972746,4.6110373,0.3137627
35,-1.2703732,-1.4282751,"('corrupt', 'incorrupt')",-1.2703732,-1.4282751,-0.1579019
36,-1.0272553,-1.311491,"('hostile', 'amicable')",-1.0272553,-1.311491,-0.2842357
37,0.9141582,0.8375174,"('fake', 'genuine')",0.9141582,0.8375174,-0.0766408
38,0.19397482,0.18615416,"('untruthful', 'truthful')",0.1939748,0.1861542,-0.0078206
39,0.44917506,0.39185876,"('exploitative', 'cooperative')",0.4491751,0.3918588,-0.0573163
40,-1.3096111,-1.2886752,"('stingy', 'generous')",-1.3096111,-1.2886752,0.0209359
41,0.47999263,0.25642553,"('unforgiving', 'forgiving')",0.4799926,0.2564255,-0.2235671
42,-1.6281332,-1.5058426,"('unreliable', 'reliable')",-1.6281332,-1.5058426,0.1222906
43,1.8595299,1.8087742,"('irresponsible', 'responsible')",1.8595299,1.8087742,-0.0507557
44,-0.954417,-1.2389214,"('prejudiced', 'unprejudiced')",-0.954417,-1.2389214,-0.2845044
45,0.91394377,0.74878764,"('incompetent', 'competent')",0.9139438,0.7487876,-0.1651562
46,0.4140018,0.24070954,"('uncompetitive', 'competitive')",0.4140018,0.2407095,-0.1732923
47,5.2386703,5.5194616,"('stupid', 'smart')",5.2386703,5.5194616,0.2807913
48,1.3381909,1.2765203,"('unintelligent', 'intelligent')",1.3381909,1.2765203,-0.0616706
49,-0.08912249,0.14316282,"('unable', 'able')",-0.0891225,0.1431628,0.2322853
50,-0.56177354,-0.31643295,"('clumsy', 'skillful')",-0.5617735,-0.316433,0.2453405
51,0.9960147,1.0593477,"('uneducated', 'educated')",0.9960147,1.0593477,0.063333
52,-0.5471215,-0.65206003,"('irrational', 'rational')",-0.5471215,-0.65206,-0.1049385
53,-0.1134421,-0.017822647,"('uncreative', 'creative')",-0.1134421,-0.0178226,0.0956195
54,0.94194084,1.1294128,"('incapable', 'capable')",0.9419408,1.1294128,0.187472
55,1.6399648,1.6226119,"('incompetent', 'clever')",1.6399648,1.6226119,-0.0173529
56,1.2915624,1.365588,"('impractical', 'practical')",1.2915624,1.3655879,0.0740255
57,-1.8856561,-2.0851076,"('unimaginative', 'imaginative')",-1.8856561,-2.0851076,-0.1994515
58,-0.25562918,-0.28771287,"('undiscriminating', 'discriminating')",-0.2556292,-0.2877129,-0.0320837
59,-0.26878527,0.0023493543,"('foolish', 'wise')",-0.2687853,0.0023494,0.2711347
60,1.1993394,1.3720809,"('inefficient', 'efficient')",1.1993394,1.3720809,0.1727415
61,0.99155456,0.8573302,"('illogical', 'logical')",0.9915546,0.8573302,-0.1342244
62,1.9920952,2.2102683,"('incompetent', 'brilliant')",1.9920952,2.2102683,0.2181731
63,1.08066,1.1348537,"('unperceptive', 'insightful')",1.08066,1.1348537,0.0541937
64,-4.9848495,-4.8941684,"('shy', 'confident')",-4.9848495,-4.8941684,0.0906811
65,1.1816369,1.3796886,"('insecure', 'secure')",1.1816369,1.3796886,0.1980517
66,-0.009234304,-0.18487674,"('inactive', 'active')",-0.0092343,-0.1848767,-0.1756424
67,-0.4753537,-0.39851952,"('doubtful', 'determined')",-0.4753537,-0.3985195,0.0768342
68,-0.59123564,-0.29888296,"('dependent', 'independent')",-0.5912356,-0.298883,0.2923526
69,-1.923361,-1.918322,"('lazy', 'industrious')",-1.9233609,-1.918322,0.0050389
70,1.9762561,1.9897888,"('lethargic', 'energetic')",1.9762561,1.9897888,0.0135327
71,0.30341572,0.4574956,"('diffident', 'self-confident')",0.3034157,0.4574956,0.1540799
72,0.4973557,0.72647095,"('unambitious', 'ambitious')",0.4973557,0.7264709,0.2291152
73,-3.0403278,-2.8721855,"('helpless', 'self-reliant')",-3.0403278,-2.8721855,0.1681423
74,0.25814652,0.15719931,"('undedicated', 'dedicated')",0.2581465,0.1571993,-0.1009472
75,-1.0904093,-1.0459158,"('meek', 'impulsive')",-1.0904093,-1.0459158,0.0444935
76,1.3566544,1.3126892,"('anxious', 'daring')",1.3566544,1.3126892,-0.0439652
77,-0.4663384,-0.5666857,"('unmotivated', 'motivated')",-0.4663384,-0.5666857,-0.1003473
78,-0.5380181,-0.51982224,"('nonresilient', 'resilient')",-0.5380181,-0.5198222,0.0181959
79,-0.7758124,-0.715692,"('wavering', 'unwavering')",-0.7758124,-0.715692,0.0601204
80,0.59116536,0.4521504,"('dominated', 'dominating')",0.5911654,0.4521504,-0.139015
81,1.0883491,1.0537058,"('submissive', 'aggressive')",1.0883491,1.0537058,-0.0346433
82,5.753951,6.202036,"('poor', 'rich')",5.7539511,6.2020359,0.4480848
83,-0.113031745,-0.17326662,"('powerless', 'powerful')",-0.1130317,-0.1732666,-0.0602349
84,0.47087395,0.45806628,"('inferior', 'superior')",0.470874,0.4580663,-0.0128077
85,-2.0287068,-2.1902719,"('insignificant', 'prestigious')",-2.0287068,-2.1902719,-0.1615651
86,0.71803707,0.7785894,"('uninfluential', 'influential')",0.7180371,0.7785894,0.0605523
87,0.37158495,0.46235442,"('unsuccessful', 'successful')",0.371585,0.4623544,0.0907694
88,-0.24409094,-0.13727356,"('low', 'eminent')",-0.2440909,-0.1372736,0.1068173
